industry_category,tpex,twse,total
光電業,45,50,95
其他,40,49,89
其他電子業,0,33,33
其他電子類,41,0,41
化學工業,12,26,38
化學生技醫療,0,33,33
半導體業,94,60,154
塑膠工業,4,21,25
存託憑證,0,10,10
居家生活,0,11,11
居家生活類,19,0,19
建材營造,31,56,87
數位雲端,0,3,3
數位雲端類,14,0,14
文化創意業,24,0,24
橡膠工業,0,11,11
水泥工業,0,7,7
汽車工業,0,34,34
油電燃氣業,4,8,12
玻璃陶瓷,0,5,5
生技醫療業,85,8,93
紡織纖維,9,41,50
綠能環保,0,11,11
綠能環保類,13,0,13
航運業,5,24,29
觀光餐旅,27,17,44
貿易百貨,0,18,18
資訊服務業,28,8,36
農業科技業,4,0,4
通信網路業,45,35,80
造紙工業,0,7,7
運動休閒,0,15,15
運動休閒類,9,0,9
金融保險,0,34,34
金融業,9,0,9
鋼鐵工業,16,31,47
電器電纜,1,15,16
電子工業,0,201,201
電子通路業,15,1,16
電子零組件業,101,21,122
電機機械,45,47,92
電腦及週邊設備業,45,11,56
食品工業,6,22,28
