C,C4_ROE_DYN_qmax8,C11_EPS_DYN_qmax8,C5_ROE_DYN_yoy,C3_ROE_DYN_qmax4,C12_EPS_DYN_yoy,C9_EPS_DYN_riseq2,C10_EPS_DYN_qmax4,C2_ROE_DYN_riseq2,C7_ROE_DYN_ytdavg_gt_lyavg,C14_EPS_DYN_ytdavg_gt_lyavg,C6_ROE_DYN_ytdavg_gt_lyytdavg,C13_EPS_DYN_ytdavg_gt_lyytdavg,C8_EPS_DYN_riseq1,C1_ROE_DYN_riseq1,C16_FCF_P_DYN_riseq2,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,C19_FCF_P_DYN_yoy,C15_FCF_P_DYN_riseq1,C18_FCF_P_DYN_qmax8,C17_FCF_P_DYN_qmax4
C4_ROE_DYN_qmax8,1.0,0.5781210369371736,0.21730437465010796,0.37525106538553815,0.2757034972065763,0.1589406697361957,0.2699018588549819,0.21341300398734106,0.22260445348292526,0.15881613673495035,0.19067944748477614,0.2114490385823803,0.2701417848206839,0.2574542712534418,0.15850423297953775,0.04716944485701555,0.11236761227963943,0.12753321832120373,0.08739474676385572,0.11445953819964125
C11_EPS_DYN_qmax8,0.5781210369371736,1.0,0.18905480594559393,0.38524455310932626,0.2691398082877284,0.25951077953088764,0.5256023855496018,0.29600237640956506,0.2375347035771819,0.29645366572600457,0.1322574748363362,0.1897014635483908,0.41323248826076525,0.43423058027808564,0.1455962160247695,0.15614267597427078,0.30982782455699387,0.19561735235984326,0.1659727855404618,0.2860134587041713
C5_ROE_DYN_yoy,0.21730437465010796,0.18905480594559393,1.0,0.4019719629371508,0.915033075508129,0.585782672775258,0.4375884012933152,0.4311355353205297,0.5860431638237343,0.5601974247946347,0.6406297485347379,0.6122385092599998,0.3546128623167708,0.2910062037999703,0.4621716727409828,0.18969917853919363,0.36713814023101443,0.33870348578153026,0.23630422612451016,0.32620448547305403
C3_ROE_DYN_qmax4,0.37525106538553815,0.38524455310932626,0.4019719629371508,1.0,0.3820535377654895,0.6508631622242279,0.8003724564991375,0.7652964228181018,0.2231551406994413,0.1641996184034641,0.23110583020096656,0.1165206164954814,0.6990562912015721,0.6783255452603196,0.34451540667451186,0.3867035314817142,0.31434643024438175,0.3840677733727878,0.031181235504472906,0.3435614153346967
C12_EPS_DYN_yoy,0.2757034972065763,0.2691398082877284,0.915033075508129,0.3820535377654895,1.0,0.5591748831789048,0.4377072217715676,0.37497000925428725,0.5623190558341997,0.61669084968067,0.6093616826807728,0.6806768197241994,0.3311446753573183,0.276334159744993,0.38928216436071156,0.10963245627063649,0.2889554080455174,0.29868611971163184,0.20843168393752784,0.21913009699864042
C9_EPS_DYN_riseq2,0.1589406697361957,0.25951077953088764,0.585782672775258,0.6508631622242279,0.5591748831789048,1.0,0.6342625704068459,0.8813143372902076,0.39578073051744034,0.2900122247992048,0.407389719743622,0.26038593805340066,0.5866498337655809,0.6043038148228547,0.5653569755618266,0.4741474059433089,0.48995966958767007,0.5039690609754705,0.2264649765215305,0.43015526637494716
C10_EPS_DYN_qmax4,0.2699018588549819,0.5256023855496018,0.4375884012933152,0.8003724564991375,0.4377072217715676,0.6342625704068459,1.0,0.6879088738332172,0.38373530453460075,0.3499640111051447,0.321176322734699,0.23185188570383997,0.6753858809281708,0.6573742959315412,0.2571583625624093,0.3134964068230375,0.33695431124110276,0.2623396209169742,0.05742228112468153,0.2982291178721994
C2_ROE_DYN_riseq2,0.21341300398734106,0.29600237640956506,0.4311355353205297,0.7652964228181018,0.37497000925428725,0.8813143372902076,0.6879088738332172,1.0,0.33585065179887347,0.18182275183657615,0.3420818718795343,0.12695396848972318,0.64615947079187,0.6805374341631725,0.4352851120225759,0.4496989500382739,0.44280964730883043,0.3919327750294195,0.13568498863207926,0.4327350417585431
C7_ROE_DYN_ytdavg_gt_lyavg,0.22260445348292526,0.2375347035771819,0.5860431638237343,0.2231551406994413,0.5623190558341997,0.39578073051744034,0.38373530453460075,0.33585065179887347,1.0,0.8238577810275687,0.9092314371565345,0.8146366264124213,0.14578701429273253,0.1599209386817782,0.11106172952346133,-0.11257097809818685,0.07224970580506586,0.07288379585727832,0.02493744787322769,0.07915614610348806
C14_EPS_DYN_ytdavg_gt_lyavg,0.15881613673495035,0.29645366572600457,0.5601974247946347,0.1641996184034641,0.61669084968067,0.2900122247992048,0.3499640111051447,0.18182275183657615,0.8238577810275687,1.0,0.784789836279091,0.9018725650370742,0.168535423355079,0.13852525506415164,0.07184183166337245,-0.1633324574131411,0.06891016486341357,0.0833834131182378,0.07226798587864317,0.03704456910439065
C6_ROE_DYN_ytdavg_gt_lyytdavg,0.19067944748477614,0.1322574748363362,0.6406297485347379,0.23110583020096656,0.6093616826807728,0.407389719743622,0.321176322734699,0.3420818718795343,0.9092314371565345,0.784789836279091,1.0,0.8260822374810058,0.1552526648919762,0.1256652233025238,0.16596935802666607,-0.03605973014041382,0.06462348760953762,0.12800850023421345,0.04152090212163104,0.12037999702948804
C13_EPS_DYN_ytdavg_gt_lyytdavg,0.2114490385823803,0.1897014635483908,0.6122385092599998,0.1165206164954814,0.6806768197241994,0.26038593805340066,0.23185188570383997,0.12695396848972318,0.8146366264124213,0.9018725650370742,0.8260822374810058,1.0,0.08190158465387823,0.028009642738812023,0.04339003964490957,-0.18651387571834976,0.018557702194751335,0.025545260319672785,0.04361511305083003,-0.019580243810481335
C8_EPS_DYN_riseq1,0.2701417848206839,0.41323248826076525,0.3546128623167708,0.6990562912015721,0.3311446753573183,0.5866498337655809,0.6753858809281708,0.64615947079187,0.14578701429273253,0.168535423355079,0.1552526648919762,0.08190158465387823,1.0,0.8974167971026084,0.40695671050075977,0.469353456647663,0.43814594353742276,0.4302546642750237,0.13415060495618494,0.46128280416328676
C1_ROE_DYN_riseq1,0.2574542712534418,0.43423058027808564,0.2910062037999703,0.6783255452603196,0.276334159744993,0.6043038148228547,0.6573742959315412,0.6805374341631725,0.1599209386817782,0.13852525506415164,0.1256652233025238,0.028009642738812023,0.8974167971026084,1.0,0.4352119917282667,0.458536223108298,0.46240245866989615,0.4198098872347961,0.126338158511088,0.4561426759742708
C16_FCF_P_DYN_riseq2,0.15850423297953775,0.1455962160247695,0.4621716727409828,0.34451540667451186,0.38928216436071156,0.5653569755618266,0.2571583625624093,0.4352851120225759,0.11106172952346133,0.07184183166337245,0.16596935802666607,0.04339003964490957,0.40695671050075977,0.4352119917282667,1.0,0.6920424554708833,0.6659842105864476,0.7708364276166212,0.37058850411872907,0.7003724564991374
C20_FCF_P_DYN_ytdavg_gt_lyytdavg,0.04716944485701555,0.15614267597427078,0.18969917853919363,0.3867035314817142,0.10963245627063649,0.4741474059433089,0.3134964068230375,0.4496989500382739,-0.11257097809818685,-0.1633324574131411,-0.03605973014041382,-0.18651387571834976,0.469353456647663,0.458536223108298,0.6920424554708833,1.0,0.6720371999497298,0.7032298605001885,0.33142344647937205,0.6526089092508597
C19_FCF_P_DYN_yoy,0.11236761227963943,0.30982782455699387,0.36713814023101443,0.31434643024438175,0.2889554080455174,0.48995966958767007,0.33695431124110276,0.44280964730883043,0.07224970580506586,0.06891016486341357,0.06462348760953762,0.018557702194751335,0.43814594353742276,0.46240245866989615,0.6659842105864476,0.6720371999497298,1.0,0.547288265335268,0.4058781861596993,0.6367886480743085
C15_FCF_P_DYN_riseq1,0.12753321832120373,0.19561735235984326,0.33870348578153026,0.3840677733727878,0.29868611971163184,0.5039690609754705,0.2623396209169742,0.3919327750294195,0.07288379585727832,0.0833834131182378,0.12800850023421345,0.025545260319672785,0.4302546642750237,0.4198098872347961,0.7708364276166212,0.7032298605001885,0.547288265335268,1.0,0.30335439350143384,0.6722634158602488
