,C4_ROE_DYN_qmax8,C11_EPS_DYN_qmax8,C5_ROE_DYN_yoy,C3_ROE_DYN_qmax4,C12_EPS_DYN_yoy,C9_EPS_DYN_riseq2,C10_EPS_DYN_qmax4,C2_ROE_DYN_riseq2,C7_ROE_DYN_ytdavg_gt_lyavg,C14_EPS_DYN_ytdavg_gt_lyavg,C6_ROE_DYN_ytdavg_gt_lyytdavg,C13_EPS_DYN_ytdavg_gt_lyytdavg,C8_EPS_DYN_riseq1,C1_ROE_DYN_riseq1,C16_FCF_P_DYN_riseq2,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,C19_FCF_P_DYN_yoy,C15_FCF_P_DYN_riseq1,C18_FCF_P_DYN_qmax8,C17_FCF_P_DYN_qmax4
C4_ROE_DYN_qmax8,1.0,0.5598806648671686,0.25928371856743715,0.4628219078708741,0.22734438446472077,0.2101902471025585,0.34984617811785124,0.2313585059607452,0.21039699364039313,0.1885275519421861,0.19900589101620028,0.17891774891774892,0.2002120890774125,0.22773514188827415,0.10583153347732181,0.09796169053011401,0.10804712960641764,0.09159617794486216,0.06969825754356142,0.08804904338453247
C11_EPS_DYN_qmax8,0.5598806648671686,1.0,0.24858343102774522,0.3652075593603618,0.28391228410634584,0.25865120807151076,0.4893404397068621,0.22627512948819242,0.217843201805954,0.23691661338935063,0.20703775367862126,0.22656797477224946,0.2490116878652458,0.21355641355641355,0.11366873243773817,0.10849056603773585,0.11916673501189207,0.10274078066055893,0.068401340429726,0.09054001804356232
C5_ROE_DYN_yoy,0.25928371856743715,0.24858343102774522,1.0,0.3584413286744217,0.7764103921309161,0.43792540157909066,0.3581162152896812,0.4516813297631881,0.49888633017478956,0.4747565813198702,0.554735029653721,0.5100758396533045,0.400352733686067,0.41014303420091786,0.3029203755639556,0.2827184696726668,0.30210676382068746,0.292498782269849,0.09585204285777797,0.1863346844238564
C3_ROE_DYN_qmax4,0.4628219078708741,0.3652075593603618,0.3584413286744217,1.0,0.33378332770840363,0.43678898297835944,0.6660157662544297,0.4998866778477857,0.323457947909118,0.2974082421120412,0.28531232414181207,0.268002600481854,0.4202880504710912,0.4920578261645547,0.19735825194969436,0.18690271570986594,0.1950788271695889,0.17815811489124372,0.08075961343515578,0.1420663252108231
C12_EPS_DYN_yoy,0.22734438446472077,0.28391228410634584,0.7764103921309161,0.33378332770840363,1.0,0.46760754973643937,0.38641486963548977,0.43744523087293563,0.47356388576405267,0.5220304420653995,0.5118293659459853,0.5718648807771564,0.42756056999380443,0.4002409717021069,0.31311490206697357,0.2878885253563917,0.30719198331932906,0.30101719326672066,0.0943978070926846,0.18879410769982338
C9_EPS_DYN_riseq2,0.2101902471025585,0.25865120807151076,0.43792540157909066,0.43678898297835944,0.46760754973643937,1.0,0.524739813018169,0.799008344418914,0.44702684335711856,0.4734273501396789,0.4193685171896406,0.4434827541661284,0.5222222222222223,0.4923357664233577,0.3230577385958298,0.31816751080207173,0.3100315720498004,0.30158183331897914,0.08981870002375109,0.18496844925441533
C10_EPS_DYN_qmax4,0.34984617811785124,0.4893404397068621,0.3581162152896812,0.6660157662544297,0.38641486963548977,0.524739813018169,1.0,0.4537037037037037,0.3200478113923007,0.33975961926272485,0.2878468151621727,0.3045322531335983,0.5059684251058915,0.43398741823938675,0.20119214826487616,0.1954011379321954,0.20511988462231837,0.19118402575607082,0.08046855105678635,0.1403769105208488
C2_ROE_DYN_riseq2,0.2313585059607452,0.22627512948819242,0.4516813297631881,0.4998866778477857,0.43744523087293563,0.799008344418914,0.4537037037037037,1.0,0.46441621715677744,0.44438881100206956,0.43334666400053323,0.41752742670173865,0.49578554192972596,0.5185235770136921,0.3241664710025828,0.3136118559524839,0.30722511199975944,0.29277084114305485,0.09050924057783875,0.18488297187030278
C7_ROE_DYN_ytdavg_gt_lyavg,0.21039699364039313,0.217843201805954,0.49888633017478956,0.323457947909118,0.47356388576405267,0.44702684335711856,0.3200478113923007,0.46441621715677744,1.0,0.7476580051714637,0.8292922527349855,0.6737352076880311,0.37493238298278553,0.3903142304793735,0.28970927273271657,0.29206377482853835,0.27948987154150196,0.28889424380252415,0.08231165793007841,0.17075560580365554
C14_EPS_DYN_ytdavg_gt_lyavg,0.1885275519421861,0.23691661338935063,0.4747565813198702,0.2974082421120412,0.5220304420653995,0.4734273501396789,0.33975961926272485,0.44438881100206956,0.7476580051714637,1.0,0.6879404228058936,0.8442127659574468,0.4030081840300818,0.3772613898272977,0.303628224761456,0.3032794053344993,0.2946786538695177,0.30577162876313757,0.08822551139198404,0.18127220126707438
C6_ROE_DYN_ytdavg_gt_lyytdavg,0.19900589101620028,0.20703775367862126,0.554735029653721,0.28531232414181207,0.5118293659459853,0.4193685171896406,0.2878468151621727,0.43334666400053323,0.8292922527349855,0.6879404228058936,1.0,0.7571690801550072,0.36025763505809116,0.3714141126609103,0.3013159840307556,0.3056134888229592,0.291309781449081,0.3032163829850657,0.088190828153872,0.1778890402385598
