,C12_EPS_DYN_yoy,C13_EPS_DYN_ytdavg_gt_lyytdavg,C9_EPS_DYN_riseq2,C14_EPS_DYN_ytdavg_gt_lyavg,C10_EPS_DYN_qmax4,C5_ROE_DYN_yoy,C8_EPS_DYN_riseq1,C16_FCF_P_DYN_riseq2,C17_FCF_P_DYN_qmax4,C6_ROE_DYN_ytdavg_gt_lyytdavg,C7_ROE_DYN_ytdavg_gt_lyavg,C2_ROE_DYN_riseq2,C11_EPS_DYN_qmax8,C19_FCF_P_DYN_yoy,C15_FCF_P_DYN_riseq1,C1_ROE_DYN_riseq1,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,C18_FCF_P_DYN_qmax8,C3_ROE_DYN_qmax4,C4_ROE_DYN_qmax8
C12_EPS_DYN_yoy,1.0,0.6003185103515865,0.4053299197020831,0.5254032830313639,0.3169498080985392,0.5739203105623552,0.3450370767443938,0.3152281508445892,0.2542482433644002,0.42149719218452686,0.3864558267445858,0.33161133821481514,0.21238792735393608,0.3523338614481954,0.3073037711877537,0.2872377319230102,0.3248961285051197,0.1778100035617972,0.20438102893890675,0.10936525751340566
C13_EPS_DYN_ytdavg_gt_lyytdavg,0.6003185103515865,1.0,0.33129286518579176,0.8151697340439497,0.2190568765265939,0.4379905092170104,0.2741504615989,0.3370360127826942,0.2455934646804421,0.5779581477757028,0.514471695920028,0.29521281983752357,0.16530686629096925,0.35599334530300286,0.3304887161859214,0.25134348191429073,0.36826519561391635,0.16598764019226367,0.1619000124672734,0.09308517864420596
C9_EPS_DYN_riseq2,0.4053299197020831,0.33129286518579176,1.0,0.376640363667553,0.44366382140512145,0.3130141940150077,0.4280948409388776,0.34023412627144933,0.2694827915261785,0.2657891458705311,0.2944894756079207,0.5862551086255109,0.21029674178838148,0.3030900058937442,0.32615209917042554,0.3383305403324426,0.27952676284211947,0.1744957875925453,0.2477088948787062,0.10781882670516965
C14_EPS_DYN_ytdavg_gt_lyavg,0.5254032830313639,0.8151697340439497,0.376640363667553,1.0,0.25201791386762484,0.3968695964608924,0.2969803754784616,0.33733089239170905,0.2502393934064216,0.5099886308267013,0.5722841497995502,0.3220832547713322,0.168890419213222,0.3446466579768014,0.3280880603532654,0.26428114249139933,0.35332611857012414,0.1691044393122915,0.17529849788162793,0.0951308987827247
C10_EPS_DYN_qmax4,0.3169498080985392,0.2190568765265939,0.44366382140512145,0.25201791386762484,1.0,0.23161106710090074,0.43234496060675404,0.17851337108558565,0.18596329529127925,0.1723561085263213,0.1919978372533117,0.30644080190116385,0.4724675138200876,0.17263818710764048,0.1753821678079823,0.2932362498495607,0.15786416789282118,0.1450846678415447,0.42304049913653835,0.19273586665837428
C5_ROE_DYN_yoy,0.5739203105623552,0.4379905092170104,0.3130141940150077,0.3968695964608924,0.23161106710090074,1.0,0.27456933535740213,0.28991786116927043,0.2349915700962503,0.578664168116718,0.49658062525709584,0.38957556254418685,0.1517661145479944,0.31917685967767334,0.28135926573426573,0.3187907062681879,0.30648781436120387,0.1689332766680833,0.2822966507177033,0.18659349274794199
C8_EPS_DYN_riseq1,0.3450370767443938,0.2741504615989,0.4280948409388776,0.2969803754784616,0.43234496060675404,0.27456933535740213,1.0,0.2965137440458293,0.24248225917216407,0.233202863574601,0.24679207674099912,0.3369083596537072,0.20680411688784459,0.28511757168294755,0.3268932806324111,0.5960679177837355,0.26506144803633447,0.16160336483644563,0.24687537555582262,0.10818824123139036
C16_FCF_P_DYN_riseq2,0.3152281508445892,0.3370360127826942,0.34023412627144933,0.33733089239170905,0.17851337108558565,0.28991786116927043,0.2965137440458293,1.0,0.5713572758508167,0.2970936322561481,0.29768895624171243,0.3229990199281281,0.08966542750929368,0.5398273965386343,0.565561311078644,0.2904950589583234,0.45631934322853146,0.30596685295077874,0.14574971652778027,0.06939933549856274
C17_FCF_P_DYN_qmax4,0.2542482433644002,0.2455934646804421,0.2694827915261785,0.2502393934064216,0.18596329529127925,0.2349915700962503,0.24248225917216407,0.5713572758508167,1.0,0.22416364369205966,0.2251679977123716,0.2565423757803814,0.10500273207455528,0.4293732980122636,0.5497385101546763,0.23576331311265505,0.33589227728363685,0.5352112676056338,0.1497225305216426,0.0799100819116832
C6_ROE_DYN_ytdavg_gt_lyytdavg,0.42149719218452686,0.5779581477757028,0.2657891458705311,0.5099886308267013,0.1723561085263213,0.578664168116718,0.233202863574601,0.2970936322561481,0.22416364369205966,1.0,0.7913257675727985,0.3055537384705959,0.12240378284551386,0.30980234640424426,0.2963884099543783,0.24853758561109146,0.32803043403077986,0.15466837425805974,0.18704654537336757,0.14060479929366507
C7_ROE_DYN_ytdavg_gt_lyavg,0.3864558267445858,0.514471695920028,0.2944894756079207,0.5722841497995502,0.1919978372533117,0.49658062525709584,0.24679207674099912,0.29768895624171243,0.2251679977123716,0.7913257675727985,1.0,0.35105361795492984,0.12701285157807563,0.30483534244730287,0.29276118830122055,0.27316118767603365,0.31851363770352514,0.15695078513018612,0.21921965739632884,0.14653888493168427
C2_ROE_DYN_riseq2,0.33161133821481514,0.29521281983752357,0.5862551086255109,0.3220832547713322,0.30644080190116385,0.38957556254418685,0.3369083596537072,0.3229990199281281,0.2565423757803814,0.3055537384705959,0.35105361795492984,1.0,0.15397356370367965,0.29650085821593053,0.30560362457917756,0.4178440479100464,0.27725527012033796,0.17307039310434896,0.4007458305997721,0.18089844963916993
C11_EPS_DYN_qmax8,0.21238792735393608,0.16530686629096925,0.21029674178838148,0.168890419213222,0.4724675138200876,0.1517661145479944,0.20680411688784459,0.08966542750929368,0.10500273207455528,0.12240378284551386,0.12701285157807563,0.15397356370367965,1.0,0.09417804744414457,0.08799511836177965,0.14826152805078466,0.0887920298879203,0.11705238118836414,0.2563518365092516,0.3175186546386012
