strategy_uid,market,stock_id,jump_date,entry_date,exit_date,trade_return
TW::P_IC_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,TW,8077,2022-07-29,2022-06-01,2023-04-06,2.6384798969072154
TW::P_IC_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,TW,8101,2024-01-02,2023-12-01,2025-04-01,3.449355811138011
TW::P_IC_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__VOL_qb2of3__C18_FCF_P_DYN_qmax8__v0,TW,3095,2022-07-29,2022-06-01,2022-09-01,10.856551315789469
TW::P_IC_qb0of3__VOL_qb2of3__C18_FCF_P_DYN_qmax8__v0,TW,8101,2024-01-02,2023-12-01,2024-05-02,3.485675423728809
TW::P_IC_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,TW,8077,2022-07-29,2022-06-01,2022-09-01,3.7879644329896895
TW::P_IC_qb0of3__VOL_qb2of3__C12_EPS_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__VOL_qb2of3__C12_EPS_DYN_yoy__v0,TW,8077,2022-07-29,2022-06-01,2023-04-06,2.6384798969072154
TW::P_IC_qb0of3__VOL_qb2of3__C12_EPS_DYN_yoy__v0,TW,8101,2024-01-02,2023-12-01,2024-10-01,1.294392130750604
TW::P_IC_qb0of3__REVENUE_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2009-09-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__VOL_qb2of3__C5_ROE_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,TW,6130,2011-12-15,2010-09-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,TW,8077,2022-07-29,2021-12-01,2023-04-06,2.2978883177570046
TW::P_IC_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,TW,8101,2024-01-02,2023-06-01,2024-10-01,1.0638667755991251
TW::P_IC_qb0of3__REVENUE_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2009-09-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__REVENUE_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,8077,2022-07-29,2022-06-01,2023-04-06,2.6384798969072154
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C5_ROE_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C12_EPS_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__REVENUE_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2010-04-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__REVENUE_qb0of3__C18_FCF_P_DYN_qmax8__v0,TW,3095,2022-07-29,2022-06-01,2022-09-01,10.856551315789469
