market,stock_id,events,first,max_x,price_max
US,TNXP,2,2020-02-26,2.225519287833828,1098560000.0
US,ORKA,2,2010-03-26,4.863083562181248,36953000.0
US,TENX,3,2000-02-10,3.9743589743589753,19200000.0
US,PALI,2,2017-12-05,2.758921396470133,5453660.0
US,BMNR,44,2000-01-11,100.99549887471868,3748900.0
US,ARMP,4,2003-06-05,2.363636363636364,1785000.0
US,LODE,5,2002-08-13,2.75000440001408,568181.0
US,RCAT,63,2002-02-12,6.2,450000.0
US,SLS,2,2018-04-02,2.7636932707355246,408000.0
US,FCEL,2,2019-07-02,2.272727272727273,222569.0
US,GEVO,3,2015-05-07,3.618233618233618,153300.0
US,FUBO,9,2015-12-11,104.60732984293196,82800.0
US,ABEO,2,2006-10-06,2.208333333333333,79501.3
US,GDC,4,2019-02-01,12.4,71250.0
US,NUTX,7,2013-08-07,510.0,56250.0
US,QXO,80,2007-11-14,3.4031071136549467,46308.2
US,GYRE,3,2009-07-15,3.34280303030303,42949.4
US,USAU,1,2020-03-24,2.2289156626506026,27848.1
US,SBET,3,2018-07-10,5.331845238095238,24480.0
US,AVTX,2,2017-07-06,4.578947368421052,20793.6
US,WATT,3,2017-12-27,6.54320987654321,18942.0
US,LEU,2,2014-07-01,2.438944399895485,6821.43
US,FBRX,2,2020-02-21,2.284991568296796,6525.0
US,DCTH,2,2018-05-04,3.051851851851852,6076.0
US,QUBT,31,2008-05-06,40.0,5000.0
US,XFOR,1,2018-11-27,3.5517241379310343,4685.4
US,LTBR,8,2002-08-15,2.941176470588235,4050.0
US,ELDN,1,2020-09-15,2.929618768328446,3849.12
US,SMTI,29,2000-01-11,6.8,3600.0
US,CAPR,4,2007-02-14,4.710691823899371,3250.0
US,PED,5,2012-08-09,7.596153846153846,3000.0
US,CBIO,1,2024-10-29,2.9131985731272296,2535.0
US,BETR,2,2023-07-25,3.2302504816955686,2479.0
US,SPRB,2,2021-12-17,14.784580498866214,2431.5
US,VRDN,3,2015-02-13,3.6492693110647183,2045.25
US,NKTR,1,2025-06-24,2.5628930817610063,1626.6
US,CNTN,1,2025-08-20,3.068376068376069,1537.5
US,BNED,2,2024-05-17,2.526670409882089,1527.0
US,PLUG,1,2000-01-07,2.179310344827586,1497.5
US,EPM,9,2000-01-06,2.9965034965034967,1428.93
US,REPX,2,2015-09-18,2.657858136300417,1395.94
US,SIDU,3,2022-06-15,3.25,1219.0
US,AGL,1,2026-05-07,2.178096947935368,1081.25
US,DUOT,3,2017-02-24,28.98550724637681,1078.0
US,RIGL,1,2007-12-13,3.24375,1068.75
US,BKKT,2,2021-10-25,3.344262295081968,1063.0
TW,6103,1,2022-07-29,6.55020979020979,812.791
US,GLXY,2,2012-07-27,52.64546077965923,681.09
US,NGNE,1,2015-08-07,5.82122905027933,442.6
TW,6130,1,2011-12-15,13.366954498132156,355.401
US,ASST,1,2025-05-07,5.557377049180328,355.0
US,BNTC,1,2023-04-03,16.674606955693186,347.606
TW,8077,1,2022-07-29,4.868421052631579,328.721
US,SYRE,1,2023-06-22,4.30188679245283,299.75
US,TGTX,1,2012-02-06,6.671936758893281,233.44
US,ACLS,1,2007-06-13,4.265442404006678,200.48
TW,3095,1,2022-07-29,10.927808219178084,190.508
US,SEZL,3,2023-05-30,12.000048000192,188.55
TW,5314,1,2022-07-29,4.1213138686131385,181.739
TW,4198,1,2022-07-29,5.154867256637169,167.333
US,ARWR,4,2002-04-26,6.0,162.5
US,ORGO,1,2019-01-09,6.127232142857142,150.0
US,FIS,1,2008-07-03,5.22027972027972,136.96
US,BCO,1,2008-11-03,5.172169811320755,135.25
US,HUT,1,2023-04-03,4.837837837837837,133.02
TW,8291,1,2024-01-02,4.012466666666667,133.0
US,SXT,1,2000-03-23,4.575892857142857,126.79
US,FMC,1,2002-01-02,11.40228045609122,120.47
US,CZR,1,2014-09-22,30.6553911205074,119.49
US,ASTH,1,2009-04-13,8.5,119.45
TW,6287,1,2022-07-29,4.0,116.783
US,UCB,1,2002-03-18,56.60656222287911,116.02
US,AMPY,1,2016-10-24,31.855927557712217,113.24
US,HCC,1,2017-11-24,4.666666666666667,110.28
TW,8101,1,2024-01-02,5.0,102.359
US,XPEL,1,2009-04-01,8.0,101.4
US,DRUG,2,2023-04-03,15.457831325301203,95.99
TW,3043,1,2022-07-29,5.011627906976744,89.4323
US,CRC,1,2020-10-28,12.647619047619049,85.91
US,PRG,8,2001-01-17,4.117816091954023,74.79
US,GLSI,1,2020-12-09,10.98076923076923,72.22
US,DFTX,4,2018-10-31,48.0,70.35
US,SRRK,1,2024-10-07,4.619946091644205,68.02
US,COGT,1,2020-07-06,4.943820224719102,67.08
US,ALOY,1,2019-07-19,4.339130434782609,63.0
TW,8011,1,2011-09-19,19.021950238464637,61.212
US,VABK,1,2012-01-17,14.44771911840082,47.45
US,PSFE,1,2022-04-01,12.566371681415928,42.6
US,INDV,1,2022-11-28,6.718849840255592,41.83
US,HWBK,1,2000-02-22,4.912,40.23
US,IVT,1,2021-09-24,10.065868263473051,36.73
US,VNDA,1,2009-05-07,7.259259259259259,31.67
US,MVST,1,2024-11-13,4.40011068068622,24.5
US,KINS,1,2009-03-19,12.5,21.4
US,SVC,1,2026-07-06,5.028901734104046,20.12
US,PAYS,1,2011-11-14,11.0,17.95
US,DHC,1,2003-09-16,10.13277428371768,16.19
US,AREC,1,2018-03-01,22.0,14.0
US,PROK,1,2025-07-08,6.150041220115416,13.78
US,TRON,1,2025-06-16,6.337931034482758,11.04
US,EPSN,1,2015-06-05,4.874864870377548,8.01
