market,stock_id,jump_date,price_before,price_after,jump_x,day_return,persisted,price_max_alltime,price_min_alltime,verdict,reason
US,WT,2004-11-18,0.0312412,1.17,37.45054607377437,36.45054607377437,False,20.69,0.00859133,真實暴漲（保留）,單日≥300%
US,TRAK,2003-03-24,0.48679,3.89,7.9911255366790614,6.9911255366790614,False,100.41,0.48679,真實暴漲（保留）,單日≥300%
US,OPBK,2010-01-28,0.30403,2.27,7.46636845048186,6.46636845048186,False,17.3,0.19762,真實暴漲（保留）,單日≥300%
US,MNPR,2024-10-24,4.63,32.66,7.0539956803455715,6.0539956803455715,False,135.0,1.45,真實暴漲（保留）,單日≥300%
US,AMTB,2018-09-04,26.16,161.69,6.1808103975535165,5.1808103975535165,False,161.69,8.65,真實暴漲（保留）,單日≥300%
US,WSHP,2025-11-19,33.0,200.0,6.0606060606060606,5.0606060606060606,False,200.0,4.51,真實暴漲（保留）,單日≥300%
US,TRAK,2003-04-17,0.48679,2.92,5.998479837301506,4.998479837301506,False,100.41,0.48679,真實暴漲（保留）,單日≥300%
US,TSSI,2017-02-08,0.04,0.23,5.75,4.75,False,31.1,0.03,真實暴漲（保留）,單日≥300%
US,SEZL,2022-06-07,0.0265789,0.15,5.643574414291035,4.643574414291035,False,188.55,0.0167,真實暴漲（保留）,單日≥300%
US,HWBK,2000-03-07,1.2,6.14,5.116666666666666,4.116666666666666,False,40.23,1.2,真實暴漲（保留）,單日≥300%
US,HWBK,2000-04-10,1.26,6.36,5.0476190476190474,4.0476190476190474,False,40.23,1.2,真實暴漲（保留）,單日≥300%
US,HWBK,2000-03-09,1.22,6.14,5.032786885245901,4.032786885245901,False,40.23,1.2,真實暴漲（保留）,單日≥300%
US,HWBK,2000-03-14,1.26,6.32,5.015873015873016,4.015873015873016,False,40.23,1.2,真實暴漲（保留）,單日≥300%
US,OPBK,2010-03-11,0.30403,1.52,4.99950662763543,3.99950662763543,False,17.3,0.19762,真實暴漲（保留）,單日≥300%
US,TRAK,2002-11-22,0.48679,2.43,4.991885618028308,3.9918856180283084,False,100.41,0.48679,真實暴漲（保留）,單日≥300%
US,TRAK,2003-01-29,0.48679,2.43,4.991885618028308,3.9918856180283084,False,100.41,0.48679,真實暴漲（保留）,單日≥300%
US,TRAK,2003-02-20,0.48679,2.43,4.991885618028308,3.9918856180283084,False,100.41,0.48679,真實暴漲（保留）,單日≥300%
US,HWBK,2000-02-17,1.23,6.14,4.991869918699186,3.9918699186991864,False,40.23,1.2,真實暴漲（保留）,單日≥300%
US,HWBK,2000-03-02,1.23,6.14,4.991869918699186,3.9918699186991864,False,40.23,1.2,真實暴漲（保留）,單日≥300%
US,HWBK,2000-03-30,1.28,6.32,4.9375,3.9375,False,40.23,1.2,真實暴漲（保留）,單日≥300%
US,HWBK,2000-04-04,1.28,6.32,4.9375,3.9375,False,40.23,1.2,真實暴漲（保留）,單日≥300%
US,HWBK,2000-02-10,1.25,6.14,4.912,3.912,False,40.23,1.2,真實暴漲（保留）,單日≥300%
US,HWBK,2000-04-12,1.3,6.36,4.892307692307693,3.8923076923076927,False,40.23,1.2,真實暴漲（保留）,單日≥300%
