strategy_uid,market,stock_id,jump_date,entry_date,exit_date,trade_return
TW::P_IC_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__VOL_qb2of3__C5_ROE_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__REVENUE_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2009-09-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C5_ROE_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROIC_qb2of3__C5_ROE_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__VOL_qb2of3__C12_EPS_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C12_EPS_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,TW,6130,2011-12-15,2010-09-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROIC_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__REVENUE_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2009-09-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROIC_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__REVENUE_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2010-04-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROIC_qb2of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROE_qb2of3__C5_ROE_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROE_qb2of3__C12_EPS_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROIC_qb2of3__C12_EPS_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__REVENUE_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2010-04-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__EV_EBITDA_qb0of3__C12_EPS_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROE_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__EV_EBITDA_qb0of3__C5_ROE_DYN_yoy__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__EPS_qb2of3__C5_ROE_DYN_yoy__v0,TW,6130,2011-12-15,2011-04-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__VOL_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2009-09-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROE_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROE_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__VOL_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2010-04-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__VOL_qb2of3__C9_EPS_DYN_riseq2__v0,TW,6130,2011-12-15,2010-09-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROE_qb2of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__EV_EBITDA_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW,6130,2011-12-15,2009-09-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__VOL_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2009-09-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__EPS_qb2of3__C12_EPS_DYN_yoy__v0,TW,6130,2011-12-15,2011-04-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__EV_EBITDA_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2009-09-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C9_EPS_DYN_riseq2__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__EV_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v0,TW,6130,2011-12-15,2010-09-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__VOL_qb2of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2010-04-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROE_qb2of3__C9_EPS_DYN_riseq2__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__ROIC_qb2of3__C9_EPS_DYN_riseq2__v0,TW,6130,2011-12-15,2010-12-01,2012-05-02,34.4719502327148
TW::P_IC_qb0of3__EV_EBITDA_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,TW,6130,2011-12-15,2010-04-01,2012-05-02,34.4719502327148
