market,stock_id,n_events,first_jump,max_jump_x,price_max,reason
US,NUTX,7,2013-08-07,510.0,56250.0,單日≥300%｜跳動後未回落｜股價絕對值不合理
US,FUBO,9,2015-12-11,104.60732984293195,82800.0,股價絕對值不合理
US,BMNR,44,2000-01-11,100.99549887471868,3748900.0,跳動後未回落｜股價絕對值不合理
US,UCB,1,2002-03-18,56.606562222879106,116.02,單日≥300%｜跳動後未回落
US,GLXY,4,2006-12-12,52.64546077965923,681.09,跳動後未回落
US,DFTX,5,2018-10-31,48.0,70.35,單日≥300%｜跳動後未回落
US,QUBT,31,2008-05-06,40.0,5000.0,單日≥300%｜跳動後未回落｜股價絕對值不合理
US,AMPY,2,2015-08-28,31.855927557712217,113.24,跳動後未回落
US,CZR,1,2014-09-22,30.655391120507396,119.49,單日≥300%｜跳動後未回落
US,DUOT,3,2017-02-24,28.98550724637681,1078.0,跳動後未回落｜股價絕對值不合理
US,AREC,3,2018-03-01,22.0,14.0,單日≥300%｜跳動後未回落
TW,8011,1,2011-09-19,19.021950238464633,61.212,單日≥300%｜跳動後未回落
US,BNTC,2,2020-04-20,16.674606955693186,347.606,跳動後未回落
US,DRUG,4,2023-04-03,15.457831325301205,95.99,單日≥300%｜跳動後未回落
US,SPRB,2,2021-12-17,14.784580498866214,2431.5,股價絕對值不合理
US,VABK,1,2012-01-17,14.44771911840082,47.45,單日≥300%｜跳動後未回落
TW,6130,1,2011-12-15,13.366954498132156,355.401,單日≥300%｜跳動後未回落
US,CRC,1,2020-10-28,12.647619047619047,85.91,單日≥300%｜跳動後未回落
US,PSFE,1,2022-04-01,12.566371681415928,42.6,單日≥300%｜跳動後未回落
US,KINS,1,2009-03-19,12.5,21.4,單日≥300%｜跳動後未回落
US,GDC,4,2019-02-01,12.4,71250.0,跳動後未回落｜股價絕對值不合理
US,SEZL,5,2022-10-14,12.000048000192,188.55,跳動後未回落
US,FMC,1,2002-01-02,11.40228045609122,120.47,單日≥300%｜跳動後未回落
US,PAYS,7,2008-03-04,11.0,17.95,跳動後未回落
US,GLSI,1,2020-12-09,10.98076923076923,72.22,單日≥300%｜跳動後未回落
TW,3095,1,2022-07-29,10.927808219178083,190.508,單日≥300%｜跳動後未回落
US,DHC,1,2003-09-16,10.13277428371768,16.19,單日≥300%｜跳動後未回落
US,IVT,2,2021-09-24,10.065868263473053,36.73,單日≥300%｜跳動後未回落
US,ASTH,6,2009-04-13,8.5,119.45,單日≥300%｜跳動後未回落
US,XPEL,6,2009-04-01,8.0,101.4,單日≥300%｜跳動後未回落
US,PED,5,2012-08-09,7.596153846153846,3000.0,股價絕對值不合理
US,VNDA,1,2009-05-07,7.259259259259259,31.67,單日≥300%｜跳動後未回落
US,SMTI,29,2000-01-11,6.8,3600.0,跳動後未回落｜股價絕對值不合理
US,INDV,1,2022-11-28,6.718849840255592,41.83,單日≥300%｜跳動後未回落
US,TGTX,1,2012-02-06,6.671936758893281,233.44,單日≥300%｜跳動後未回落
TW,6103,1,2022-07-29,6.55020979020979,812.791,單日≥300%｜跳動後未回落
US,WATT,3,2017-12-27,6.54320987654321,18942.0,跳動後未回落｜股價絕對值不合理
US,TRON,1,2025-06-16,6.337931034482758,11.04,單日≥300%｜跳動後未回落
US,RCAT,63,2002-02-12,6.2,450000.0,股價絕對值不合理
US,PROK,1,2025-07-08,6.1500412201154155,13.78,單日≥300%｜跳動後未回落
US,ORGO,2,2019-01-09,6.127232142857142,150.0,單日≥300%｜跳動後未回落
US,ARWR,12,2000-01-19,6.0,162.5,跳動後未回落
US,NGNE,1,2015-08-07,5.82122905027933,442.6,單日≥300%｜跳動後未回落
US,ASST,1,2025-05-07,5.557377049180328,355.0,單日≥300%｜跳動後未回落
US,SBET,3,2018-07-10,5.331845238095238,24480.0,股價絕對值不合理
US,FIS,1,2008-07-03,5.22027972027972,136.96,單日≥300%｜跳動後未回落
US,BCO,1,2008-11-03,5.172169811320755,135.25,單日≥300%｜跳動後未回落
TW,4198,1,2022-07-29,5.154867256637169,167.333,單日≥300%｜跳動後未回落
US,SVC,1,2026-07-06,5.028901734104046,20.12,單日≥300%｜跳動後未回落
TW,3043,1,2022-07-29,5.011627906976744,89.4323,單日≥300%｜跳動後未回落
TW,8101,2,2022-07-29,5.0,102.359,跳動後未回落
US,COGT,2,2020-07-06,4.943820224719102,67.08,單日≥300%｜跳動後未回落
US,HWBK,1,2000-02-22,4.912,40.23,單日≥300%｜跳動後未回落
US,EPSN,1,2015-06-05,4.8748648703775475,8.01,單日≥300%｜跳動後未回落
TW,8077,1,2022-07-29,4.868421052631579,328.721,單日≥300%｜跳動後未回落
US,ORKA,2,2010-03-26,4.863083562181248,36953000.0,股價絕對值不合理
US,HUT,1,2023-04-03,4.837837837837837,133.02,單日≥300%｜跳動後未回落
US,CAPR,4,2007-02-14,4.710691823899371,3250.0,跳動後未回落｜股價絕對值不合理
US,HCC,1,2017-11-24,4.666666666666667,110.28,單日≥300%｜跳動後未回落
US,SRRK,2,2020-10-27,4.619946091644205,68.02,跳動後未回落
US,AVTX,2,2017-07-06,4.578947368421052,20793.6,股價絕對值不合理
US,SXT,1,2000-03-23,4.575892857142857,126.79,單日≥300%｜跳動後未回落
US,MVST,1,2024-11-13,4.40011068068622,24.5,單日≥300%｜跳動後未回落
US,ALOY,3,2019-07-19,4.339130434782609,63.0,單日≥300%｜跳動後未回落
US,SYRE,1,2023-06-22,4.30188679245283,299.75,單日≥300%｜跳動後未回落
US,ACLS,1,2007-06-13,4.265442404006678,200.48,單日≥300%｜跳動後未回落
TW,5314,1,2022-07-29,4.1213138686131385,181.739,單日≥300%｜跳動後未回落
US,PRG,27,2000-04-05,4.117816091954023,74.79,跳動後未回落
TW,8291,1,2024-01-02,4.012466666666667,133.0,單日≥300%｜跳動後未回落
TW,6287,1,2022-07-29,4.0,116.783,單日≥300%｜跳動後未回落
US,CBT,1,2000-10-02,3.984962406015037,112.54,跳動後未回落
US,TENX,3,2000-02-10,3.9743589743589745,19200000.0,跳動後未回落｜股價絕對值不合理
US,PBYI,1,2014-07-23,3.954429950872438,275.07,跳動後未回落
US,ALT,2,2018-09-19,3.8548009367681506,133.2,跳動後未回落
US,CADL,1,2024-04-04,3.8095238095238098,14.0,跳動後未回落
TW,4414,1,2024-01-02,3.805558659217877,51.8209,跳動後未回落
US,CSW,1,2015-09-30,3.7242268041237114,429.59,跳動後未回落
