strategy_uid,CAGR_reported,CAGR_without_anomaly,CAGR_inflation_pp,n_anomaly_months,n_months,anomaly_stocks
US::P_IC_qb0of3__ROIC_qb0of3__C11_EPS_DYN_qmax8__v0,0.4997453357309636,0.34504679260405635,15.470715095111442,1,290,ASST｜BDTX｜CRNC｜FCEL｜SIDU｜SPRB｜TENX｜TSHA｜VNDA
US::PB_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,0.6409851040739698,0.5103724332182116,13.062418083825754,1,290,ASST｜BDTX｜EPM｜FCEL｜SIDU｜SPRB｜TENX｜TNXP｜TSHA｜VNDA
US::EPS_qb0of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,0.5608909939354152,0.43697502068294014,12.392581534739833,1,290,ASST｜CPRX｜EPM｜SIDU｜SLS｜VNDA
US::P_IC_qb0of3__ROE_qb0of3__C11_EPS_DYN_qmax8__v0,0.4840497861478363,0.36412129579300956,11.996595477039683,1,289,ASST｜BDTX｜CRNC｜FCEL｜SIDU｜SPRB｜TENX｜VNDA
US::PB_qb0of3__ROIC_qb0of3__C11_EPS_DYN_qmax8__v0,0.4752869357135179,0.3596663822702244,11.562867736311123,1,290,ASST｜BDTX｜CRNC｜EPM｜FCEL｜SIDU｜SPRB｜TENX｜TNXP｜TSHA｜VNDA
US::P_IC_qb0of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,0.4346100528866081,0.33784654708504935,9.677083770203755,1,290,ASST｜CRNC｜SIDU｜VNDA
US::EPS_qb0of3__MOM_qb2of3__C11_EPS_DYN_qmax8__v0,0.4680652370736924,0.3820117513131418,8.606146789438874,1,290,ACRS｜ASST｜CPRX｜ELA｜FCEL｜SPRB｜VNDA
US::REVENUE_qb0of3__EV_S_qb0of3__C2_ROE_DYN_riseq2__v0,0.4651234351484472,0.38103002661663754,8.413458036790056,1,307,ASYS｜CPRX｜CRNC｜DCTH｜ELA｜ELMD｜GORO｜HDSN｜LEU｜ORGO｜REI｜RZLT｜SPRB｜STXS｜SVRA｜TRON｜TSSI
US::REVENUE_qb0of3__PS_qb0of3__C2_ROE_DYN_riseq2__v1,0.4161860867423466,0.3343479231250335,8.187442044428739,1,307,ASYS｜CHCI｜CRNC｜REI｜STXS｜TSSI
US::P_IC_qb0of3__EV_EBITDA_qb0of3__C11_EPS_DYN_qmax8__v0,0.3716805660736655,0.29112750433664036,8.055920069249245,1,290,ASST｜BDTX｜CRNC｜SIDU｜SPRB｜TENX｜TSHA｜VNDA
