因子,各桶起始年_最早,各桶起始年_最晚,起始年落差,rho_2000,rho_clean,rho變動,判定_2000,判定_clean,判定改變,形狀_clean,clean桶0,clean桶1,clean桶2,clean桶3,clean桶4,clean桶5,clean桶6,clean桶7,clean桶8
ROE,2000,2001,1,0.833,0.867,0.033,⚠️ 邊際,✅ 過關,True,單調↑,0.0796,0.0911,0.0839,0.08,0.0911,0.1037,0.1262,0.1206,0.1203
EPS,2000,2001,1,0.65,0.617,-0.033,⚠️ 邊際,⚠️ 邊際,False,倒U（中間最好）,0.0632,0.0912,0.1047,0.0959,0.1053,0.1075,0.12,0.1166,0.0954
FCF_P,2000,2005,5,0.217,0.267,0.05,❌ 淘汰,⚠️ 只取極端桶,True,U型（兩端最好）,0.1298,0.078,0.0891,0.0854,0.0657,0.0949,0.1184,0.1089,0.1201
DEBTRATIO,2005,2005,0,0.083,0.083,0.0,⚠️ 只取極端桶,⚠️ 只取極端桶,False,U型（兩端最好）,0.1094,0.1036,0.0941,0.1023,0.0922,0.0918,0.1003,0.1064,0.1378
REVENUE,2005,2005,0,-0.433,-0.433,0.0,⚠️ 只取極端桶,⚠️ 只取極端桶,False,U型（兩端最好）,0.1525,0.1137,0.0917,0.1065,0.1003,0.0963,0.0925,0.0992,0.1012
EV_EBITDA,2000,2005,5,-0.383,-0.733,-0.35,❌ 淘汰,⚠️ 邊際,True,倒U（中間最好）,0.0812,0.1327,0.1671,0.132,0.1144,0.098,0.0749,0.0616,0.0541
EV_S,2000,2005,5,-0.883,-0.883,0.0,✅ 過關,✅ 過關,False,單調↓,0.122,0.145,0.1366,0.1135,0.1038,0.1084,0.0757,0.0724,0.0985
PB,2000,2005,5,-0.95,-0.933,0.017,✅ 過關,✅ 過關,False,單調↓,0.1273,0.159,0.14,0.1252,0.1023,0.0869,0.084,0.063,0.0682
PS,2000,2005,5,-0.95,-0.85,0.1,✅ 過關,⚠️ 邊際,True,U型（兩端最好）,0.1216,0.1498,0.1213,0.124,0.093,0.0981,0.0866,0.0791,0.0899
P_IC,2000,2005,5,-0.933,-0.9,0.033,✅ 過關,✅ 過關,False,單調↓,0.112,0.1647,0.1594,0.1207,0.0993,0.0956,0.084,0.0795,0.0498
ROIC,2000,2001,1,0.767,0.967,0.2,⚠️ 邊際,✅ 過關,True,單調↑,0.0849,0.0865,0.0849,0.0865,0.0998,0.1048,0.114,0.1224,0.1162
CROIC,2000,2001,1,0.133,0.2,0.067,❌ 淘汰,❌ 淘汰,False,倒U（中間最好）,0.0883,0.0951,0.0963,0.0893,0.1194,0.1109,0.1042,0.1043,0.0679
FCF_OI,2000,2001,1,-0.133,-0.133,0.0,❌ 淘汰,❌ 淘汰,False,倒U（中間最好）,0.0935,0.0915,0.1075,0.0969,0.1049,0.1123,0.1082,0.0859,0.089
OCF_E,2000,2001,1,0.733,0.617,-0.117,⚠️ 邊際,⚠️ 邊際,False,U型（兩端最好）,0.1005,0.0767,0.0749,0.0976,0.0941,0.1067,0.1036,0.0987,0.1228
MOM,2000,2000,0,0.933,0.967,0.033,✅ 過關,✅ 過關,False,單調↑,0.0387,0.0615,0.0912,0.0912,0.0953,0.1175,0.1328,0.1449,0.1417
MOM1,2000,2000,0,1.0,1.0,0.0,✅ 過關,✅ 過關,False,單調↑,-0.1983,-0.088,-0.0384,0.0139,0.0621,0.1281,0.1778,0.2931,0.7531
ACCRUAL,2005,2005,0,-0.367,-0.367,0.0,❌ 淘汰,❌ 淘汰,False,倒U（中間最好）,0.0984,0.0998,0.0922,0.079,0.1015,0.1057,0.0915,0.0915,0.0822
REV_G,2006,2006,0,0.25,0.25,0.0,❌ 淘汰,❌ 淘汰,False,倒U（中間最好）,0.099,0.0833,0.0809,0.1056,0.0985,0.0911,0.1162,0.1014,0.0846
VOL,2000,2000,0,-0.25,-0.067,0.183,❌ 淘汰,❌ 淘汰,False,U型（兩端最好）,0.1096,0.1002,0.1033,0.0989,0.1129,0.1053,0.0962,0.0846,0.13
NETDEBT_EBITDA,2005,2005,0,0.55,0.55,0.0,⚠️ 邊際,⚠️ 邊際,False,U型（兩端最好）,0.102,0.1007,0.1027,0.1066,0.1034,0.1004,0.1096,0.1033,0.1079
