因子,Spearman_rho,p值,形狀,判定,最佳桶,最佳桶CAGR,最差桶CAGR,全桶均值,贏大盤桶數,最佳桶與最小規模重疊,桶0,桶1,桶2,桶3,桶4,桶5,桶6,桶7,桶8
P_IC,-1.0,0.0,單調↓,✅ 過關,0,0.1985,0.0305,0.107,5,0.047,0.1985,0.1648,0.1545,0.1137,0.1062,0.0831,0.0701,0.0418,0.0305
PB,-0.983,0.0,單調↓,✅ 過關,0,0.2205,0.0362,0.1063,5,0.06,0.2205,0.159,0.1422,0.129,0.0998,0.0685,0.0637,0.0362,0.0379
PS,-0.983,0.0,單調↓,✅ 過關,0,0.1948,0.0605,0.1073,5,0.011,0.1948,0.1562,0.1246,0.1226,0.0917,0.0785,0.0762,0.0605,0.0606
EV_S,-0.95,0.0001,單調↓,✅ 過關,0,0.1675,0.0555,0.1077,6,0.023,0.1675,0.1486,0.1383,0.1171,0.1092,0.0903,0.0623,0.0555,0.0807
MOM,0.933,0.0002,單調↑,✅ 過關,7,0.1135,0.0238,0.076,4,0.072,0.0238,0.0437,0.0645,0.0637,0.0689,0.0937,0.1066,0.1135,0.1055
OCF_E,0.883,0.0016,單調↑,✅ 過關,8,0.109,0.0635,0.0901,6,0.051,0.0707,0.0635,0.0826,0.0931,0.0957,0.1007,0.1007,0.095,0.109
FCF_P,0.483,0.1875,U型（兩端最好）,⚠️ 只取極端桶,8,0.1283,0.0748,0.0989,6,0.059,0.1233,0.079,0.0748,0.0751,0.0914,0.0956,0.1022,0.1204,0.1283
ROE,0.833,0.0053,倒U（中間最好）,⚠️ 邊際,6,0.106,0.0623,0.0913,8,0.032,0.0623,0.088,0.0922,0.0863,0.0909,0.098,0.106,0.0978,0.1004
EV_EBITDA,-0.817,0.0072,倒U（中間最好）,⚠️ 邊際,2,0.1667,0.0481,0.1024,6,0.024,0.0948,0.1555,0.1667,0.1417,0.1105,0.0916,0.064,0.0482,0.0481
ROIC,0.7,0.0358,倒U（中間最好）,⚠️ 邊際,7,0.1047,0.0626,0.0915,8,0.044,0.0626,0.0865,0.0926,0.0932,0.0989,0.0989,0.0903,0.1047,0.0956
ACCRUAL,-0.683,0.0424,倒U（中間最好）,⚠️ 邊際,1,0.1035,0.071,0.0894,7,0.092,0.0958,0.1035,0.0946,0.0861,0.0971,0.0979,0.0853,0.073,0.071
FCF_OI,0.617,0.0769,倒U（中間最好）,⚠️ 邊際,4,0.1179,0.0702,0.0903,6,0.056,0.0702,0.0816,0.0841,0.0877,0.1179,0.1015,0.0942,0.0874,0.0884
DEBTRATIO,0.583,0.0992,U型（兩端最好）,⚠️ 邊際,8,0.1205,0.0865,0.0979,9,0.103,0.0942,0.0984,0.0865,0.0973,0.092,0.0882,0.1,0.1037,0.1205
NETDEBT_EBITDA,0.517,0.1544,U型（兩端最好）,⚠️ 邊際,8,0.1102,0.0896,0.0978,9,0.123,0.0935,0.0949,0.0967,0.0939,0.093,0.0896,0.1066,0.1016,0.1102
VOL,-0.4,0.2861,U型（兩端最好）,❌ 淘汰,0,0.0903,0.0536,0.0791,3,0.044,0.0903,0.0836,0.0832,0.0771,0.0875,0.0773,0.071,0.0536,0.0881
REVENUE,0.333,0.3807,U型（兩端最好）,❌ 淘汰,0,0.1143,0.0814,0.099,8,,0.1143,0.0888,0.0814,0.0965,0.0992,0.1002,0.098,0.106,0.1067
CROIC,0.3,0.4328,倒U（中間最好）,❌ 淘汰,4,0.122,0.0664,0.0895,6,0.107,0.0664,0.0761,0.0845,0.0887,0.122,0.1058,0.1028,0.0875,0.0718
REV_G,0.233,0.5457,倒U（中間最好）,❌ 淘汰,6,0.1101,0.068,0.0876,6,0.057,0.0796,0.0773,0.0849,0.1012,0.0881,0.087,0.1101,0.0927,0.068
EPS,0.0,1.0,倒U（中間最好）,❌ 淘汰,4,0.107,0.0558,0.0918,7,0.062,0.0558,0.094,0.0999,0.0987,0.107,0.0984,0.097,0.0961,0.0791
MOM1,1.0,0.0,單調↑,🚫 前瞻偏誤,8,0.6696,-0.2241,0.0933,4,0.099,-0.2241,-0.1042,-0.0458,-0.0052,0.0365,0.1059,0.1543,0.2526,0.6696
