因子,Spearman_rho,p值,形狀,判定,最佳桶,最佳桶CAGR,最差桶CAGR,全桶均值,贏大盤桶數,最佳桶與最小規模重疊,桶0,桶1,桶2,桶3,桶4,桶5,桶6,桶7,桶8
MOM,1.0,0.0,單調↑,✅ 過關,8,0.1018,-0.0161,0.0525,3,0.119,-0.0161,0.0176,0.0234,0.0365,0.0543,0.0706,0.0852,0.0994,0.1018
EV_S,-0.883,0.0016,單調↓,✅ 過關,0,0.1071,0.0281,0.0647,3,0.015,0.1071,0.0963,0.0841,0.0667,0.0557,0.0501,0.0281,0.0439,0.0503
PB,-0.85,0.0037,倒U（中間最好）,⚠️ 邊際,2,0.1145,0.0137,0.0643,3,0.084,0.0952,0.0686,0.1145,0.0879,0.0595,0.068,0.0282,0.0137,0.0432
P_IC,-0.817,0.0072,倒U（中間最好）,⚠️ 邊際,1,0.108,0.0226,0.0652,3,0.059,0.0693,0.108,0.0872,0.0907,0.0724,0.0519,0.0518,0.0332,0.0226
PS,-0.8,0.0096,U型（兩端最好）,⚠️ 邊際,2,0.0897,0.0378,0.0641,3,0.009,0.0777,0.0758,0.0897,0.0741,0.0736,0.0469,0.0378,0.047,0.0546
NETDEBT_EBITDA,-0.8,0.0096,無序,⚠️ 邊際,0,0.0901,0.0423,0.0646,2,0.31,0.0901,0.0727,0.0677,0.0773,0.07,0.0688,0.0423,0.0426,0.0497
EV_EBITDA,-0.783,0.0125,倒U（中間最好）,⚠️ 邊際,2,0.105,0.0312,0.0578,3,0.026,0.0646,0.0758,0.105,0.077,0.0436,0.0483,0.0312,0.0415,0.0337
VOL,-0.75,0.0199,倒U（中間最好）,⚠️ 邊際,2,0.0695,0.0393,0.0551,0,0.075,0.0577,0.0655,0.0695,0.0494,0.0694,0.0535,0.0488,0.0393,0.0427
ACCRUAL,-0.65,0.0581,無序,⚠️ 邊際,0,0.0635,0.0424,0.0534,0,0.136,0.0635,0.0562,0.0544,0.0524,0.0482,0.0558,0.0623,0.0456,0.0424
DEBTRATIO,0.583,0.0992,U型（兩端最好）,⚠️ 邊際,6,0.0891,0.0443,0.0663,2,0.054,0.0723,0.0443,0.069,0.0519,0.0549,0.0668,0.0891,0.0759,0.0726
REVENUE,-0.567,0.1116,U型（兩端最好）,⚠️ 邊際,0,0.1261,0.0372,0.0684,2,,0.1261,0.093,0.0712,0.0528,0.0372,0.0655,0.0553,0.0489,0.0655
EPS,0.45,0.2242,U型（兩端最好）,❌ 淘汰,7,0.0733,0.0417,0.0584,0,0.01,0.0587,0.0648,0.047,0.0417,0.0614,0.0456,0.0611,0.0733,0.0717
FCF_OI,-0.217,0.5755,倒U（中間最好）,❌ 淘汰,4,0.0765,0.037,0.0534,1,0.063,0.0602,0.0507,0.0474,0.0401,0.0765,0.0604,0.0672,0.0412,0.037
REV_G,-0.167,0.6682,U型（兩端最好）,❌ 淘汰,0,0.0779,0.0266,0.0568,3,0.353,0.0779,0.0753,0.036,0.066,0.0266,0.0477,0.0459,0.0594,0.0767
ROIC,-0.15,0.7001,無序,❌ 淘汰,0,0.0785,0.045,0.0577,1,0.43,0.0785,0.0516,0.0513,0.0454,0.0557,0.0526,0.0651,0.0743,0.045
OCF_E,0.117,0.765,U型（兩端最好）,❌ 淘汰,8,0.0754,0.034,0.0545,1,0.041,0.0664,0.0531,0.0586,0.0498,0.036,0.034,0.063,0.0541,0.0754
FCF_P,-0.1,0.798,倒U（中間最好）,❌ 淘汰,5,0.0838,0.0236,0.0533,1,0.106,0.0618,0.0424,0.0498,0.0236,0.0609,0.0838,0.0593,0.0559,0.0423
ROE,0.033,0.9322,U型（兩端最好）,❌ 淘汰,6,0.0847,0.0295,0.0577,1,0.017,0.0737,0.0645,0.0476,0.0394,0.0295,0.0588,0.0847,0.0647,0.0566
CROIC,0.0,1.0,倒U（中間最好）,❌ 淘汰,4,0.0756,0.0301,0.0528,1,0.135,0.0597,0.032,0.0645,0.0301,0.0756,0.0589,0.0687,0.0466,0.0387
MOM1,1.0,0.0,單調↑,🚫 前瞻偏誤,8,0.6462,-0.2131,0.0709,4,0.126,-0.2131,-0.1254,-0.0836,-0.0474,0.0127,0.0798,0.1388,0.2302,0.6462
