因子,Spearman_rho,p值,形狀,判定,最佳桶,最佳桶CAGR,最差桶CAGR,全桶均值,贏大盤桶數,最佳桶與最小規模重疊,桶0,桶1,桶2,桶3,桶4,桶5,桶6,桶7,桶8
REVENUE,-0.983,0.0,單調↓,✅ 過關,0,0.3429,0.1128,0.1777,8,,0.3429,0.1809,0.2163,0.1615,0.1509,0.149,0.1433,0.1417,0.1128
VOL,0.983,0.0,單調↑,✅ 過關,8,0.3765,0.1166,0.1662,5,0.403,0.1184,0.1166,0.1204,0.1227,0.1296,0.1474,0.1588,0.2051,0.3765
P_IC,-0.967,0.0,單調↓,✅ 過關,0,0.2492,0.1351,0.1718,9,0.098,0.2492,0.1881,0.1775,0.1722,0.1734,0.1609,0.1519,0.1351,0.1377
PS,-0.95,0.0001,單調↓,✅ 過關,0,0.3505,0.1124,0.1709,8,0.059,0.3505,0.2024,0.1729,0.1527,0.1469,0.1367,0.1273,0.1124,0.1361
EV_EBITDA,-0.933,0.0002,單調↓,✅ 過關,1,0.3253,0.1084,0.1698,7,0.238,0.1897,0.3253,0.2291,0.152,0.146,0.136,0.1173,0.1241,0.1084
EV_S,-0.933,0.0002,單調↓,✅ 過關,0,0.3086,0.1213,0.1714,7,0.094,0.3086,0.211,0.1734,0.1514,0.1807,0.1407,0.133,0.1213,0.1225
PB,-0.933,0.0002,單調↓,✅ 過關,0,0.3926,0.1326,0.174,9,0.173,0.3926,0.1963,0.1508,0.1428,0.1391,0.1424,0.1345,0.1326,0.1345
EPS,-0.9,0.0009,單調↓,✅ 過關,1,0.3371,0.1187,0.1737,7,0.276,0.1608,0.3371,0.2522,0.1724,0.1499,0.1289,0.124,0.1194,0.1187
ACCRUAL,-0.4,0.2861,U型（兩端最好）,⚠️ 只取極端桶,0,0.3454,0.1275,0.1715,9,0.236,0.3454,0.1908,0.1515,0.1352,0.1349,0.1275,0.1431,0.1397,0.175
OCF_E,0.35,0.3558,U型（兩端最好）,⚠️ 只取極端桶,8,0.2288,0.1233,0.1714,8,0.088,0.2136,0.1709,0.1423,0.1233,0.1279,0.1373,0.2237,0.1746,0.2288
CROIC,0.167,0.6682,U型（兩端最好）,⚠️ 只取極端桶,8,0.2738,0.1241,0.1708,9,0.064,0.2324,0.1623,0.1452,0.1241,0.1405,0.1378,0.1501,0.1707,0.2738
FCF_P,0.083,0.8312,U型（兩端最好）,⚠️ 只取極端桶,0,0.3099,0.1109,0.1714,7,0.301,0.3099,0.1403,0.1109,0.1644,0.1165,0.1347,0.136,0.1751,0.2547
ROIC,-0.067,0.8647,U型（兩端最好）,⚠️ 只取極端桶,0,0.3375,0.134,0.172,9,0.54,0.3375,0.1686,0.1454,0.1444,0.134,0.1529,0.1465,0.1473,0.1717
MOM,-0.05,0.8984,U型（兩端最好）,⚠️ 只取極端桶,0,0.2682,0.1296,0.1643,9,0.216,0.2682,0.1428,0.1483,0.1486,0.1448,0.1296,0.1334,0.1499,0.2132
REV_G,-0.033,0.9322,U型（兩端最好）,⚠️ 只取極端桶,8,0.24,0.1433,0.1715,9,0.186,0.2122,0.1546,0.1697,0.1481,0.1637,0.1433,0.1532,0.1591,0.24
ROE,-0.017,0.9661,U型（兩端最好）,⚠️ 只取極端桶,0,0.299,0.1216,0.1728,8,0.428,0.299,0.1766,0.1448,0.1216,0.1329,0.1464,0.1576,0.1552,0.2214
DEBTRATIO,-0.017,0.9661,U型（兩端最好）,⚠️ 只取極端桶,0,0.2352,0.1473,0.1761,9,0.313,0.2352,0.1671,0.1535,0.1657,0.1548,0.1473,0.1642,0.1675,0.23
NETDEBT_EBITDA,-0.533,0.1392,U型（兩端最好）,⚠️ 邊際,0,0.2607,0.1485,0.1712,9,0.2,0.2607,0.1703,0.1772,0.1485,0.1593,0.1511,0.1535,0.1666,0.1537
FCF_OI,-0.217,0.5755,U型（兩端最好）,❌ 淘汰,6,0.2168,0.1502,0.1696,9,0.033,0.1909,0.1739,0.1656,0.1514,0.1559,0.1502,0.2168,0.155,0.1663
MOM1,1.0,0.0,單調↑,🚫 前瞻偏誤,8,0.7088,-0.0985,0.1779,5,0.163,-0.0985,-0.016,0.0651,0.1004,0.1333,0.1735,0.2269,0.307,0.7088
