因子,Spearman_rho,p值,形狀,判定,最佳桶,最佳桶CAGR,最差桶CAGR,全桶均值,贏大盤桶數,最佳桶與最小規模重疊,桶0,桶1,桶2,桶3,桶4,桶5,桶6,桶7,桶8
VOL,1.0,0.0,單調↑,✅ 過關,8,0.4554,0.0427,0.1375,2,0.394,0.0427,0.0471,0.0562,0.0679,0.0755,0.115,0.1388,0.2386,0.4554
CROIC,-0.433,0.244,U型（兩端最好）,⚠️ 只取極端桶,0,0.3814,0.0631,0.1373,3,0.602,0.3814,0.2098,0.0996,0.0728,0.0703,0.0733,0.0631,0.0916,0.1739
ROIC,-0.4,0.2861,U型（兩端最好）,⚠️ 只取極端桶,0,0.4544,0.0539,0.1399,3,0.62,0.4544,0.1813,0.0893,0.0746,0.0539,0.081,0.072,0.0878,0.1652
REV_G,0.35,0.3558,U型（兩端最好）,⚠️ 只取極端桶,0,0.2685,0.0626,0.1259,2,0.357,0.2685,0.078,0.0626,0.0909,0.0787,0.1095,0.1067,0.123,0.2149
DEBTRATIO,-0.283,0.46,U型（兩端最好）,⚠️ 只取極端桶,0,0.2205,0.0797,0.1361,4,0.344,0.2205,0.1431,0.1113,0.1293,0.1534,0.1088,0.0797,0.1177,0.1615
MOM,-0.233,0.5457,U型（兩端最好）,⚠️ 只取極端桶,0,0.3054,0.0885,0.1345,2,0.225,0.3054,0.1036,0.1389,0.0992,0.1018,0.0916,0.0885,0.1229,0.1589
OCF_E,-0.183,0.6368,U型（兩端最好）,⚠️ 只取極端桶,0,0.2788,0.0667,0.1375,3,0.385,0.2788,0.2036,0.0949,0.0667,0.1137,0.0687,0.0889,0.1079,0.214
FCF_P,-0.15,0.7001,U型（兩端最好）,⚠️ 只取極端桶,0,0.5212,0.0399,0.1349,3,0.412,0.5212,0.1439,0.065,0.0399,0.0776,0.054,0.0537,0.0911,0.1681
ACCRUAL,-0.067,0.8647,U型（兩端最好）,⚠️ 只取極端桶,0,0.2861,0.078,0.1366,2,0.214,0.2861,0.1387,0.1085,0.0921,0.078,0.0787,0.1029,0.1396,0.2044
ROE,-0.017,0.9661,U型（兩端最好）,⚠️ 只取極端桶,0,0.3501,0.0537,0.1332,3,0.445,0.3501,0.1754,0.0631,0.0537,0.081,0.0679,0.0797,0.1179,0.2098
EV_EBITDA,-0.85,0.0037,U型（兩端最好）,⚠️ 邊際,1,0.5023,0.0452,0.1423,2,0.537,0.1194,0.5023,0.1982,0.1086,0.0886,0.0743,0.0641,0.0452,0.0797
PB,-0.8,0.0096,U型（兩端最好）,⚠️ 邊際,0,0.3471,0.0756,0.1433,2,0.156,0.3471,0.207,0.1346,0.1177,0.0955,0.0756,0.1077,0.1129,0.0918
P_IC,-0.8,0.0096,倒U（中間最好）,⚠️ 邊際,1,0.1951,0.0773,0.1412,5,0.049,0.1659,0.1951,0.1456,0.1747,0.1847,0.13,0.102,0.0959,0.0773
EV_S,-0.733,0.0246,U型（兩端最好）,⚠️ 邊際,0,0.321,0.0482,0.1313,2,0.08,0.321,0.1746,0.1303,0.1159,0.096,0.077,0.0903,0.0482,0.1287
FCF_OI,-0.7,0.0358,U型（兩端最好）,⚠️ 邊際,0,0.3339,0.0667,0.1266,2,0.521,0.3339,0.1771,0.1262,0.094,0.0876,0.0699,0.0886,0.0667,0.0954
EPS,-0.667,0.0499,U型（兩端最好）,⚠️ 邊際,1,0.2595,0.072,0.1319,3,0.315,0.1789,0.2595,0.2423,0.1104,0.0763,0.072,0.0759,0.0814,0.091
REVENUE,-0.667,0.0499,U型（兩端最好）,⚠️ 邊際,0,0.4301,0.0514,0.1375,2,,0.4301,0.1557,0.1174,0.118,0.0514,0.0796,0.075,0.0993,0.1111
NETDEBT_EBITDA,-0.617,0.0769,U型（兩端最好）,⚠️ 邊際,0,0.2589,0.0432,0.1238,2,0.193,0.2589,0.1233,0.1531,0.1293,0.1247,0.0864,0.068,0.0432,0.1272
PS,-0.517,0.1544,U型（兩端最好）,⚠️ 邊際,0,0.2793,0.0682,0.1297,3,0.047,0.2793,0.1463,0.1397,0.1165,0.0943,0.0836,0.0916,0.0682,0.1478
MOM1,0.983,0.0,單調↑,🚫 前瞻偏誤,8,0.8293,-0.1555,0.1563,4,0.191,-0.1555,-0.1053,-0.0027,0.0578,0.0921,0.1977,0.182,0.3113,0.8293
