F1,k1,CAGR,max_drawdown,win_ratio,平均持股數,角色池,贏大盤,可當primary,可當secondary
P_IC,0,0.14417985702393699,-0.48402665510500653,0.565553835949591,514.2123552123552,primary,0.05743811452727843,True,True
PB,0,0.14168054854063916,-0.4805040989890291,0.5851605324980423,514.2123552123552,primary,0.054938806043980604,True,True
EV_S,0,0.13327189080824864,-0.4721118110387551,0.5002800074668657,501.0888030888031,primary,0.04653014831159008,True,True
PS,0,0.13063337928522634,-0.46758439273157204,0.4948511514697622,513.8108108108108,primary,0.04389163678856778,True,True
REVENUE,0,0.1284863418294273,-0.5545230907420808,0.503140703517588,527.0938775510205,primary,0.04174459933276875,True,True
DEBTRATIO,2,0.12359362318589961,-0.5729141524343505,0.4988249118683901,527.861224489796,primary,0.03685188068924106,True,True
MOM,2,0.11856824252898823,-0.6749403235113269,0.4558436546086102,434.93831168831167,primary,0.031826500032329674,True,True
NETDEBT_EBITDA,2,0.11809083380505081,-0.6041579742268902,0.5296584781306172,505.869387755102,primary,0.03134909130839225,True,True
NETDEBT_EBITDA,0,0.11331787103451774,-0.6021966415480104,0.519591496456857,505.2326530612245,primary,0.02657612853785918,True,True
NETDEBT_EBITDA,1,0.11276265594939483,-0.5686214517287074,0.460379746835443,505.63673469387754,primary,0.026020913452736272,True,True
DEBTRATIO,0,0.11200415702346356,-0.5942142104505892,0.4980453479280688,527.0571428571428,primary,0.025262414526805,True,True
ROE,2,0.11162424264325921,-0.520825461343833,0.436377358490566,467.81168831168833,primary,0.02488250014660065,True,True
REV_G,2,0.11153517990778772,-0.5713354342225143,0.4586159169550173,523.3605150214593,primary,0.02479343741112916,True,True
REVENUE,1,0.1099865329938079,-0.6142562176223375,0.4606024336724516,527.5428571428571,primary,0.023244790497149337,True,True
REV_G,1,0.10951862084348774,-0.5916919059930368,0.49172421352625234,523.0600858369098,primary,0.022776878346829177,True,True
ROIC,2,0.10758861515003071,-0.5330694594745297,0.42793826671943014,467.66883116883116,primary,0.02084687265337215,True,True
ACCRUAL,0,0.10553560931492867,-0.5738139876901731,0.45771897664780425,526.4489795918367,primary,0.01879386681827011,False,True
DEBTRATIO,1,0.10535465185402293,-0.595458834053517,0.4747053751077896,527.530612244898,primary,0.01861290935736437,False,True
ACCRUAL,1,0.10529884050662974,-0.6051113525941972,0.47168443496801704,526.861224489796,primary,0.018557098009971185,False,True
REVENUE,2,0.10379897008345074,-0.5915041048307794,0.40671641791044777,527.8938775510204,primary,0.01705722758679218,False,True
EV_EBITDA,1,0.10372241786427683,-0.5900142098933683,0.4685840966104661,506.18831168831167,primary,0.01698067536761827,False,True
EV_S,1,0.10266141986318345,-0.6091781443196753,0.443523419554579,503.34090909090907,primary,0.015919677366524887,False,True
EPS,2,0.10216019434105994,-0.5470481484364009,0.4204008908685969,468.27597402597405,primary,0.015418451844401382,False,True
OCF_E,2,0.10165365546317728,-0.5489520679655904,0.4493927125506073,463.50324675324674,primary,0.014911912966518726,False,True
REV_G,0,0.09788487501329324,-0.639426094536139,0.48283016168264414,522.6523605150214,primary,0.01114313251663468,False,True
PB,1,0.09692628247868251,-0.6071635499764209,0.4519762441122261,514.5454545454545,primary,0.010184539982023955,False,True
ACCRUAL,2,0.09688590753947568,-0.5966420652684665,0.4554117079446767,527.1714285714286,primary,0.010144165042817122,False,True
P_IC,1,0.09688171541380508,-0.6006385453301648,0.45678730448681354,514.5454545454545,primary,0.010139972917146522,False,True
FCF_P,2,0.09674571300613022,-0.6072402665023171,0.476676798378926,459.6866197183099,primary,0.01000397050947166,False,True
VOL,0,0.09535824524447123,-0.5596445801749459,0.5452596985068229,430.27272727272725,primary,0.008616502747812671,False,True
PS,1,0.09437156144082959,-0.620663710252574,0.44149687310873514,514.237012987013,primary,0.00762981894417103,False,True
FCF_P,0,0.0929719556282309,-0.586225175857999,0.4541265698907193,444.14084507042253,primary,0.006230213131572349,False,True
FCF_OI,0,0.08973423336422459,-0.5673898792886185,0.4267868193069307,442.60714285714283,primary,0.0029924908675660333,False,True
EPS,0,0.08966283478062076,-0.5997578463141627,0.41388387484957884,467.09415584415586,primary,0.002921092283962201,False,True
CROIC,2,0.08898851240816863,-0.6185513008429615,0.44216987026351573,456.02597402597405,primary,0.0022467699115100714,False,True
VOL,1,0.08855455809646906,-0.6374546762517268,0.4909583703891924,430.6818181818182,primary,0.0018128155998105022,False,True
VOL,2,0.08827207353591549,-0.7245179383913025,0.4443503744708564,430.9318181818182,primary,0.001530331039256927,False,True
ROE,0,0.08782403713321996,-0.6033670373589046,0.40888045540796963,466.90584415584414,primary,0.0010822946365613983,False,True
FCF_OI,2,0.08743768433206145,-0.6231207244766376,0.4405298013245033,454.7857142857143,primary,0.0006959418354028912,False,True
CROIC,1,0.08722654247748785,-0.5606775139926239,0.42877756400769573,493.13961038961037,primary,0.0004847999808292869,False,True
FCF_OI,1,0.08632876369095532,-0.5479233498552206,0.42231570512820515,490.7857142857143,primary,-0.00041297880570323464,False,True
EPS,1,0.08587260103959249,-0.5843317411174356,0.4216956292785677,475.9642857142857,primary,-0.0008691414570660694,False,True
ROIC,0,0.08573264458838703,-0.5986826295566482,0.41136517998641614,467.4155844155844,primary,-0.001009097908271528,False,True
EV_EBITDA,0,0.08514537651976384,-0.5722902262612264,0.48399219483992195,471.0875912408759,primary,-0.0015963659768947203,False,True
CROIC,0,0.08434659516716825,-0.5604497345223203,0.4255473893737559,440.6948051948052,primary,-0.0023951473294903103,False,True
MOM,1,0.08334045370437204,-0.6160700934659336,0.5039467014266058,434.6233766233766,primary,-0.0034012887922865165,False,True
ROIC,1,0.0831481524921176,-0.5972918324211058,0.42846404409922323,476.25324675324674,primary,-0.0035935900045409586,False,True
OCF_E,1,0.0810112342453555,-0.5760462850237453,0.4311701664887096,500.6038961038961,primary,-0.005730508251303057,False,True
OCF_E,0,0.07954786546348691,-0.6125408020886838,0.42857758806536456,446.1655844155844,primary,-0.007193877033171647,False,True
ROE,1,0.07858330616223919,-0.6033246029964726,0.4303569643035696,476.62012987012986,primary,-0.008158436334419372,False,True
FCF_P,1,0.07654631314386018,-0.5604472002256384,0.451104935821093,527.5487012987013,primary,-0.01019542935279838,False,False
PS,2,0.07295976525123815,-0.6362112723403341,0.4182279469164715,471.34507042253523,primary,-0.013781977245420407,False,False
EV_S,2,0.07054684751048201,-0.646208107073259,0.4057312252964427,460.25704225352115,primary,-0.016194894986176545,False,False
PB,2,0.06103512318933868,-0.6412715743771797,0.3577034283353986,471.75704225352115,primary,-0.025706619307319878,False,False
P_IC,2,0.059737720923136006,-0.6449016223592864,0.3628297922017278,471.75704225352115,primary,-0.027004021573522552,False,False
EV_EBITDA,2,0.05499012371873868,-0.6614895438307475,0.446021450131655,460.2007042253521,primary,-0.03175161877791988,False,False
MOM,0,0.05374675028494491,-0.653982080587229,0.49878753298623496,434.2987012987013,primary,-0.03299499221171365,False,False
