strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,晉升,未過原因
P_IC_qb0of3__REVENUE_qb0of3__None__v0,P_IC_qb0,REVENUE_qb0,0.24055303039082032,0.18180748761405363,0.05874554277676669,-0.5270445804395121,0.5751445086705202,95.42424242424242,True,
P_IC_qb0of3__VOL_qb2of3__None__v0,P_IC_qb0,VOL_qb2,0.22561198135881777,0.18180748761405363,0.04380449374476414,-0.6649515211692147,0.5032842180010652,122.54882154882155,True,
PS_qb0of3__REVENUE_qb0of3__None__v0,PS_qb0,REVENUE_qb0,0.2095689024040155,0.16620841805915898,0.04336048434485651,-0.7742426026486395,0.5147857573928787,54.168350168350166,True,
P_IC_qb0of3__ROE_qb2of3__None__v0,P_IC_qb0,ROE_qb2,0.20928208051419395,0.18180748761405363,0.027474592900140316,-0.46625993457765913,0.5181623931623932,68.52861952861953,True,
PB_qb0of3__ROIC_qb2of3__None__v0,PB_qb0,ROIC_qb2,0.2065902141161089,0.1813653578473695,0.025224856268739382,-0.4591093122432365,0.5103763629968343,47.54014598540146,True,
PB_qb0of3__ROE_qb2of3__None__v0,PB_qb0,ROE_qb2,0.20625735013604096,0.1813653578473695,0.02489199228867145,-0.44223308485115387,0.5180316818335019,45.02020202020202,True,
P_IC_qb0of3__DEBTRATIO_qb0of3__None__v0,P_IC_qb0,DEBTRATIO_qb0,0.20424156536402682,0.18180748761405363,0.02243407774997319,-0.5663237341577161,0.5981308411214953,50.30639730639731,True,
PB_qb0of3__REVENUE_qb0of3__None__v0,PB_qb0,REVENUE_qb0,0.2017136101252761,0.1813653578473695,0.020348252277906598,-0.5509715311917778,0.6118449083936941,122.03367003367003,True,
EV_S_qb0of3__REVENUE_qb0of3__None__v0,EV_S_qb0,REVENUE_qb0,0.2016024825109346,0.15765702596425268,0.043945456546681916,-0.4385810619181686,0.5620950323974082,70.48484848484848,True,
PB_qb0of3__VOL_qb2of3__None__v0,PB_qb0,VOL_qb2,0.20120138940201193,0.1813653578473695,0.01983603155464242,-0.655379668807939,0.49445407279029463,112.97643097643098,True,
PB_qb0of3__PS_qb0of3__None__v0,PB_qb0,PS_qb0,0.19683269190132835,0.1813653578473695,0.015467334053958837,-0.567354790310797,0.6201030927835052,256.0875420875421,True,
PB_qb0of3__OCF_E_qb2of3__None__v0,PB_qb0,OCF_E_qb2,0.1959933102234963,0.1813653578473695,0.014627952376126796,-0.5443795783604286,0.5145234272368997,109.73400673400674,True,
EV_S_qb0of3__MOM_qb2of3__None__v0,EV_S_qb0,MOM_qb2,0.19563407710056202,0.15765702596425268,0.03797705113630934,-0.63095322319809,0.4880317860257777,156.3838383838384,True,
PB_qb0of3__EV_EBITDA_qb0of3__None__v0,PB_qb0,EV_EBITDA_qb0,0.1952473266098218,0.1813653578473695,0.01388196876245229,-0.5529732347749178,0.5405482991244438,207.27272727272728,True,
P_IC_qb0of3__EV_EBITDA_qb0of3__None__v0,P_IC_qb0,EV_EBITDA_qb0,0.19372967359465032,0.18180748761405363,0.011922185980596689,-0.5362828975487952,0.5203354961228043,197.8080808080808,True,
PB_qb0of3__EV_S_qb0of3__None__v0,PB_qb0,EV_S_qb0,0.19275879846190347,0.1813653578473695,0.011393440614533956,-0.5475926237311515,0.616516762060507,241.83838383838383,True,
PS_qb0of3__EV_EBITDA_qb0of3__None__v0,PS_qb0,EV_EBITDA_qb0,0.19253203521120743,0.16620841805915898,0.02632361715204845,-0.507684530223653,0.5058874210224009,183.84848484848484,True,
EV_EBITDA_qb0of3__EPS_qb1of3__None__v0,EV_EBITDA_qb0,EPS_qb1,0.19110112469890317,0.15064716102265807,0.0404539636762451,-0.5069566918658055,0.5346797225622195,113.26936026936026,True,
P_IC_qb0of3__PS_qb0of3__None__v0,P_IC_qb0,PS_qb0,0.19078211269583956,0.18180748761405363,0.008974625081785925,-0.5654281648614601,0.6136541982736071,293.74747474747477,True,
PB_qb0of3__FCF_OI_qb1of3__None__v0,PB_qb0,FCF_OI_qb1,0.19021651029963826,0.1813653578473695,0.008851152452268751,-0.5676334513739203,0.5063129702844025,148.86868686868686,True,
PB_qb0of3__DEBTRATIO_qb2of3__None__v0,PB_qb0,DEBTRATIO_qb2,0.18803320787283906,0.1813653578473695,0.006667850025469546,-0.5881652937802303,0.6022453889334403,170.23905723905725,True,
PB_qb0of3__EPS_qb1of3__None__v0,PB_qb0,EPS_qb1,0.1872423546907871,0.1813653578473695,0.005876996843417581,-0.5190152789909477,0.5351769011793412,180.2053872053872,True,
P_IC_qb0of3__PB_qb0of3__None__v0,P_IC_qb0,PB_qb0,0.18660855823064182,0.18180748761405363,0.004801070616588188,-0.5805373619045554,0.6692675560030203,348.35353535353534,True,
PB_qb0of3__NETDEBT_EBITDA_qb0of3__None__v0,PB_qb0,NETDEBT_EBITDA_qb0,0.1865829469130269,0.1813653578473695,0.005217589065657391,-0.5399443350236575,0.6272164948453608,134.5185185185185,True,
P_IC_qb0of3__EV_S_qb0of3__None__v0,P_IC_qb0,EV_S_qb0,0.18640346143351416,0.18180748761405363,0.00459597381946053,-0.5518399586108385,0.6008941877794337,239.6094276094276,True,
PB_qb0of3__CROIC_qb1of3__None__v0,PB_qb0,CROIC_qb1,0.1862212988540406,0.1813653578473695,0.004855941006671083,-0.572903549780065,0.5166314384247414,170.21212121212122,True,
PS_qb0of3__MOM_qb2of3__None__v0,PS_qb0,MOM_qb2,0.18562674496910136,0.16620841805915898,0.019418326909942385,-0.6434105586312606,0.47855072463768117,156.2828282828283,True,
P_IC_qb0of3__FCF_OI_qb1of3__None__v0,P_IC_qb0,FCF_OI_qb1,0.18557700877894123,0.18180748761405363,0.0037695211648876015,-0.5609899225674644,0.4992764109985528,143.95286195286195,True,
P_IC_qb0of3__NETDEBT_EBITDA_qb1of3__None__v0,P_IC_qb0,NETDEBT_EBITDA_qb1,0.18511348712500109,0.18180748761405363,0.003305999510947455,-0.5398577824924504,0.5337039610840861,97.6936026936027,True,
P_IC_qb0of3__REVENUE_qb1of3__None__v0,P_IC_qb0,REVENUE_qb1,0.18484843634274561,0.18180748761405363,0.0030409487286919834,-0.5780364755612614,0.5656898254856767,152.2962962962963,True,
P_IC_qb0of3__OCF_E_qb2of3__None__v0,P_IC_qb0,OCF_E_qb2,0.18457415552402745,0.18180748761405363,0.002766667909973819,-0.5287015163352335,0.5166996699669967,131.37373737373738,True,
P_IC_qb0of3__EPS_qb2of3__None__v0,P_IC_qb0,EPS_qb2,0.1841647714239283,0.18180748761405363,0.002357283809874655,-0.5540777724452621,0.5056320400500626,67.43097643097643,True,
PS_qb0of3__VOL_qb2of3__None__v0,PS_qb0,VOL_qb2,0.18311636878696436,0.16620841805915898,0.016907950727805376,-0.6708054793106959,0.48667122351332875,127.63299663299664,True,
P_IC_qb0of3__ROIC_qb1of3__None__v0,P_IC_qb0,ROIC_qb1,0.18305739841769153,0.18180748761405363,0.0012499108036378992,-0.5258095132076328,0.5282313866592859,187.5993265993266,True,
PB_qb0of3__ROE_qb1of3__None__v0,PB_qb0,ROE_qb1,0.1827049174072004,0.1813653578473695,0.001339559559830894,-0.5312032372380033,0.5320574162679426,185.65993265993265,True,
