F1,k1,CAGR,max_drawdown,win_ratio,平均持股數,角色池,贏大盤,可當primary,可當secondary
MOM,2,0.10205881692342578,-0.27798121729225134,0.37978509066487576,590.8510638297872,primary,0.02742118809279037,True,True
EV_S,0,0.10160886715511852,-0.25077360941635907,0.5515564202334631,590.531914893617,primary,0.026971238324483116,True,True
REVENUE,0,0.10144713727572485,-0.27368847818247277,0.534711964549483,594.4042553191489,secondary,0.026809508445089447,False,True
PB,0,0.09829738924688991,-0.26292235672593445,0.6695005313496281,594.4042553191489,secondary,0.023659760416254505,False,True
P_IC,0,0.09307284335656618,-0.26832520960533923,0.6850192061459667,594.4042553191489,secondary,0.018435214525930776,False,True
EV_EBITDA,0,0.08852766376889343,-0.2743716041145762,0.4479623824451411,590.531914893617,secondary,0.013890034938258022,False,True
PS,0,0.0871062861624019,-0.26062993834019677,0.5176876617773943,594.4042553191489,secondary,0.012468657331766497,False,True
NETDEBT_EBITDA,0,0.08527789409546527,-0.27685125117192255,0.4991869918699187,591.0851063829788,secondary,0.010640265264829862,False,True
DEBTRATIO,2,0.08354313261061042,-0.2788745998739621,0.4766619519094767,595.4042553191489,secondary,0.00890550377997501,False,True
PB,1,0.08030521537285096,-0.27096900976161975,0.45735217163788594,594.5744680851063,secondary,0.0056675865422155525,False,True
P_IC,1,0.07948213593383202,-0.2769251385433875,0.4630541871921182,594.531914893617,secondary,0.004844507103196616,False,True
NETDEBT_EBITDA,1,0.07798780327380639,-0.2674244892727422,0.396078431372549,591.2553191489362,secondary,0.0033501744431709835,False,True
ROE,2,0.07729472467795628,-0.2637303424461519,0.38264738598442716,595.4042553191489,secondary,0.0026570958473208783,False,True
EPS,2,0.0762946445399959,-0.26720179856185855,0.35196589294173375,595.8723404255319,secondary,0.0016570157093604987,False,True
VOL,0,0.0735235722023646,-0.20792567900824277,0.5018675721561969,589.1489361702128,secondary,-0.0011140566282707987,False,True
PS,1,0.0729040058494046,-0.2782805907366779,0.43349753694581283,594.531914893617,secondary,-0.001733622981230809,False,True
OCF_E,2,0.07091391413576109,-0.2604580808664835,0.4223615042458552,595.4042553191489,secondary,-0.003723714694874314,False,True
REV_G,0,0.07080902580354542,-0.2686629178565816,0.4665455646382077,593.1063829787234,secondary,-0.003828603027089983,False,True
ROIC,2,0.06998692595372691,-0.26826806665027836,0.3683803633552377,595.4042553191489,secondary,-0.004650702876908497,False,True
ROE,0,0.06958190032401612,-0.30898874934364273,0.4630560928433269,594.4042553191489,secondary,-0.005055728506619284,False,True
REV_G,2,0.06852560671969332,-0.3149903028986686,0.3887905604719764,594.063829787234,secondary,-0.006112022110942084,False,True
ROIC,0,0.068078169382773,-0.30713330423754737,0.4635338345864662,594.4042553191489,secondary,-0.0065594594478624035,False,True
DEBTRATIO,0,0.06752830880298988,-0.2799569495376112,0.4473684210526316,594.4042553191489,secondary,-0.007109320027645527,False,True
FCF_OI,1,0.066366577611497,-0.28028140741100926,0.42281021897810217,593.4042553191489,secondary,-0.008271051219138403,False,True
OCF_E,0,0.06579432860942602,-0.3113378848268423,0.43137254901960786,594.4042553191489,secondary,-0.008843300221209383,False,True
EV_S,1,0.06557938299351962,-0.2817120798243292,0.4506393861892583,591.1489361702128,primary,-0.009058245837115786,False,True
VOL,1,0.06531023096143729,-0.3080146522058934,0.4308157099697885,590.0212765957447,secondary,-0.009327397869198117,False,True
EPS,0,0.06502192309518762,-0.314113196918562,0.45149253731343286,594.3404255319149,secondary,-0.009615705735447788,False,True
EV_EBITDA,1,0.06501541130436861,-0.2628225788316926,0.416823434560602,591.1489361702128,secondary,-0.009622217526266796,False,True
DEBTRATIO,1,0.06453598933628335,-0.28584658246963734,0.4289544235924933,594.5957446808511,secondary,-0.010101639494352055,False,False
ACCRUAL,0,0.06406492627418303,-0.2752270968747581,0.4274929775280899,594.4042553191489,secondary,-0.010572702556452374,False,False
FCF_P,1,0.06296990760018639,-0.28320414512581804,0.4228295819935691,592.4042553191489,secondary,-0.011667721230449013,False,False
CROIC,1,0.06133498503270762,-0.2882098659243336,0.42445311175173817,593.4042553191489,secondary,-0.013302643797927782,False,False
MOM,1,0.060536436300140606,-0.26513433941180775,0.46333907056798623,590.8510638297872,primary,-0.0141011925304948,False,False
ROIC,1,0.05971073517401826,-0.2802732695912702,0.43173891380169405,594.5957446808511,secondary,-0.014926893656617146,False,False
ACCRUAL,1,0.0592710501440894,-0.2799864564020619,0.42024202420242024,594.5957446808511,secondary,-0.015366578686546006,False,False
REVENUE,2,0.05926360860679192,-0.28917827546737873,0.29718004338394793,595.4042553191489,secondary,-0.015374020223843488,False,False
EPS,1,0.058296689334486285,-0.27461007513466185,0.4246686502569651,594.1914893617021,secondary,-0.01634093949614912,False,False
FCF_P,2,0.05782172052603274,-0.2767753354178525,0.4337447223124391,592.531914893617,secondary,-0.016815908304602667,False,False
FCF_OI,0,0.057645210897491195,-0.3083292429302402,0.4127545010937237,593.4042553191489,secondary,-0.01699241793314421,False,False
CROIC,0,0.05758946773262541,-0.30859267950766434,0.4112998150327896,593.4042553191489,secondary,-0.017048161098009995,False,False
REVENUE,1,0.056937220208656436,-0.2832190608134322,0.41356255969436484,594.5957446808511,secondary,-0.01770040862197897,False,False
CROIC,2,0.05683566604632584,-0.2692827061165741,0.4335378323108384,593.5957446808511,secondary,-0.017801962784309566,False,False
FCF_P,0,0.05657154512566542,-0.3049232200239894,0.4150785690404547,592.1489361702128,secondary,-0.018066083704969982,False,False
ACCRUAL,2,0.05599511979435978,-0.30723507884575285,0.42263483642793986,595.4042553191489,secondary,-0.018642509036275623,False,False
REV_G,1,0.05479647678723065,-0.2717438506384622,0.43831902394939,593.2978723404256,secondary,-0.019841152043404753,False,False
FCF_OI,2,0.05369401518789618,-0.27528302817210315,0.4391657010428737,593.5957446808511,secondary,-0.020943613642739223,False,False
VOL,2,0.05338783577065476,-0.34233521067943795,0.36138014527845036,590.0212765957447,secondary,-0.02124979305998065,False,False
PS,2,0.05266760279386751,-0.30628362659811537,0.37465309898242366,595.1489361702128,secondary,-0.021970026036767898,False,False
NETDEBT_EBITDA,2,0.05211699807834558,-0.30727623146239025,0.5523349436392915,591.4255319148937,secondary,-0.022520630752289827,False,False
ROE,1,0.051070796642289196,-0.28929156812584933,0.4354919678714859,594.5957446808511,secondary,-0.02356683218834621,False,False
OCF_E,1,0.04712775269384917,-0.2919292296404029,0.4223254014316115,594.5957446808511,secondary,-0.027509876136786238,False,False
EV_S,2,0.047014022791319166,-0.3154237498174782,0.3651844843897824,591.4042553191489,primary,-0.02762360603931624,False,False
EV_EBITDA,2,0.043468458959934786,-0.31671012479738103,0.4096004599022708,591.4042553191489,secondary,-0.03116916987070062,False,False
P_IC,2,0.04229764145901771,-0.30134948838108055,0.2755453501722158,595.1489361702128,secondary,-0.032339987371617696,False,False
PB,2,0.035082521487208806,-0.310929890711662,0.25267249757045673,595.1063829787234,secondary,-0.0395551073434266,False,False
MOM,0,0.014245962465021744,-0.3274916070672519,0.4545300878972279,589.9148936170212,primary,-0.06039166636561366,False,False
