strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,持股月份覆蓋率,持股數p10,晉升,未過原因
EV_S_qb0of3__REVENUE_qb0of3__None__v0,EV_S_qb0,REVENUE_qb0,0.185020676859164,0.10160886715511852,0.08341180970404549,-0.23226197580747143,0.5584045584045584,82.95744680851064,1.0,71.0,True,
EV_S_qb0of3__PS_qb1of3__None__v0,EV_S_qb0,PS_qb1,0.1494327236674522,0.10160886715511852,0.04782385651233367,-0.23947385808279242,0.5051395007342144,94.23404255319149,1.0,84.2,True,
MOM_qb2of3__EV_S_qb0of3__None__v0,MOM_qb2,EV_S_qb0,0.13292930097775435,0.10205881692342578,0.030870484054328573,-0.2565535605684156,0.4126984126984127,215.9787234042553,1.0,186.0,True,
MOM_qb2of3__P_IC_qb0of3__None__v0,MOM_qb2,P_IC_qb0,0.129113969736951,0.10205881692342578,0.02705515281352522,-0.2823793646106608,0.39503904455672945,201.19148936170214,1.0,162.0,True,
EV_S_qb0of3__NETDEBT_EBITDA_qb0of3__None__v0,EV_S_qb0,NETDEBT_EBITDA_qb0,0.12828527868128847,0.10160886715511852,0.026676411526169952,-0.24885155466950637,0.5619295958279009,228.70212765957447,1.0,218.0,True,
MOM_qb2of3__OCF_E_qb2of3__None__v0,MOM_qb2,OCF_E_qb2,0.12539652096921095,0.10205881692342578,0.023337704045785168,-0.23522643694506618,0.42549981139192755,215.2340425531915,1.0,200.8,True,
MOM_qb2of3__PS_qb0of3__None__v0,MOM_qb2,PS_qb0,0.12480219953312033,0.10205881692342578,0.02274338260969455,-0.26932961421859836,0.39876215738284704,213.08510638297872,1.0,185.0,True,
MOM_qb2of3__PB_qb0of3__None__v0,MOM_qb2,PB_qb0,0.12413235662485445,0.10205881692342578,0.02207353970142867,-0.2731540456359044,0.40864086408640865,199.87234042553192,1.0,155.0,True,
MOM_qb2of3__PB_qb1of3__None__v0,MOM_qb2,PB_qb1,0.1239109750667835,0.10205881692342578,0.021852158143357725,-0.26547034546734793,0.4061674008810573,197.10638297872342,1.0,183.0,True,
MOM_qb2of3__ROE_qb2of3__None__v0,MOM_qb2,ROE_qb2,0.12359532705971277,0.10205881692342578,0.02153651013628699,-0.25180505496183436,0.4199101796407186,252.9787234042553,1.0,232.0,True,
MOM_qb2of3__VOL_qb0of3__None__v0,MOM_qb2,VOL_qb0,0.12263209587776425,0.10205881692342578,0.02057327895433847,-0.20801198400326903,0.42019950124688277,194.5744680851064,1.0,137.0,True,
MOM_qb2of3__EV_EBITDA_qb0of3__None__v0,MOM_qb2,EV_EBITDA_qb0,0.12258619904852153,0.10205881692342578,0.02052738212509575,-0.26244003115254644,0.4260591526778577,219.59574468085106,1.0,198.0,True,
MOM_qb2of3__EPS_qb2of3__None__v0,MOM_qb2,EPS_qb2,0.12151853133809887,0.10205881692342578,0.01945971441467309,-0.25109465152888466,0.42449922958397535,249.31914893617022,1.0,226.0,True,
MOM_qb2of3__NETDEBT_EBITDA_qb0of3__None__v0,MOM_qb2,NETDEBT_EBITDA_qb0,0.11953653739992554,0.10205881692342578,0.01747772047649976,-0.25950651037774775,0.411,184.25531914893617,1.0,162.0,True,
MOM_qb2of3__DEBTRATIO_qb2of3__None__v0,MOM_qb2,DEBTRATIO_qb2,0.11863747882141928,0.10205881692342578,0.016578661897993507,-0.29842487788849914,0.3769266697804764,207.38297872340425,1.0,189.0,True,
MOM_qb2of3__ROIC_qb2of3__None__v0,MOM_qb2,ROIC_qb2,0.11668465297800812,0.10205881692342578,0.014625836054582342,-0.2505783815094327,0.4151158374477782,247.10638297872342,1.0,223.0,True,
EV_S_qb0of3__EV_EBITDA_qb0of3__None__v0,EV_S_qb0,EV_EBITDA_qb0,0.11517105902749081,0.10160886715511852,0.013562191872372287,-0.24316211030513346,0.4693232131562302,287.8510638297872,1.0,267.4,True,
EV_S_qb0of3__REV_G_qb0of3__None__v0,EV_S_qb0,REV_G_qb0,0.11332278457834666,0.10160886715511852,0.011713917423228137,-0.2588631291728076,0.5086136177194421,172.0,1.0,157.0,True,
MOM_qb2of3__PS_qb1of3__None__v0,MOM_qb2,PS_qb1,0.1106502116586423,0.10205881692342578,0.008591394735216529,-0.28740826182609036,0.3972419928825623,194.5744680851064,1.0,180.0,True,
MOM_qb2of3__REV_G_qb2of3__None__v0,MOM_qb2,REV_G_qb2,0.10991716676477581,0.10205881692342578,0.007858349841350032,-0.32159017941219215,0.3879017013232514,235.48936170212767,1.0,205.0,True,
