F1,k1,CAGR,max_drawdown,win_ratio,平均持股數,角色池,贏大盤,可當primary,可當secondary
P_IC,0,0.14417985702393699,-0.48402665510500653,0.565553835949591,514.2123552123552,primary,0.0970781041154345,True,True
PB,0,0.14168054854063916,-0.4805040989890291,0.5851605324980423,514.2123552123552,primary,0.09457879563213667,True,True
EV_S,0,0.13327189080824864,-0.4721118110387551,0.5002800074668657,501.0888030888031,primary,0.08617013789974615,True,True
PS,0,0.13063337928522634,-0.46758439273157204,0.4948511514697622,513.8108108108108,primary,0.08353162637672384,True,True
REVENUE,0,0.1284863418294273,-0.5545230907420808,0.503140703517588,527.0938775510205,primary,0.08138458892092482,True,True
DEBTRATIO,2,0.12359362318589961,-0.5729141524343505,0.4988249118683901,527.861224489796,primary,0.07649187027739712,True,True
MOM,2,0.11856824252898823,-0.6749403235113269,0.4558436546086102,434.93831168831167,primary,0.07146648962048574,True,True
NETDEBT_EBITDA,2,0.11809083380505081,-0.6041579742268902,0.5296584781306172,505.869387755102,primary,0.07098908089654832,True,True
NETDEBT_EBITDA,0,0.11331787103451774,-0.6021966415480104,0.519591496456857,505.2326530612245,primary,0.06621611812601524,True,True
NETDEBT_EBITDA,1,0.11276265594939483,-0.5686214517287074,0.460379746835443,505.63673469387754,primary,0.06566090304089234,True,True
DEBTRATIO,0,0.11200415702346356,-0.5942142104505892,0.4980453479280688,527.0571428571428,primary,0.06490240411496107,True,True
ROE,2,0.11162424264325921,-0.520825461343833,0.436377358490566,467.81168831168833,primary,0.06452248973475672,True,True
REVENUE,1,0.1099865329938079,-0.6142562176223375,0.4606024336724516,527.5428571428571,primary,0.0628847800853054,True,True
ROIC,2,0.10758861515003071,-0.5330694594745297,0.42793826671943014,467.66883116883116,primary,0.060486862241528216,True,True
DEBTRATIO,1,0.10535465185402293,-0.595458834053517,0.4747053751077896,527.530612244898,primary,0.05825289894552044,True,True
REVENUE,2,0.10379897008345074,-0.5915041048307794,0.40671641791044777,527.8938775510204,primary,0.056697217174948245,True,True
EV_S,1,0.10266141986318345,-0.6091781443196753,0.443523419554579,503.34090909090907,primary,0.05555966695468095,True,True
EPS,2,0.10216019434105994,-0.5470481484364009,0.4204008908685969,468.27597402597405,primary,0.05505844143255745,True,True
OCF_E,2,0.10165365546317728,-0.5489520679655904,0.4493927125506073,463.50324675324674,primary,0.05455190255467479,True,True
PB,1,0.09692628247868251,-0.6071635499764209,0.4519762441122261,514.5454545454545,primary,0.04982452957018002,True,True
P_IC,1,0.09688171541380508,-0.6006385453301648,0.45678730448681354,514.5454545454545,primary,0.04977996250530259,True,True
PS,1,0.09437156144082959,-0.620663710252574,0.44149687310873514,514.237012987013,primary,0.047269808532327096,True,True
EPS,0,0.08966283478062076,-0.5997578463141627,0.41388387484957884,467.09415584415586,primary,0.04256108187211827,True,True
ROE,0,0.08782403713321996,-0.6033670373589046,0.40888045540796963,466.90584415584414,primary,0.040722284224717464,True,True
EPS,1,0.08587260103959249,-0.5843317411174356,0.4216956292785677,475.9642857142857,primary,0.03877084813109,True,True
ROIC,0,0.08573264458838703,-0.5986826295566482,0.41136517998641614,467.4155844155844,primary,0.03863089167988454,True,True
MOM,1,0.08334045370437204,-0.6160700934659336,0.5039467014266058,434.6233766233766,primary,0.03623870079586955,True,True
ROIC,1,0.0831481524921176,-0.5972918324211058,0.42846404409922323,476.25324675324674,primary,0.03604639958361511,True,True
OCF_E,1,0.0810112342453555,-0.5760462850237453,0.4311701664887096,500.6038961038961,primary,0.03390948133685301,True,True
OCF_E,0,0.07954786546348691,-0.6125408020886838,0.42857758806536456,446.1655844155844,primary,0.03244611255498442,True,True
ROE,1,0.07858330616223919,-0.6033246029964726,0.4303569643035696,476.62012987012986,primary,0.031481553253736694,True,True
PS,2,0.07295976525123815,-0.6362112723403341,0.4182279469164715,471.34507042253523,primary,0.02585801234273566,True,True
EV_S,2,0.07054684751048201,-0.646208107073259,0.4057312252964427,460.25704225352115,primary,0.02344509460197952,True,True
PB,2,0.06103512318933868,-0.6412715743771797,0.3577034283353986,471.75704225352115,primary,0.013933370280836188,False,True
P_IC,2,0.059737720923136006,-0.6449016223592864,0.3628297922017278,471.75704225352115,primary,0.012635968014633514,False,True
MOM,0,0.05374675028494491,-0.653982080587229,0.49878753298623496,434.2987012987013,primary,0.006644997376442419,False,True
