strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,持股月份覆蓋率,持股數p10,晉升,未過原因
P_IC_qb0of3__ROE_qb2of3__None__v0,P_IC_qb0,ROE_qb2,0.20928208051419395,0.18180748761405363,0.027474592900140316,-0.46625993457765913,0.5181623931623932,68.52861952861953,1.0,7.0,True,
PB_qb0of3__ROIC_qb2of3__None__v0,PB_qb0,ROIC_qb2,0.2065902141161089,0.1813653578473695,0.025224856268739382,-0.4591093122432365,0.5103763629968343,47.54014598540146,1.0,6.0,True,
PB_qb0of3__ROE_qb2of3__None__v0,PB_qb0,ROE_qb2,0.20625735013604096,0.1813653578473695,0.02489199228867145,-0.44223308485115387,0.5180316818335019,45.02020202020202,1.0,4.0,True,
P_IC_qb0of3__DEBTRATIO_qb0of3__None__v0,P_IC_qb0,DEBTRATIO_qb0,0.20424156536402682,0.18180748761405363,0.02243407774997319,-0.5663237341577161,0.5981308411214953,50.30639730639731,1.0,25.0,True,
PB_qb0of3__PS_qb0of3__None__v0,PB_qb0,PS_qb0,0.19683269190132835,0.1813653578473695,0.015467334053958837,-0.567354790310797,0.6201030927835052,256.0875420875421,1.0,146.0,True,
PB_qb0of3__OCF_E_qb2of3__None__v0,PB_qb0,OCF_E_qb2,0.1959933102234963,0.1813653578473695,0.014627952376126796,-0.5443795783604286,0.5145234272368997,109.73400673400674,1.0,50.0,True,
EV_S_qb0of3__MOM_qb2of3__None__v0,EV_S_qb0,MOM_qb2,0.19563407710056202,0.15765702596425268,0.03797705113630934,-0.63095322319809,0.4880317860257777,156.3838383838384,1.0,92.80000000000001,True,
PB_qb0of3__EV_EBITDA_qb0of3__None__v0,PB_qb0,EV_EBITDA_qb0,0.1952473266098218,0.1813653578473695,0.01388196876245229,-0.5529732347749178,0.5405482991244438,207.27272727272728,1.0,113.0,True,
P_IC_qb0of3__EV_EBITDA_qb0of3__None__v0,P_IC_qb0,EV_EBITDA_qb0,0.19372967359465032,0.18180748761405363,0.011922185980596689,-0.5362828975487952,0.5203354961228043,197.8080808080808,1.0,112.0,True,
PB_qb0of3__EV_S_qb0of3__None__v0,PB_qb0,EV_S_qb0,0.19275879846190347,0.1813653578473695,0.011393440614533956,-0.5475926237311515,0.616516762060507,241.83838383838383,1.0,104.0,True,
PS_qb0of3__EV_EBITDA_qb0of3__None__v0,PS_qb0,EV_EBITDA_qb0,0.19253203521120743,0.16620841805915898,0.02632361715204845,-0.507684530223653,0.5058874210224009,183.84848484848484,1.0,98.0,True,
P_IC_qb0of3__PS_qb0of3__None__v0,P_IC_qb0,PS_qb0,0.19078211269583956,0.18180748761405363,0.008974625081785925,-0.5654281648614601,0.6136541982736071,293.74747474747477,1.0,161.0,True,
PB_qb0of3__FCF_OI_qb1of3__None__v0,PB_qb0,FCF_OI_qb1,0.19021651029963826,0.1813653578473695,0.008851152452268751,-0.5676334513739203,0.5063129702844025,148.86868686868686,1.0,78.0,True,
PB_qb0of3__DEBTRATIO_qb2of3__None__v0,PB_qb0,DEBTRATIO_qb2,0.18803320787283906,0.1813653578473695,0.006667850025469546,-0.5881652937802303,0.6022453889334403,170.23905723905725,1.0,103.0,True,
P_IC_qb0of3__PB_qb0of3__None__v0,P_IC_qb0,PB_qb0,0.18660855823064182,0.18180748761405363,0.004801070616588188,-0.5805373619045554,0.6692675560030203,348.35353535353534,1.0,203.0,True,
PB_qb0of3__NETDEBT_EBITDA_qb0of3__None__v0,PB_qb0,NETDEBT_EBITDA_qb0,0.1865829469130269,0.1813653578473695,0.005217589065657391,-0.5399443350236575,0.6272164948453608,134.5185185185185,1.0,39.0,True,
P_IC_qb0of3__EV_S_qb0of3__None__v0,P_IC_qb0,EV_S_qb0,0.18640346143351416,0.18180748761405363,0.00459597381946053,-0.5518399586108385,0.6008941877794337,239.6094276094276,1.0,100.0,True,
