strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,晉升,未過原因
REVENUE_qb0of3__PS_qb0of3__None__v0,PS_qb0,REVENUE_qb0,0.4934155736618613,0.2448726637138916,0.24854290994796968,-0.5065060097014502,0.6361279170267934,93.86217948717949,True,
REVENUE_qb0of3__EV_S_qb0of3__None__v0,EV_S_qb0,REVENUE_qb0,0.40281257322748143,0.233233900543095,0.16957867268438642,-0.5516987794160058,0.6305084745762712,116.26282051282051,True,
VOL_qb2of3__PB_qb0of3__None__v0,PB_qb0,VOL_qb2,0.38385561279787095,0.24810685252001274,0.1357487602778582,-0.6020252885586248,0.5789473684210527,213.10256410256412,True,
PB_qb0of3__ROE_qb2of3__None__v0,PB_qb0,ROE_qb2,0.37886780716788127,0.24810685252001274,0.13076095464786852,-0.49337517067048275,0.5725876057310547,93.03525641025641,True,
P_IC_qb2of3__PB_qb0of3__None__v0,PB_qb0,P_IC_qb2,0.35662042623220547,0.24810685252001274,0.10851357371219272,-0.5417027431578765,0.48194271481942713,38.51923076923077,True,
VOL_qb2of3__P_IC_qb0of3__None__v0,P_IC_qb0,VOL_qb2,0.35492390016685516,0.2086141354225064,0.14630976474434876,-0.6919767550920971,0.5852423743829895,173.89102564102564,True,
VOL_qb2of3__PS_qb0of3__None__v0,PS_qb0,VOL_qb2,0.3543089312578851,0.2448726637138916,0.10943626754399349,-0.6372950083113336,0.5749899071457408,223.45833333333334,True,
EV_S_qb0of3__EPS_qb0of3__None__v0,EV_S_qb0,EPS_qb0,0.34213527210607264,0.233233900543095,0.10890137156297763,-0.6265419451331482,0.5916467145517424,171.26282051282053,True,
EV_EBITDA_qb0of3__PB_qb0of3__None__v0,PB_qb0,EV_EBITDA_qb0,0.33965331148128586,0.24810685252001274,0.09154645896127311,-0.5974951060365916,0.5962384205109011,257.1730769230769,True,
PS_qb0of3__EPS_qb0of3__None__v0,PS_qb0,EPS_qb0,0.33696333380006194,0.2448726637138916,0.09209067008617033,-0.6373539723790058,0.5944578008351259,179.42628205128204,True,
PB_qb0of3__EPS_qb0of3__None__v0,PB_qb0,EPS_qb0,0.3337734270879533,0.24810685252001274,0.08566657456794058,-0.6068568158725908,0.5890378734415431,209.57692307692307,True,
REVENUE_qb0of3__PB_qb0of3__None__v0,PB_qb0,REVENUE_qb0,0.33261685914408257,0.24810685252001274,0.08451000662406982,-0.472218003704299,0.6247185389041782,230.02243589743588,True,
PS_qb0of3__EV_EBITDA_qb0of3__None__v0,PS_qb0,EV_EBITDA_qb0,0.32849127177675674,0.2448726637138916,0.08361860806286514,-0.6070899405000052,0.5953927427037325,254.1153846153846,True,
VOL_qb2of3__EV_S_qb0of3__None__v0,EV_S_qb0,VOL_qb2,0.3264740234164649,0.233233900543095,0.09324012287336991,-0.6136208947420035,0.5737211634904714,217.08333333333334,True,
PS_qb0of3__EV_S_qb2of3__None__v0,PS_qb0,EV_S_qb2,0.32604897447555614,0.2448726637138916,0.08117631076166454,-0.7007060448459694,0.6028368794326241,11.44516129032258,True,
PB_qb0of3__ACCRUAL_qb0of3__None__v0,PB_qb0,ACCRUAL_qb0,0.32242233912074814,0.24810685252001274,0.07431548660073539,-0.5960098147603446,0.5546404534183492,168.80769230769232,True,
P_IC_qb0of3__EV_EBITDA_qb0of3__None__v0,P_IC_qb0,EV_EBITDA_qb0,0.3191902511709539,0.2086141354225064,0.1105761157484475,-0.6689402325837778,0.6007739082365948,212.14102564102564,True,
P_IC_qb0of3__ACCRUAL_qb0of3__None__v0,P_IC_qb0,ACCRUAL_qb0,0.3175446104735169,0.2086141354225064,0.1089304750510105,-0.6728062933119194,0.5706119704102219,126.42948717948718,True,
PB_qb0of3__OCF_E_qb2of3__None__v0,PB_qb0,OCF_E_qb2,0.3125975620503094,0.24810685252001274,0.06449070953029667,-0.5730965067287962,0.565657642293754,131.2051282051282,True,
P_IC_qb0of3__EPS_qb0of3__None__v0,P_IC_qb0,EPS_qb0,0.3084559202924906,0.2086141354225064,0.09984178486998418,-0.6904181245974363,0.5948026948989413,162.3397435897436,True,
PS_qb0of3__ROIC_qb0of3__None__v0,PS_qb0,ROIC_qb0,0.30282778458238746,0.2448726637138916,0.05795512086849586,-0.6686686307636506,0.5868029270754479,171.2147435897436,True,
EV_S_qb0of3__ROIC_qb0of3__None__v0,EV_S_qb0,ROIC_qb0,0.3018235997406389,0.233233900543095,0.06858969919754387,-0.687496913968886,0.5866738168655315,156.5,True,
PS_qb0of3__FCF_OI_qb2of3__None__v0,PS_qb0,FCF_OI_qb2,0.3004145904473121,0.2448726637138916,0.05554192673342051,-0.5686817208010475,0.5756632208245112,99.95192307692308,True,
P_IC_qb0of3__PS_qb0of3__None__v0,PS_qb0,P_IC_qb0,0.2993451532230613,0.2448726637138916,0.05447248950916972,-0.6652609884439553,0.6765714285714286,276.81089743589746,True,
EV_EBITDA_qb0of3__EV_S_qb0of3__None__v0,EV_S_qb0,EV_EBITDA_qb0,0.298219147612129,0.233233900543095,0.06498524706903397,-0.5918313587172934,0.5936750085704491,275.25,True,
PS_qb0of3__PB_qb0of3__None__v0,PB_qb0,PS_qb0,0.2969891113872223,0.24810685252001274,0.04888225886720954,-0.6369420937775944,0.6580955540809555,283.375,True,
PB_qb0of3__ROIC_qb0of3__None__v0,PB_qb0,ROIC_qb0,0.29682850845131425,0.24810685252001274,0.04872165593130151,-0.6049395245387645,0.5934234787953289,255.53846153846155,True,
EV_EBITDA_qb0of3__MOM_qb0of3__None__v0,MOM_qb0,EV_EBITDA_qb0,0.2958034846458264,0.19300761625623375,0.10279586838959265,-0.6296911649479224,0.5554964853210467,211.44871794871796,True,
PB_qb0of3__FCF_P_qb0of3__None__v0,PB_qb0,FCF_P_qb0,0.2941446739413014,0.24810685252001274,0.04603782142128865,-0.5990322608819367,0.5834735630147906,193.00641025641025,True,
PB_qb0of3__MOM_qb0of3__None__v0,PB_qb0,MOM_qb0,0.28920040010002857,0.24810685252001274,0.04109354758001582,-0.6475289951158878,0.5848252344416027,186.00641025641025,True,
PB_qb0of3__CROIC_qb0of3__None__v0,PB_qb0,CROIC_qb0,0.28894022606630543,0.24810685252001274,0.040833373546292684,-0.5851102576725724,0.5807985570222186,202.7852564102564,True,
P_IC_qb0of3__CROIC_qb2of3__None__v0,P_IC_qb0,CROIC_qb2,0.28676806992551596,0.2086141354225064,0.07815393450300956,-0.6409768308493107,0.566227834497582,91.45833333333333,True,
PS_qb0of3__MOM_qb0of3__None__v0,PS_qb0,MOM_qb0,0.2860412958056393,0.2448726637138916,0.0411686320917477,-0.6367373707446605,0.5938767499672903,188.2852564102564,True,
P_IC_qb0of3__EV_S_qb0of3__None__v0,EV_S_qb0,P_IC_qb0,0.2827185280485025,0.233233900543095,0.0494846275054075,-0.6745926392469398,0.6522526146419951,238.4903846153846,True,
VOL_qb2of3__MOM_qb0of3__None__v0,MOM_qb0,VOL_qb2,0.28179332702164306,0.19300761625623375,0.08878571076540931,-0.608136357921769,0.5445736434108527,237.27884615384616,True,
EV_S_qb0of3__PB_qb0of3__None__v0,PB_qb0,EV_S_qb0,0.2805119420302957,0.24810685252001274,0.03240508951028298,-0.6493887721553022,0.6478311450889147,266.1442307692308,True,
PS_qb0of3__ACCRUAL_qb0of3__None__v0,PS_qb0,ACCRUAL_qb0,0.27725727940068934,0.2448726637138916,0.032384615686797735,-0.5885891780561909,0.5718175177634637,216.39102564102564,True,
EV_S_qb0of3__ROE_qb0of3__None__v0,EV_S_qb0,ROE_qb0,0.27545209787658775,0.233233900543095,0.042218197333492746,-0.6707394614947559,0.5890126024715526,173.55769230769232,True,
PB_qb0of3__FCF_OI_qb0of3__None__v0,PB_qb0,FCF_OI_qb0,0.2731231844081319,0.24810685252001274,0.025016331888119137,-0.5724673136255971,0.582179054054054,201.00641025641025,True,
EV_S_qb0of3__DEBTRATIO_qb2of3__None__v0,EV_S_qb0,DEBTRATIO_qb2,0.27173786754515006,0.233233900543095,0.03850396700205505,-0.6639735699629633,0.622836319465533,156.33653846153845,True,
PS_qb0of3__ROE_qb0of3__None__v0,PS_qb0,ROE_qb0,0.27061932472160555,0.2448726637138916,0.025746661007713945,-0.6683851624441639,0.5942584844258484,184.9551282051282,True,
PB_qb0of3__DEBTRATIO_qb2of3__None__v0,PB_qb0,DEBTRATIO_qb2,0.2682282602009163,0.24810685252001274,0.020121407680903536,-0.611663250762474,0.6519189765458422,200.59294871794873,True,
