strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,晉升,未過原因
REVENUE_qb0of3__PS_qb0of3__None__v0,REVENUE_qb0,PS_qb0,0.4926633903879303,0.26113072634453705,0.23153266404339323,-0.5109285687264109,0.6351059230436662,93.84294871794872,True,
REVENUE_qb0of3__OCF_E_qb2of3__None__v0,REVENUE_qb0,OCF_E_qb2,0.43006434076627365,0.26113072634453705,0.1689336144217366,-0.3737494810346246,0.538589904046725,112.76282051282051,True,
EPS_qb0of3__ROE_qb2of3__None__v0,EPS_qb0,ROE_qb2,0.4057823182103599,0.26560293444647587,0.14017938376388406,-0.45650320892709806,0.509090909090909,64.3173076923077,True,
EPS_qb0of3__OCF_E_qb2of3__None__v0,EPS_qb0,OCF_E_qb2,0.404083883459498,0.26560293444647587,0.1384809490130221,-0.48747182918187437,0.5311515397906291,131.49358974358975,True,
REVENUE_qb0of3__EV_S_qb0of3__None__v0,REVENUE_qb0,EV_S_qb0,0.4025223578951269,0.26113072634453705,0.14139163155058987,-0.5572024718309513,0.6293785310734463,116.33333333333333,True,
VOL_qb2of3__PB_qb0of3__None__v0,VOL_qb2,PB_qb0,0.3829958502301678,0.25285819442136814,0.13013765580879966,-0.6024861686726957,0.5781736237793754,213.34294871794873,True,
ROIC_qb0of3__ROE_qb2of3__None__v0,ROIC_qb0,ROE_qb2,0.3817263292036137,0.23271673984712682,0.1490095893564869,-0.439185540533531,0.48556430446194226,46.14423076923077,True,
PB_qb0of3__ROE_qb2of3__None__v0,PB_qb0,ROE_qb2,0.3789189009958063,0.24792669849479632,0.13099220250100996,-0.49337511069386564,0.5722443329295726,92.90384615384616,True,
REVENUE_qb0of3__ACCRUAL_qb0of3__None__v0,REVENUE_qb0,ACCRUAL_qb0,0.37528684649749056,0.26113072634453705,0.11415612015295351,-0.4600006064742277,0.5048099819030384,197.60576923076923,True,
EPS_qb0of3__CROIC_qb2of3__None__v0,EPS_qb0,CROIC_qb2,0.365422915691191,0.26560293444647587,0.09981998124471514,-0.4964758790424316,0.5451732673267327,118.0576923076923,True,
REVENUE_qb0of3__CROIC_qb2of3__None__v0,REVENUE_qb0,CROIC_qb2,0.35625906470038715,0.26113072634453705,0.0951283383558501,-0.41612965733245644,0.5450656889703636,113.7948717948718,True,
P_IC_qb2of3__PB_qb0of3__None__v0,PB_qb0,P_IC_qb2,0.35571052036776507,0.24792669849479632,0.10778382187296875,-0.5417027431578765,0.4837905236907731,38.46474358974359,True,
P_IC_qb0of3__VOL_qb2of3__None__v0,VOL_qb2,P_IC_qb0,0.35477644819001686,0.25285819442136814,0.10191825376864871,-0.6939740476380496,0.5845177664974619,174.01602564102564,True,
CROIC_qb2of3__ROIC_qb0of3__None__v0,ROIC_qb0,CROIC_qb2,0.35475102395039926,0.23271673984712682,0.12203428410327244,-0.5764781460484464,0.5309202617870976,82.04807692307692,True,
