C編號,C,C來源,增益中位數,增益平均,增益為正比例,CAGR中位數,持股數中位數,n
4,C4_ROE_DYN_qmax8,ROE,0.06523879016880274,0.06543594507407113,0.9817351598173516,0.21401529656579754,29.244635193133046,219
11,C11_EPS_DYN_qmax8,EPS,0.04991357543187225,0.049926542351530365,0.954337899543379,0.1935588571936835,33.46351931330472,219
5,C5_ROE_DYN_yoy,ROE,0.037560891742388636,0.03917149398756176,1.0,0.18404130964574184,87.3,219
3,C3_ROE_DYN_qmax4,ROE,0.03495005909300941,0.0361979210247181,0.9315068493150684,0.18218851139546088,50.91984732824427,219
12,C12_EPS_DYN_yoy,EPS,0.03487369125645334,0.03638130894159425,1.0,0.17633236512426986,92.648,219
9,C9_EPS_DYN_riseq2,EPS,0.03143201027436748,0.03115600575526216,0.9954337899543378,0.17260714002724487,89.41240875912409,219
2,C2_ROE_DYN_riseq2,ROE,0.029823494599464206,0.02978028017952697,0.9817351598173516,0.17327463031608148,87.9963503649635,219
10,C10_EPS_DYN_qmax4,EPS,0.02720249014134901,0.02942403593580957,0.9315068493150684,0.17375699695732094,55.56870229007634,219
7,C7_ROE_DYN_ytdavg_gt_lyavg,ROE,0.025367524394665608,0.025284952349500418,0.9771689497716894,0.16782053773920547,75.06666666666666,219
14,C14_EPS_DYN_ytdavg_gt_lyavg,EPS,0.024494043731087656,0.025103940921329462,0.9954337899543378,0.16477066250714278,80.33333333333333,219
8,C8_EPS_DYN_riseq1,EPS,0.013885845512976447,0.013703027425050933,0.867579908675799,0.15677358457808332,86.37894736842105,219
1,C1_ROE_DYN_riseq1,ROE,0.012884460373598028,0.013918757774136727,0.8264840182648402,0.1587083187251308,85.1438596491228,219
6,C6_ROE_DYN_ytdavg_gt_lyytdavg,ROE,0.010862606957075638,0.011664351494598407,0.8584474885844748,0.15598009077415154,80.79411764705883,219
13,C13_EPS_DYN_ytdavg_gt_lyytdavg,EPS,0.008654446196260324,0.009918531945393962,0.817351598173516,0.1522598010602665,85.37132352941177,219
16,C16_FCF_P_DYN_riseq2,FCF_P,-0.0025734304791182883,-0.0025186686512332092,0.4155251141552511,0.14212200424195665,80.00729927007299,219
19,C19_FCF_P_DYN_yoy,FCF_P,-0.006208487836339982,-0.004220670286358605,0.319634703196347,0.13899314437301036,81.612,219
15,C15_FCF_P_DYN_riseq1,FCF_P,-0.010546137823095325,-0.010704028587346415,0.2374429223744292,0.136051891364934,73.48771929824561,219
20,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,FCF_P,-0.011856068955628185,-0.011686456730625416,0.2100456621004566,0.13445102715976964,78.1470588235294,219
17,C17_FCF_P_DYN_qmax4,FCF_P,-0.02995251820235545,-0.030424959856771485,0.1232876712328767,0.11009166935688475,41.37404580152672,219
18,C18_FCF_P_DYN_qmax8,FCF_P,-0.033192407127251355,-0.026833213407540964,0.2237442922374429,0.11624149152975538,21.63948497854077,219
