C編號,C,C來源,增益中位數,增益平均,增益為正比例,CAGR中位數,持股數中位數,n
17,C17_FCF_P_DYN_qmax4,FCF_P,0.06130048910919783,0.06366858121366835,0.9047619047619048,0.17049975670507833,47.434210526315795,42
10,C10_EPS_DYN_qmax4,EPS,0.04300443161674006,0.042203344510370874,0.9761904761904762,0.15290115896278422,80.15789473684211,42
3,C3_ROE_DYN_qmax4,ROE,0.031484761290304863,0.029567661175052586,0.8809523809523809,0.13443179193394295,70.34210526315789,42
1,C1_ROE_DYN_riseq1,ROE,0.02867125090810596,0.028767289621432903,0.9761904761904762,0.13524839914939135,124.02272727272728,42
8,C8_EPS_DYN_riseq1,EPS,0.026521909555262124,0.028318368293759104,0.9761904761904762,0.13864518885440824,128.45454545454544,42
16,C16_FCF_P_DYN_riseq2,FCF_P,0.02172266087764385,0.021887802286617113,0.8809523809523809,0.1291316404930387,103.5609756097561,42
5,C5_ROE_DYN_yoy,ROE,0.021705870331915622,0.019305876412866428,0.8095238095238095,0.12796788891932065,112.39705882352942,42
9,C9_EPS_DYN_riseq2,EPS,0.02072468173173192,0.01907773754959839,0.9047619047619048,0.1285631738275308,126.97560975609755,42
2,C2_ROE_DYN_riseq2,ROE,0.017718221142836055,0.0200052306266882,0.8809523809523809,0.1255771904104349,123.2439024390244,42
12,C12_EPS_DYN_yoy,EPS,0.017016335543874495,0.015230767140720533,0.8571428571428571,0.1265273402210858,119.10294117647058,42
15,C15_FCF_P_DYN_riseq1,FCF_P,0.01623750100047694,0.017698953842057472,0.8095238095238095,0.1306141490949303,95.57954545454545,42
14,C14_EPS_DYN_ytdavg_gt_lyavg,EPS,0.01421975671824538,0.012658689139917448,0.7619047619047619,0.12735951523795364,106.44117647058823,42
7,C7_ROE_DYN_ytdavg_gt_lyavg,ROE,0.009361098982811789,0.005281273420887885,0.7142857142857143,0.11355247129145951,94.85294117647058,42
6,C6_ROE_DYN_ytdavg_gt_lyytdavg,ROE,0.006292202088009513,0.004119617999658918,0.6190476190476191,0.11492535492141498,104.63235294117646,42
13,C13_EPS_DYN_ytdavg_gt_lyytdavg,EPS,0.005512350756253781,0.005262516688979194,0.5476190476190477,0.11583351748383919,113.69117647058823,42
19,C19_FCF_P_DYN_yoy,FCF_P,-0.003628751304197708,-0.0037600718263436465,0.40476190476190477,0.10824324202179392,103.19117647058823,42
20,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,FCF_P,-0.004959565370078689,-0.0047118243126781575,0.42857142857142855,0.10495433566282597,103.5,42
11,C11_EPS_DYN_qmax8,EPS,-0.06934986618880834,-0.07297619175213288,0.0,0.034194365020922546,45.230769230769226,42
4,C4_ROE_DYN_qmax8,ROE,-0.1031630062505281,-0.09639527409823173,0.0,0.011235907417377011,34.73076923076923,42
18,C18_FCF_P_DYN_qmax8,FCF_P,-0.10581861957299837,-0.10132337128627802,0.11904761904761904,0.0020530009704260443,23.615384615384613,42
