strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
MOM_qb2of3__OCF_E_qb2of3__C17_FCF_P_DYN_qmax4__v0,MOM_qb2of3__OCF_E_qb2of3,C17_FCF_P_DYN_qmax4,0.26267121851410846,0.12539652096921095,0.13727469754489752,-0.23808407865450298,0.5095846645367412,103.3,51.078947368421055
EV_S_qb0of3__REVENUE_qb0of3__C17_FCF_P_DYN_qmax4__v0,EV_S_qb0of3__REVENUE_qb0of3,C17_FCF_P_DYN_qmax4,0.26077884535894524,0.185020676859164,0.07575816849978123,-0.2553515626584554,0.44907407407407407,78.57,19.763157894736842
EV_S_qb0of3__REVENUE_qb0of3__C16_FCF_P_DYN_riseq2__v0,EV_S_qb0of3__REVENUE_qb0of3,C16_FCF_P_DYN_riseq2,0.2599290960050298,0.185020676859164,0.07490841914586577,-0.22397985569469536,0.48623853211009177,61.96,41.853658536585364
EV_S_qb0of3__PS_qb1of3__C18_FCF_P_DYN_qmax8__v0,EV_S_qb0of3__PS_qb1of3,C18_FCF_P_DYN_qmax8,0.25965554537241786,0.1494327236674522,0.11022282170496567,-0.27799454695730597,0.47115384615384615,92.72,11.73076923076923
MOM_qb2of3__ROE_qb2of3__C17_FCF_P_DYN_qmax4__v0,MOM_qb2of3__ROE_qb2of3,C17_FCF_P_DYN_qmax4,0.2571519922857628,0.12359532705971277,0.13355666522605003,-0.27357325906186636,0.5134751773049645,109.02,57.44736842105263
EV_S_qb0of3__PS_qb1of3__C2_ROE_DYN_riseq2__v0,EV_S_qb0of3__PS_qb1of3,C2_ROE_DYN_riseq2,0.2565522414501502,0.1494327236674522,0.10711951778269801,-0.26618366640724767,0.4975845410628019,69.95,48.34146341463415
EV_S_qb0of3__PS_qb1of3__C3_ROE_DYN_qmax4__v0,EV_S_qb0of3__PS_qb1of3,C3_ROE_DYN_qmax4,0.24557321783235908,0.1494327236674522,0.09614049416490689,-0.2344680813656067,0.5113122171945701,85.58,22.86842105263158
MOM_qb2of3__FCF_OI_qb1of3__C17_FCF_P_DYN_qmax4__v0,MOM_qb2of3__FCF_OI_qb1of3,C17_FCF_P_DYN_qmax4,0.2455373329195616,0.0986297465296071,0.1469075863899545,-0.2914199230099713,0.4314606741573034,84.78,34.71052631578947
EV_S_qb0of3__PS_qb1of3__C5_ROE_DYN_yoy__v0,EV_S_qb0of3__PS_qb1of3,C5_ROE_DYN_yoy,0.24408114133241798,0.1494327236674522,0.09464841766496579,-0.26176335103534487,0.4807692307692308,126.13,42.029411764705884
EV_S_qb0of3__PS_qb1of3__C9_EPS_DYN_riseq2__v0,EV_S_qb0of3__PS_qb1of3,C9_EPS_DYN_riseq2,0.2426821636964991,0.1494327236674522,0.09324944002904689,-0.26376102737632534,0.5204819277108433,80.09,48.26829268292683
MOM_qb2of3__REV_G_qb2of3__C17_FCF_P_DYN_qmax4__v0,MOM_qb2of3__REV_G_qb2of3,C17_FCF_P_DYN_qmax4,0.23940768982853267,0.10991716676477581,0.12949052306375686,-0.26157480499009844,0.46846846846846846,123.9,53.89473684210526
