strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
MOM_qb2of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__ACCRUAL_qb0of3,C4_ROE_DYN_qmax8,0.3318674679234308,0.15505270527372694,0.17681476264970386,-0.6967989354725186,0.5226244343891403,14.54,26.28755364806867
PB_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,PB_qb0of3__NETDEBT_EBITDA_qb2of3,C4_ROE_DYN_qmax8,0.28925506268130885,0.17776664450601265,0.1114884181752962,-0.5726715381777887,0.5201822916666666,13.32,27.15021459227468
MOM_qb2of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,MOM_qb2of3__ACCRUAL_qb0of3,C3_ROE_DYN_qmax4,0.2885389309517472,0.15505270527372694,0.13348622567802026,-0.6074670720189526,0.5288053365676167,12.98,44.61832061068702
P_IC_qb0of3__DEBTRATIO_qb0of3__C5_ROE_DYN_yoy__v0,P_IC_qb0of3__DEBTRATIO_qb0of3,C5_ROE_DYN_yoy,0.28494526074194226,0.20424156536402682,0.08070369537791544,-0.5429123102468094,0.5288288288288289,12.91,25.328
P_IC_qb0of3__DEBTRATIO_qb0of3__C12_EPS_DYN_yoy__v0,P_IC_qb0of3__DEBTRATIO_qb0of3,C12_EPS_DYN_yoy,0.28371749362743093,0.20424156536402682,0.0794759282634041,-0.5427647373446485,0.5276381909547738,13.63,26.412
EV_S_qb1of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,EV_S_qb1of3__ACCRUAL_qb0of3,C4_ROE_DYN_qmax8,0.2818420034871849,0.12264039060979393,0.15920161287739099,-0.6461233145671219,0.5240423797881011,15.58,18.965665236051503
P_IC_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__NETDEBT_EBITDA_qb2of3,C4_ROE_DYN_qmax8,0.28107317404558363,0.17686162789661508,0.10421154614896855,-0.5771315988235464,0.5172413793103449,13.18,37.38197424892704
EV_S_qb1of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,EV_S_qb1of3__ACCRUAL_qb0of3,C11_EPS_DYN_qmax8,0.27987920817046175,0.12264039060979393,0.15723881756066782,-0.5711586345379975,0.5127005347593583,15.67,23.570815450643778
PS_qb0of3__OCF_E_qb1of3__C4_ROE_DYN_qmax8__v0,PS_qb0of3__OCF_E_qb1of3,C4_ROE_DYN_qmax8,0.278158239164481,0.16163055872724263,0.11652768043723838,-0.5437536548108477,0.5308385308385308,13.27,21.566523605150216
P_IC_qb0of3__DEBTRATIO_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,P_IC_qb0of3__DEBTRATIO_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.27778041715201085,0.20424156536402682,0.07353885178798403,-0.5456950119765526,0.536046511627907,11.7,21.249122807017542
