strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
PB_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,PB_qb0of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.6409851040739698,0.317951165299204,0.3230339387747658,-0.4534375342078636,0.5692307692307692,5.95,16.388316151202748
REVENUE_qb0of3__PS_qb0of3__C11_EPS_DYN_qmax8__v0,REVENUE_qb0of3__PS_qb0of3,C11_EPS_DYN_qmax8,0.5912043562006228,0.4348852205642235,0.15631913563639932,-0.3896046934716607,0.6091954022988506,6.72,16.579310344827586
EPS_qb0of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,EPS_qb0of3__ACCRUAL_qb0of3,C11_EPS_DYN_qmax8,0.5608909939354152,0.26073539119846845,0.30015560273694675,-0.49401151336034854,0.5360333531864205,8.56,22.61512027491409
EV_S_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,EV_S_qb0of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.5495085815026561,0.3349815919842276,0.21452698951842852,-0.586201137323599,0.5802615933412604,4.21,11.754325259515571
P_IC_qb0of3__EPS_qb0of3__C10_EPS_DYN_qmax4__v0,P_IC_qb0of3__EPS_qb0of3,C10_EPS_DYN_qmax4,0.5394859400675429,0.3004612530349624,0.2390246870325805,-0.7284270625890441,0.5639976621858562,6.34,22.86513157894737
REVENUE_qb0of3__PS_qb0of3__C9_EPS_DYN_riseq2__v0,REVENUE_qb0of3__PS_qb0of3,C9_EPS_DYN_riseq2,0.5321589872125156,0.4348852205642235,0.09727376664829213,-0.5862718184657755,0.5809806835066865,8.08,49.16558441558441
EPS_qb0of3__ROE_qb2of3__C11_EPS_DYN_qmax8__v0,EPS_qb0of3__ROE_qb2of3,C11_EPS_DYN_qmax8,0.5197520417345061,0.38632891368439726,0.1334231280501088,-0.6441195622612406,0.5652694610778443,6.92,12.31958762886598
REVENUE_qb0of3__PS_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,REVENUE_qb0of3__PS_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.5191593463982758,0.4348852205642235,0.08427412583405225,-0.46915567847064044,0.5995705850778315,7.26,48.63
REVENUE_qb0of3__PS_qb0of3__C12_EPS_DYN_yoy__v0,REVENUE_qb0of3__PS_qb0of3,C12_EPS_DYN_yoy,0.5155511895114142,0.4348852205642235,0.08066596894719069,-0.5006874302518021,0.579324894514768,7.16,48.83
REVENUE_qb0of3__PS_qb0of3__C10_EPS_DYN_qmax4__v0,REVENUE_qb0of3__PS_qb0of3,C10_EPS_DYN_qmax4,0.5137905938465552,0.4348852205642235,0.07890537328233171,-0.5829258399871782,0.5900709219858156,7.6,28.868852459016395
REVENUE_qb0of3__PS_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,REVENUE_qb0of3__PS_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.5123946669664292,0.4348852205642235,0.0775094464022057,-0.45915995036785373,0.5979381443298969,7.35,48.33
REVENUE_qb0of3__PS_qb0of3__C16_FCF_P_DYN_riseq2__v0,REVENUE_qb0of3__PS_qb0of3,C16_FCF_P_DYN_riseq2,0.5117797387676848,0.4348852205642235,0.07689451820346127,-0.50098769532811,0.5732638888888889,8.19,46.66883116883117
REVENUE_qb0of3__PS_qb0of3__C8_EPS_DYN_riseq1__v0,REVENUE_qb0of3__PS_qb0of3,C8_EPS_DYN_riseq1,0.5102666678001357,0.4348852205642235,0.07538144723591222,-0.5142227676881956,0.5725903614457831,7.35,48.60322580645161
REVENUE_qb0of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,REVENUE_qb0of3__ACCRUAL_qb0of3,C11_EPS_DYN_qmax8,0.5099964299443034,0.29187803296701365,0.21811839697728974,-0.43818937135742153,0.534375,8.63,24.63448275862069
PS_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,PS_qb0of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.5088453014511845,0.3284475992803766,0.18039770217080786,-0.6009577432882813,0.5957446808510638,5.7,10.609756097560975
EV_S_qb0of3__EPS_qb0of3__C10_EPS_DYN_qmax4__v0,EV_S_qb0of3__EPS_qb0of3,C10_EPS_DYN_qmax4,0.5049938598873871,0.3349815919842276,0.1700122679031595,-0.6129511897281084,0.5695695695695696,7.08,27.174342105263158
PS_qb0of3__EPS_qb0of3__C10_EPS_DYN_qmax4__v0,PS_qb0of3__EPS_qb0of3,C10_EPS_DYN_qmax4,0.5045849934338782,0.3284475992803766,0.1761373941535016,-0.6769942064620114,0.5695159629248198,7.83,25.87828947368421
REVENUE_qb0of3__PS_qb0of3__C4_ROE_DYN_qmax8__v0,REVENUE_qb0of3__PS_qb0of3,C4_ROE_DYN_qmax8,0.5006114039670735,0.4348852205642235,0.06572618340284997,-0.5105433192221435,0.5820158102766798,7.16,12.23793103448276
P_IC_qb0of3__ROIC_qb0of3__C11_EPS_DYN_qmax8__v0,P_IC_qb0of3__ROIC_qb0of3,C11_EPS_DYN_qmax8,0.4997453357309636,0.24901574865630027,0.2507295870746633,-0.5198200513180755,0.6075427224513847,4.45,27.069204152249135
REVENUE_qb0of3__EV_S_qb0of3__C11_EPS_DYN_qmax8__v0,REVENUE_qb0of3__EV_S_qb0of3,C11_EPS_DYN_qmax8,0.49839664933935923,0.3910498641246807,0.10734678521467855,-0.3732988887394473,0.5998739760554506,7.55,22.625429553264606
REVENUE_qb0of3__PS_qb0of3__C3_ROE_DYN_qmax4__v0,REVENUE_qb0of3__PS_qb0of3,C3_ROE_DYN_qmax4,0.4906822907875159,0.4348852205642235,0.05579707022329239,-0.4583344057571137,0.584251968503937,7.47,23.960264900662253
PB_qb0of3__EPS_qb0of3__C10_EPS_DYN_qmax4__v0,PB_qb0of3__EPS_qb0of3,C10_EPS_DYN_qmax4,0.4903776312073196,0.317951165299204,0.1724264659081156,-0.5598356326154819,0.5454545454545454,6.8,35.96052631578947
REVENUE_qb0of3__PS_qb0of3__C2_ROE_DYN_riseq2__v0,REVENUE_qb0of3__PS_qb0of3,C2_ROE_DYN_riseq2,0.48956917165033675,0.4348852205642235,0.054683951086113236,-0.5488447665736492,0.5790874524714829,8.26,46.146103896103895
P_IC_qb0of3__ROE_qb0of3__C11_EPS_DYN_qmax8__v0,P_IC_qb0of3__ROE_qb0of3,C11_EPS_DYN_qmax8,0.48404978614783634,0.26083692476443354,0.2232128613834028,-0.7959917956141153,0.5924528301886792,5.42,10.544827586206896
REVENUE_qb0of3__EV_S_qb0of3__C9_EPS_DYN_riseq2__v0,REVENUE_qb0of3__EV_S_qb0of3,C9_EPS_DYN_riseq2,0.47983933398673617,0.3910498641246807,0.08878946986205549,-0.5776613537663084,0.5844984802431611,8.48,62.13636363636363
PB_qb0of3__ROIC_qb0of3__C11_EPS_DYN_qmax8__v0,PB_qb0of3__ROIC_qb0of3,C11_EPS_DYN_qmax8,0.4752869357135179,0.2832921046320658,0.1919948310814521,-0.5538576928244601,0.5895061728395061,6.36,24.632302405498283
EPS_qb0of3__ROE_qb2of3__C10_EPS_DYN_qmax4__v0,EPS_qb0of3__ROE_qb2of3,C10_EPS_DYN_qmax4,0.473442051130478,0.38632891368439726,0.08711313744608074,-0.5499486635907802,0.5242718446601942,7.19,18.92763157894737
