C編號,C,C來源,增益中位數,增益平均,增益為正比例,CAGR中位數,持股數中位數,n
11,C11_EPS_DYN_qmax8,EPS,0.4750015346635703,0.512219193780275,1.0,0.8667572039090274,68.31481481481481,22
12,C12_EPS_DYN_yoy,EPS,0.2654913137624396,0.23797473892323218,1.0,0.5986613552908543,172.92909356725147,22
4,C4_ROE_DYN_qmax8,ROE,0.21712944850766713,0.25360582716233737,0.8181818181818182,0.5248839817498234,43.06896551724138,22
18,C18_FCF_P_DYN_qmax8,FCF_P,0.14849968925561596,0.1810679383764762,0.9090909090909091,0.47195718197617065,46.04597701149426,22
13,C13_EPS_DYN_ytdavg_gt_lyytdavg,EPS,0.1427246220415136,0.14122300940251079,1.0,0.4813630647323791,185.61111111111111,22
10,C10_EPS_DYN_qmax4,EPS,0.13636457620530196,0.16353818986361093,0.8636363636363636,0.5156290724515808,99.78365384615384,22
14,C14_EPS_DYN_ytdavg_gt_lyavg,EPS,0.11877886549537042,0.1279313253806692,1.0,0.46442089864395075,187.86111111111111,22
8,C8_EPS_DYN_riseq1,EPS,0.11673516397727002,0.10100822852912662,0.8636363636363636,0.44438633242337267,164.0804347826087,22
3,C3_ROE_DYN_qmax4,ROE,0.09128017584015002,0.12088714612382713,0.7727272727272727,0.40812256509063705,74.61826923076924,22
1,C1_ROE_DYN_riseq1,ROE,0.08468257649166822,0.07243877412676766,0.9090909090909091,0.4164062958094954,149.32004830917873,22
6,C6_ROE_DYN_ytdavg_gt_lyytdavg,ROE,0.069429677952634,0.050857369864397865,0.8181818181818182,0.3849428370441593,149.66666666666669,22
7,C7_ROE_DYN_ytdavg_gt_lyavg,ROE,0.06440805773011771,0.046265852092952905,0.8181818181818182,0.38770762467956876,150.29166666666669,22
20,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,FCF_P,0.04780928658306971,0.04127612403163272,0.7272727272727273,0.37294920622262306,161.15277777777777,22
17,C17_FCF_P_DYN_qmax4,FCF_P,0.019437703020996233,-0.006647524256304932,0.6363636363636364,0.33328108458067907,83.82051282051282,22
5,C5_ROE_DYN_yoy,ROE,0.017896997240334778,0.026554779714823392,0.5909090909090909,0.3486239452317391,141.37646198830407,22
9,C9_EPS_DYN_riseq2,EPS,0.007880686617065313,0.014215204971661803,0.5454545454545454,0.3413884494218662,169.4702380952381,22
19,C19_FCF_P_DYN_yoy,FCF_P,0.005938864931909094,0.019420481931493414,0.6818181818181818,0.34926920528305083,160.25,22
15,C15_FCF_P_DYN_riseq1,FCF_P,-0.023948282655819275,-0.01933962046677218,0.36363636363636365,0.3325662415451457,164.4,22
2,C2_ROE_DYN_riseq2,ROE,-0.06257131159969753,-0.05093342369932301,0.13636363636363635,0.2654032734270766,145.69155844155844,22
16,C16_FCF_P_DYN_riseq2,FCF_P,-0.08889101741131833,-0.07675135965164319,0.18181818181818182,0.2379592996606842,154.16287878787878,22
