strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
VOL_qb2of3__CROIC_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__CROIC_qb0of3,C11_EPS_DYN_qmax8,1.291639398073268,0.32339951452437266,0.9682398835488955,-0.384556392027107,0.5365853658536586,34.65,85.55555555555556
VOL_qb2of3__NETDEBT_EBITDA_qb0of3__C4_ROE_DYN_qmax8__v0,VOL_qb2of3__NETDEBT_EBITDA_qb0of3,C4_ROE_DYN_qmax8,1.2872721875777873,0.3067750457478826,0.9804971418299047,-0.24766322977134836,0.5828220858895705,48.51,47.55555555555556
VOL_qb2of3__FCF_P_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__FCF_P_qb0of3,C11_EPS_DYN_qmax8,1.284323390342485,0.32617392728256056,0.9581494630599245,-0.3839910934073607,0.5287128712871287,34.41,85.55555555555556
VOL_qb2of3__FCF_OI_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__FCF_OI_qb0of3,C11_EPS_DYN_qmax8,1.2047314134426057,0.31381289478356145,0.8909185186590443,-0.39013966179365633,0.5121951219512195,36.14,77.14814814814815
VOL_qb2of3__ROIC_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__ROIC_qb0of3,C11_EPS_DYN_qmax8,1.1869932627741524,0.32930729375233425,0.8576859690218182,-0.39920192981689906,0.5315533980582524,27.34,73.79310344827586
VOL_qb2of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__EPS_qb0of3,C11_EPS_DYN_qmax8,1.0991242503058802,0.31319714438941104,0.7859271059164692,-0.39860746672574954,0.5311004784688995,28.98,75.6896551724138
VOL_qb2of3__OCF_E_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__OCF_E_qb0of3,C11_EPS_DYN_qmax8,1.084153511607171,0.2808479357922822,0.8033055758148888,-0.3718754642157518,0.5107632093933464,39.9,86.0
VOL_qb2of3__PB_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__PB_qb0of3,C11_EPS_DYN_qmax8,1.0832481695498082,0.5178146189555792,0.565433550594229,-0.3360077203469707,0.551622418879056,34.29,52.18518518518518
VOL_qb2of3__DEBTRATIO_qb0of3__C4_ROE_DYN_qmax8__v0,VOL_qb2of3__DEBTRATIO_qb0of3,C4_ROE_DYN_qmax8,1.07930649316918,0.2912157668313322,0.7880907263378478,-0.2904167901414628,0.5673758865248227,50.63,43.592592592592595
VOL_qb2of3__ROE_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__ROE_qb0of3,C11_EPS_DYN_qmax8,1.0479636775565462,0.28073743399402407,0.7672262435625221,-0.3951921818949501,0.5228310502283106,29.68,74.44827586206897
