strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
MOM_qb2of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__ACCRUAL_qb0of3,C4_ROE_DYN_qmax8,0.3378596230196247,-0.6967988948382731,0.528269560251285,25.223175965665234,v0
EV_S_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,EV_S_qb0of3__REVENUE_qb0of3,C11_EPS_DYN_qmax8,0.3299155496454702,-0.5186409312678342,0.4922425952045134,11.261802575107296,v0
P_IC_qb0of3__REVENUE_qb0of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__REVENUE_qb0of3,C4_ROE_DYN_qmax8,0.3294473975257908,-0.6580920708153704,0.5133928571428571,11.072961373390559,v0
EV_S_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,EV_S_qb0of3__REVENUE_qb0of3,C3_ROE_DYN_qmax4,0.325116778447174,-0.3980082008018778,0.5063103192279139,20.706106870229007,v0
PS_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,PS_qb0of3__REVENUE_qb0of3,C3_ROE_DYN_qmax4,0.31982449462103313,-0.5394552266749292,0.49510763209393344,16.717557251908396,v0
PS_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,PS_qb0of3__REVENUE_qb0of3,C10_EPS_DYN_qmax4,0.3183408105677461,-0.5095585504298406,0.49238095238095236,17.541984732824428,v0
P_IC_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,P_IC_qb0of3__REVENUE_qb0of3,C12_EPS_DYN_yoy,0.312816385009707,-0.5284439300007195,0.503780718336484,48.12,v0
VOL_qb2of3__CROIC_qb1of3__C18_FCF_P_DYN_qmax8__v0,VOL_qb2of3__CROIC_qb1of3,C18_FCF_P_DYN_qmax8,0.3081625458745545,-0.6952135270645274,0.44505494505494503,10.645320197044335,v0
P_IC_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,P_IC_qb0of3__REVENUE_qb0of3,C5_ROE_DYN_yoy,0.30777252878327754,-0.5438800570319016,0.5146547441629409,45.672,v0
PS_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,PS_qb0of3__REVENUE_qb0of3,C12_EPS_DYN_yoy,0.30287834679369374,-0.42782381972448835,0.4948604992657856,29.496,v0
P_IC_qb0of3__VOL_qb2of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__VOL_qb2of3,C4_ROE_DYN_qmax8,0.3027743579959168,-0.655088198905702,0.5097560975609756,20.111587982832617,v0
EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,EV_S_qb0of3__REVENUE_qb0of3,C10_EPS_DYN_qmax4,0.3015628732576012,-0.3758720311080941,0.5017972681524083,21.709923664122137,v0
PB_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,PB_qb0of3__NETDEBT_EBITDA_qb2of3,C4_ROE_DYN_qmax8,0.29605479434939563,-0.5799146511179851,0.5266974291364536,25.545064377682404,v0
EV_EBITDA_qb0of3__CROIC_qb1of3__C18_FCF_P_DYN_qmax8__v0,EV_EBITDA_qb0of3__CROIC_qb1of3,C18_FCF_P_DYN_qmax8,0.2937168609370011,-0.6188942829232019,0.46452328159645234,12.807881773399014,v0
EV_S_qb0of3__REVENUE_qb0of3__C4_ROE_DYN_qmax8__v0,EV_S_qb0of3__REVENUE_qb0of3,C4_ROE_DYN_qmax8,0.2932509135068684,-0.5844217039766761,0.4926900584795322,11.060869565217391,v0
PS_qb0of3__OCF_E_qb1of3__C4_ROE_DYN_qmax8__v0,PS_qb0of3__OCF_E_qb1of3,C4_ROE_DYN_qmax8,0.2920078892502189,-0.5437538128700279,0.5424929178470255,20.751072961373392,v0
EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,EV_S_qb0of3__ACCRUAL_qb0of3,C4_ROE_DYN_qmax8,0.2914240151403815,-0.4048093908117312,0.5224983210208194,21.90557939914163,v0
EV_S_qb1of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,EV_S_qb1of3__ACCRUAL_qb0of3,C4_ROE_DYN_qmax8,0.2889418604259293,-0.6573913733182118,0.5305785123966942,18.085836909871244,v0
PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,PB_qb0of3__CROIC_qb1of3,C4_ROE_DYN_qmax8,0.2887207707803805,-0.5779666092457787,0.5470991890205864,23.798283261802574,v0
EV_S_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,EV_S_qb0of3__REVENUE_qb0of3,C5_ROE_DYN_yoy,0.28866309536335666,-0.3616684856749024,0.5146541617819461,36.952,v0
