strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
MOM_qb2of3__REVENUE_qb1of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__REVENUE_qb1of3,C4_ROE_DYN_qmax8,0.36946883258960694,-0.6024469294196597,0.5134342940889106,31.759493670886076,v0
MOM_qb2of3__DEBTRATIO_qb2of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__DEBTRATIO_qb2of3,C4_ROE_DYN_qmax8,0.3670629552278635,-0.6039378259065803,0.514760147601476,32.67755102040816,v0
PS_qb0of3__REVENUE_qb1of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,PS_qb0of3__REVENUE_qb1of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.34837215879425365,-0.5003460620062639,0.534629404617254,11.995918367346938,v1
EV_S_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,EV_S_qb0of3__ROIC_qb2of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.3226189588800501,-0.5143468399673095,0.5282331511839709,14.518367346938776,v1
PS_qb0of3__REVENUE_qb1of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,PS_qb0of3__REVENUE_qb1of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.32106915331274766,-0.5734447730721153,0.5422535211267606,12.5875,v1
MOM_qb2of3__ROE_qb2of3__C11_EPS_DYN_qmax8__v1,MOM_qb2of3__ROE_qb2of3,C11_EPS_DYN_qmax8,0.3175005082084541,-0.4120272304578445,0.5363385464581417,12.334545454545454,v1
MOM_qb2of3__DEBTRATIO_qb2of3__C3_ROE_DYN_qmax4__v0,MOM_qb2of3__DEBTRATIO_qb2of3,C3_ROE_DYN_qmax4,0.31401874902964355,-0.668086165146359,0.5164113785557987,55.94285714285714,v0
MOM_qb2of3__ROE_qb2of3__C4_ROE_DYN_qmax8__v1,MOM_qb2of3__ROE_qb2of3,C4_ROE_DYN_qmax8,0.31387165200248357,-0.3104194427896513,0.5386416861826698,10.896414342629482,v1
EV_S_qb0of3__OCF_E_qb1of3__C2_ROE_DYN_riseq2__v1,EV_S_qb0of3__OCF_E_qb1of3,C2_ROE_DYN_riseq2,0.3134934603100832,-0.6150683293989285,0.5335731414868106,11.64406779661017,v1
MOM_qb2of3__ROIC_qb2of3__C11_EPS_DYN_qmax8__v1,MOM_qb2of3__ROIC_qb2of3,C11_EPS_DYN_qmax8,0.30684914527622964,-0.41202723094227356,0.5326923076923077,11.887272727272727,v1
MOM_qb2of3__EPS_qb2of3__C11_EPS_DYN_qmax8__v1,MOM_qb2of3__EPS_qb2of3,C11_EPS_DYN_qmax8,0.3019288466962764,-0.41202723045784473,0.5414312617702448,12.116363636363637,v1
MOM_qb2of3__ROIC_qb2of3__C4_ROE_DYN_qmax8__v1,MOM_qb2of3__ROIC_qb2of3,C4_ROE_DYN_qmax8,0.30015157638088974,-0.32695439969407547,0.5435835351089588,10.70281124497992,v1
PS_qb0of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,PS_qb0of3__MOM_qb2of3,C4_ROE_DYN_qmax8,0.29484570162199697,-0.4209697150479742,0.5180164109882269,40.5098814229249,v0
MOM_qb2of3__None__C4_ROE_DYN_qmax8__v1,MOM_qb2of3__None,C4_ROE_DYN_qmax8,0.29431409275845444,-0.34592003424615936,0.5238095238095238,15.099601593625499,v1
EV_S_qb0of3__NETDEBT_EBITDA_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,EV_S_qb0of3__NETDEBT_EBITDA_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.2939050543114712,-0.5262130286174498,0.5193370165745856,13.444897959183674,v1
MOM_qb2of3__None__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__None,C4_ROE_DYN_qmax8,0.28964925247849616,-0.4104764681422107,0.5062819916240112,86.07368421052631,v0
PS_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,PS_qb0of3__ROIC_qb2of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.2886555826806094,-0.5677703339457384,0.5315126050420168,12.244897959183673,v1
MOM_qb2of3__None__C11_EPS_DYN_qmax8__v1,MOM_qb2of3__None,C11_EPS_DYN_qmax8,0.2860818981353159,-0.4120272423107144,0.5221707478491066,17.276363636363637,v1
EV_S_qb0of3__REVENUE_qb1of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,EV_S_qb0of3__REVENUE_qb1of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.2841260260672962,-0.5637472529042624,0.5260821309655938,13.429166666666667,v1
PS_qb0of3__ROE_qb2of3__C15_FCF_P_DYN_riseq1__v1,PS_qb0of3__ROE_qb2of3,C15_FCF_P_DYN_riseq1,0.2839336108237551,-0.5025067367602036,0.5260303687635575,10.909090909090908,v1
MOM_qb2of3__EV_S_qb0of3__C10_EPS_DYN_qmax4__v1,MOM_qb2of3__EV_S_qb0of3,C10_EPS_DYN_qmax4,0.28097320655789093,-0.5924043681592934,0.5310668229777257,10.893700787401574,v1
PS_qb0of3__ROE_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,PS_qb0of3__ROE_qb2of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.2796252582916392,-0.5448823002263643,0.5278015397775877,15.240816326530613,v1
MOM_qb2of3__DEBTRATIO_qb1of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__DEBTRATIO_qb1of3,C4_ROE_DYN_qmax8,0.2778272760473257,-0.452034198536417,0.5165105963528832,31.574468085106382,v0
PS_qb0of3__MOM_qb2of3__C3_ROE_DYN_qmax4__v1,PS_qb0of3__MOM_qb2of3,C3_ROE_DYN_qmax4,0.27469605581290724,-0.5183888028186208,0.5352862849533955,10.134453781512605,v1
PS_qb0of3__EPS_qb2of3__C15_FCF_P_DYN_riseq1__v1,PS_qb0of3__EPS_qb2of3,C15_FCF_P_DYN_riseq1,0.2742126197662951,-0.5624052398318755,0.5357142857142857,10.289795918367346,v1
EV_S_qb0of3__REVENUE_qb1of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,EV_S_qb0of3__REVENUE_qb1of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.27295126156003957,-0.6116692087561563,0.5229357798165137,12.82857142857143,v1
MOM_qb2of3__EPS_qb2of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__EPS_qb2of3,C4_ROE_DYN_qmax8,0.27251153301146847,-0.3792500584363129,0.5292990142387732,50.25092250922509,v0
