strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
PS_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,PS_qb0of3__REVENUE_qb0of3,C11_EPS_DYN_qmax8,0.3378996407041257,-0.494746943872014,0.4553415061295972,10.296137339055795,v0
P_IC_qb0of3__VOL_qb2of3__C18_FCF_P_DYN_qmax8__v0,P_IC_qb0of3__VOL_qb2of3,C18_FCF_P_DYN_qmax8,0.3373327830642945,-0.5677246066440461,0.49812734082397003,15.236051502145923,v0
P_IC_qb0of3__REVENUE_qb0of3__C18_FCF_P_DYN_qmax8__v0,P_IC_qb0of3__REVENUE_qb0of3,C18_FCF_P_DYN_qmax8,0.3371714747454808,-0.5406518997984349,0.49136069114470843,13.484978540772532,v0
P_IC_qb0of3__REVENUE_qb0of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__REVENUE_qb0of3,C4_ROE_DYN_qmax8,0.33284570481855713,-0.6437304146606881,0.5021897810218978,12.051502145922747,v0
MOM_qb2of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__ACCRUAL_qb0of3,C4_ROE_DYN_qmax8,0.3318674679234308,-0.6967989354725186,0.5226244343891403,26.28755364806867,v0
P_IC_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,P_IC_qb0of3__REVENUE_qb0of3,C12_EPS_DYN_yoy,0.3298519204515764,-0.5105354417503117,0.5049458313707018,48.268,v0
EV_S_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,EV_S_qb0of3__REVENUE_qb0of3,C11_EPS_DYN_qmax8,0.3179744113231078,-0.4814712803316784,0.47289972899729,12.261802575107296,v0
P_IC_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,P_IC_qb0of3__REVENUE_qb0of3,C5_ROE_DYN_yoy,0.3166423192017449,-0.5185756363529728,0.5153465346534654,45.688,v0
PS_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,PS_qb0of3__REVENUE_qb0of3,C12_EPS_DYN_yoy,0.31275212322207824,-0.41634512643295696,0.4934402332361516,29.796,v0
EV_S_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,EV_S_qb0of3__REVENUE_qb0of3,C3_ROE_DYN_qmax4,0.3095329586018909,-0.3977186586562248,0.4963609898107715,21.67557251908397,v0
PS_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,PS_qb0of3__REVENUE_qb0of3,C3_ROE_DYN_qmax4,0.30940906222229403,-0.5381068862968217,0.48282442748091603,17.740458015267176,v0
P_IC_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,P_IC_qb0of3__REVENUE_qb0of3,C11_EPS_DYN_qmax8,0.30607464142579266,-0.5836113531374072,0.4934210526315789,13.515021459227468,v0
PS_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,PS_qb0of3__REVENUE_qb0of3,C10_EPS_DYN_qmax4,0.303163219297238,-0.5064040219832471,0.47702205882352944,18.67557251908397,v0
P_IC_qb0of3__VOL_qb2of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__VOL_qb2of3,C4_ROE_DYN_qmax8,0.29554144450766007,-0.649592265190772,0.5060048038430744,20.699570815450645,v0
PS_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,PS_qb0of3__REVENUE_qb0of3,C5_ROE_DYN_yoy,0.2945718405298827,-0.418938367005785,0.48990276738967836,28.872,v0
P_IC_qb0of3__VOL_qb2of3__C12_EPS_DYN_yoy__v0,P_IC_qb0of3__VOL_qb2of3,C12_EPS_DYN_yoy,0.2919028663787626,-0.6101880516581231,0.49782545665410266,66.044,v0
EV_S_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,EV_S_qb0of3__REVENUE_qb0of3,C5_ROE_DYN_yoy,0.29023745478306084,-0.3447868723255293,0.5089751013317892,37.368,v0
EV_S_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,EV_S_qb0of3__REVENUE_qb0of3,C12_EPS_DYN_yoy,0.2899856863851513,-0.33194304630600113,0.5114547537227949,38.068,v0
PB_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,PB_qb0of3__NETDEBT_EBITDA_qb2of3,C4_ROE_DYN_qmax8,0.28925506268130885,-0.5726715381777887,0.5201822916666666,27.15021459227468,v0
MOM_qb2of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,MOM_qb2of3__ACCRUAL_qb0of3,C3_ROE_DYN_qmax4,0.2885389309517472,-0.6074670720189526,0.5288053365676167,44.61832061068702,v0
P_IC_qb0of3__VOL_qb2of3__C5_ROE_DYN_yoy__v0,P_IC_qb0of3__VOL_qb2of3,C5_ROE_DYN_yoy,0.2883291838480557,-0.6040495360427438,0.49850299401197606,63.168,v0
P_IC_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,P_IC_qb0of3__REVENUE_qb0of3,C9_EPS_DYN_riseq2,0.2877442237625656,-0.556946548549204,0.5271251601879539,48.41240875912409,v0
PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,PB_qb0of3__CROIC_qb1of3,C4_ROE_DYN_qmax8,0.287433062081641,-0.5779669526413387,0.5394978567054501,24.326180257510728,v0
P_IC_qb0of3__REVENUE_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,P_IC_qb0of3__REVENUE_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.2862448376363673,-0.5331691250033364,0.5099626400996264,43.20701754385965,v0
EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,EV_S_qb0of3__REVENUE_qb0of3,C10_EPS_DYN_qmax4,0.28539506431220696,-0.37350244652827347,0.4894957983193277,22.858778625954198,v0
P_IC_qb0of3__DEBTRATIO_qb0of3__C5_ROE_DYN_yoy__v0,P_IC_qb0of3__DEBTRATIO_qb0of3,C5_ROE_DYN_yoy,0.28494526074194226,-0.5429123102468094,0.5288288288288289,25.328,v0
EV_S_qb0of3__MOM_qb2of3__C10_EPS_DYN_qmax4__v1,EV_S_qb0of3__MOM_qb2of3,C10_EPS_DYN_qmax4,0.2839653978816692,-0.37620352636419285,0.5503432494279176,11.514056224899598,v1
P_IC_qb0of3__DEBTRATIO_qb0of3__C12_EPS_DYN_yoy__v0,P_IC_qb0of3__DEBTRATIO_qb0of3,C12_EPS_DYN_yoy,0.28371749362743093,-0.5427647373446485,0.5276381909547738,26.412,v0
EV_S_qb0of3__REVENUE_qb0of3__C1_ROE_DYN_riseq1__v0,EV_S_qb0of3__REVENUE_qb0of3,C1_ROE_DYN_riseq1,0.2832446912795763,-0.47493951827875514,0.49302915082382764,38.32846715328467,v0
EV_S_qb0of3__REVENUE_qb0of3__C4_ROE_DYN_qmax8__v0,EV_S_qb0of3__REVENUE_qb0of3,C4_ROE_DYN_qmax8,0.2829121499379985,-0.533861871287241,0.47331460674157305,12.034782608695652,v0
EV_S_qb1of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,EV_S_qb1of3__ACCRUAL_qb0of3,C4_ROE_DYN_qmax8,0.2818420034871849,-0.6461233145671219,0.5240423797881011,18.965665236051503,v0
MOM_qb2of3__ACCRUAL_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,MOM_qb2of3__ACCRUAL_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.2816174856653122,-0.5499183627624347,0.5460060667340748,11.182795698924732,v1
P_IC_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__NETDEBT_EBITDA_qb2of3,C4_ROE_DYN_qmax8,0.28107317404558363,-0.5771315988235464,0.5172413793103449,37.38197424892704,v0
MOM_qb2of3__REV_G_qb2of3__C11_EPS_DYN_qmax8__v1,MOM_qb2of3__REV_G_qb2of3,C11_EPS_DYN_qmax8,0.27999420719539736,-0.5037868355858244,0.4808219178082192,10.385650224215247,v1
