CAGR_v0,daily_sharpe_v0,max_drawdown_v0,avg_drawdown_v0,win_ratio_v0,ytd_v0,strategy_v0,sharpe_ann_v0,F組合_v0,C_v0,C編號_v0,C來源_v0,key,CAGR_v1,daily_sharpe_v1,max_drawdown_v1,avg_drawdown_v1,win_ratio_v1,ytd_v1,strategy_v1,sharpe_ann_v1,F組合_v1,C_v1,C編號_v1,C來源_v1,dCAGR,dMDD,持股數_v1,持股數_v0,象限,F1因子
0.14168054854063916,18.09,-0.4805040989890291,-0.06772258198772775,0.5851605324980423,0.02639743584939347,PB_qb0of3__None__None__v0,0.8273315905037754,PB_qb0of3__None,None,0,None,PB_qb0of3__None__None,0.1275506369351329,21.66,-0.570573093859988,-0.09156073551579327,0.4929609969997692,-0.0217699297591869,PB_qb0of3__None__None__v1,0.6808311271716573,PB_qb0of3__None,None,0,None,-0.014129911605506251,-0.09006899487095887,65.13899613899613,514.2123552123552,④ 報酬降 風險升（雙輸）,PB
0.15678047881443047,16.65,-0.582459628872245,-0.07116174699701375,0.483488249074284,-0.017764834088376036,PB_qb0of3__None__C1_ROE_DYN_riseq1__v0,0.8292480568319267,PB_qb0of3__None,C1_ROE_DYN_riseq1,1,ROE,PB_qb0of3__None__C1_ROE_DYN_riseq1,0.1755280287421459,20.7,-0.6149528428629075,-0.08446371468445,0.49556025369978857,-0.04534193154984223,PB_qb0of3__None__C1_ROE_DYN_riseq1__v1,0.8104517311952881,PB_qb0of3__None,C1_ROE_DYN_riseq1,1,ROE,0.018747549927715434,-0.03249321399066252,34.121848739495796,244.48648648648648,② 報酬升 風險升,PB
0.16431063236701515,15.63,-0.47475783279941497,-0.058608315951397295,0.5067243035542748,-0.010642403219384922,PB_qb0of3__None__C2_ROE_DYN_riseq2__v0,0.9175178960465391,PB_qb0of3__None,C2_ROE_DYN_riseq2,2,ROE,PB_qb0of3__None__C2_ROE_DYN_riseq2,0.17835948620607467,18.54,-0.5913105464912727,-0.07738117186667307,0.508568781843446,-0.08230763507708272,PB_qb0of3__None__C2_ROE_DYN_riseq2__v1,0.8305969984069784,PB_qb0of3__None,C2_ROE_DYN_riseq2,2,ROE,0.014048853839059516,-0.11655271369185771,32.69957081545064,240.93436293436292,② 報酬升 風險升,PB
0.14813464640229723,15.24,-0.30387986383290966,-0.04760438993390891,0.47433903576982894,-0.037564863595007436,PB_qb0of3__None__C3_ROE_DYN_qmax4__v0,0.9663753631784225,PB_qb0of3__None,C3_ROE_DYN_qmax4,3,ROE,PB_qb0of3__None__C3_ROE_DYN_qmax4,0.1839217598404317,15.77,-0.5901547855967032,-0.07603846321994243,0.49960031974420466,-0.1138448001674699,PB_qb0of3__None__C3_ROE_DYN_qmax4__v1,0.7714188332615797,PB_qb0of3__None,C3_ROE_DYN_qmax4,3,ROE,0.035787113438134455,-0.28627492176379354,17.292887029288703,158.73745173745175,② 報酬升 風險升,PB
0.1460105976102264,14.53,-0.2848344546638677,-0.041373261944092236,0.4513949433304272,-0.04497589385372569,PB_qb0of3__None__C4_ROE_DYN_qmax8__v0,1.0397945105933333,PB_qb0of3__None,C4_ROE_DYN_qmax8,4,ROE,PB_qb0of3__None__C4_ROE_DYN_qmax8,0.12887842081034928,17.91,-0.5046493943437071,-0.10661021302094889,0.5046854082998661,-0.07111968249530842,PB_qb0of3__None__C4_ROE_DYN_qmax8__v1,0.5899386136895545,PB_qb0of3__None,C4_ROE_DYN_qmax8,4,ROE,-0.017132176799877108,-0.21981493967983945,11.036036036036036,89.7992277992278,④ 報酬降 風險升（雙輸）,PB
0.1543146951694565,14.88,-0.447769768493432,-0.052462944768226855,0.48299086757990867,0.008683924253075626,PB_qb0of3__None__C5_ROE_DYN_yoy__v0,0.9089852013904796,PB_qb0of3__None,C5_ROE_DYN_yoy,5,ROE,PB_qb0of3__None__C5_ROE_DYN_yoy,0.14505985687952694,17.79,-0.6030276554943615,-0.07788739155183715,0.5022999080036799,-0.09747643071478318,PB_qb0of3__None__C5_ROE_DYN_yoy__v1,0.7074139269722397,PB_qb0of3__None,C5_ROE_DYN_yoy,5,ROE,-0.009254838289929568,-0.15525788700092957,34.217194570135746,219.6100386100386,④ 報酬降 風險升（雙輸）,PB
0.13503414012548842,15.87,-0.38743469219123616,-0.05892181242248584,0.479688007799805,0.013008453959366229,PB_qb0of3__None__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,0.8543589039571552,PB_qb0of3__None,C6_ROE_DYN_ytdavg_gt_lyytdavg,6,ROE,PB_qb0of3__None__C6_ROE_DYN_ytdavg_gt_lyytdavg,0.10617402891852268,19.23,-0.4591205985350918,-0.09686836510658776,0.5066430469441984,-0.05035422985498994,PB_qb0of3__None__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,0.6215179945129568,PB_qb0of3__None,C6_ROE_DYN_ytdavg_gt_lyytdavg,6,ROE,-0.028860111206965744,-0.07168590634385563,37.99551569506726,219.0,④ 報酬降 風險升（雙輸）,PB
0.17059269890952855,15.14,-0.47455482702366025,-0.058192867800227054,0.4924133524996007,0.02539815344703733,PB_qb0of3__None__C7_ROE_DYN_ytdavg_gt_lyavg__v0,0.9660711001907842,PB_qb0of3__None,C7_ROE_DYN_ytdavg_gt_lyavg,7,ROE,PB_qb0of3__None__C7_ROE_DYN_ytdavg_gt_lyavg,0.16206412454391228,17.59,-0.5933865823605626,-0.09216820054104351,0.5118343195266272,-0.060375475291399416,PB_qb0of3__None__C7_ROE_DYN_ytdavg_gt_lyavg__v1,0.7566411015582322,PB_qb0of3__None,C7_ROE_DYN_ytdavg_gt_lyavg,7,ROE,-0.00852857436561627,-0.11883175533690238,31.615702479338843,212.02702702702703,④ 報酬降 風險升（雙輸）,PB
0.15611884270590592,16.65,-0.5877886970680646,-0.07362115921057702,0.481788946226909,0.0062424603762580855,PB_qb0of3__None__C8_EPS_DYN_riseq1__v0,0.82912151398552,PB_qb0of3__None,C8_EPS_DYN_riseq1,8,EPS,PB_qb0of3__None__C8_EPS_DYN_riseq1,0.17052972043594417,21.46,-0.6143273494517354,-0.08812679582185881,0.4953664700926706,-0.05023279428214422,PB_qb0of3__None__C8_EPS_DYN_riseq1__v1,0.7697482918784996,PB_qb0of3__None,C8_EPS_DYN_riseq1,8,EPS,0.01441087773003824,-0.026538652383670813,34.11764705882353,246.20849420849422,② 報酬升 風險升,PB
0.16707771916831726,15.57,-0.47473234325830127,-0.059522495761404885,0.5065431273283026,0.009567138788795226,PB_qb0of3__None__C9_EPS_DYN_riseq2__v0,0.9283466563000438,PB_qb0of3__None,C9_EPS_DYN_riseq2,9,EPS,PB_qb0of3__None__C9_EPS_DYN_riseq2,0.17894259425657588,19.36,-0.5686289257504484,-0.0772029935337137,0.5146780303030303,-0.0811541592386339,PB_qb0of3__None__C9_EPS_DYN_riseq2__v1,0.8145629336428868,PB_qb0of3__None,C9_EPS_DYN_riseq2,9,EPS,0.01186487508825862,-0.09389658249214716,31.72961373390558,243.36679536679537,② 報酬升 風險升,PB
