key,F組合,C,V,CAGR,MDD,勝率,持股數,變體們,變體數,變體
PS_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,PS_qb0of3__REVENUE_qb0of3,C11_EPS_DYN_qmax8,v0,0.3378996407041257,-0.494746943872014,0.4553415061295972,10.296137339055797,"['openSec', 'all']",2,openSec · all
P_IC_qb0of3__VOL_qb2of3__C18_FCF_P_DYN_qmax8__v0,P_IC_qb0of3__VOL_qb2of3,C18_FCF_P_DYN_qmax8,v0,0.3373327830642945,-0.5677246066440461,0.49812734082397,15.236051502145925,"['openSec', 'all']",2,openSec · all
P_IC_qb0of3__REVENUE_qb0of3__C18_FCF_P_DYN_qmax8__v0,P_IC_qb0of3__REVENUE_qb0of3,C18_FCF_P_DYN_qmax8,v0,0.3371714747454808,-0.5406518997984349,0.4913606911447084,13.484978540772532,"['openSec', 'all']",2,openSec · all
P_IC_qb0of3__REVENUE_qb0of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__REVENUE_qb0of3,C4_ROE_DYN_qmax8,v0,0.3328457048185571,-0.6437304146606881,0.5021897810218978,12.051502145922749,"['openSec', 'all']",2,openSec · all
MOM_qb2of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__ACCRUAL_qb0of3,C4_ROE_DYN_qmax8,v0,0.3318674679234308,-0.6967989354725186,0.5226244343891403,26.28755364806867,"['strict', 'openSec', 'relaxed', 'all']",4,strict · openSec · relaxed · all
P_IC_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,P_IC_qb0of3__REVENUE_qb0of3,C12_EPS_DYN_yoy,v0,0.3298519204515764,-0.5105354417503117,0.5049458313707018,48.268,"['openSec', 'all']",2,openSec · all
EV_S_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,EV_S_qb0of3__REVENUE_qb0of3,C11_EPS_DYN_qmax8,v0,0.3179744113231078,-0.4814712803316784,0.47289972899729,12.261802575107296,"['openSec', 'all']",2,openSec · all
P_IC_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,P_IC_qb0of3__REVENUE_qb0of3,C5_ROE_DYN_yoy,v0,0.3166423192017449,-0.5185756363529728,0.5153465346534654,45.688,"['openSec', 'all']",2,openSec · all
PS_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,PS_qb0of3__REVENUE_qb0of3,C12_EPS_DYN_yoy,v0,0.3127521232220782,-0.4163451264329569,0.4934402332361516,29.796,"['openSec', 'all']",2,openSec · all
EV_S_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,EV_S_qb0of3__REVENUE_qb0of3,C3_ROE_DYN_qmax4,v0,0.3095329586018909,-0.3977186586562248,0.4963609898107715,21.67557251908397,"['openSec', 'all']",2,openSec · all
