因子,判定,rho,形狀,最佳桶,最佳桶CAGR,桶間跨度,單獨最佳桶CAGR,可當primary桶數,當secondary增益中位,當secondary次數,當primary晉升數,規模控制_最佳,規模控制_判定,進入最終候選,最終候選最高CAGR
P_IC,✅ 過關,-1.0,單調↓,0,0.2009,0.1683,0.1818074876140536,2,-0.0276998214440229,14,37,0.0651712381820526,✅ ,1318,0.3347269755403799
PB,✅ 過關,-0.983,單調↓,0,0.222,0.1796,0.1813653578473695,2,-0.0263780198809133,17,37,0.0612794310866553,✅ ,1360,0.2967655831817342
PS,✅ 過關,-0.983,單調↓,0,0.1965,0.1348,0.1662084180591589,2,-0.0199852622977618,17,37,0.0405617008679719,✅ ,1750,0.3267731566238117
EV_S,✅ 過關,-0.95,單調↓,0,0.1679,0.1088,0.1576570259642526,2,-0.0152135097401173,15,31,0.0331714111441694,✅ ,1159,0.3329879300706115
MOM,✅ 過關,0.933,單調↑,7,0.1187,0.0911,0.118067778495646,1,-0.020505223885183,22,39,0.0137981839665288,⚠️,1597,0.3353525246337783
ROE,✅ 過關,0.867,單調↑,6,0.1051,0.026800000000000004,0.1096895179268933,1,-0.01171264652767685,24,28,0.0237700186377267,✅ ,1298,0.2626482989007423
FCF_P,⚠️ 只取極端桶,0.483,U型（兩端最好）,8,0.135,0.0587,0.1256751598067451,0,-0.0054919651076497,30,0,0.0140584319294718,⚠️,292,0.2504292325773907
EV_EBITDA,⚠️ 邊際,-0.8,倒U（中間最好）,2,0.168,0.11900000000000001,0.150647161022658,0,0.0027025472662894,30,0,0.0309297450923116,✅ ,298,0.2605455288816807
OCF_E,⚠️ 邊際,0.8,無序,8,0.1096,0.0426,0.1079267930217726,0,-0.0044312292732725,30,0,0.0145980466241224,⚠️,522,0.2920078770131737
ACCRUAL,⚠️ 邊際,-0.7,倒U（中間最好）,1,0.1065,0.0354,0.1063668059373923,0,-0.0060748204041195,30,0,0.002596349487425,⚠️,421,0.3353525246337783
ROIC,⚠️ 邊際,0.683,倒U（中間最好）,7,0.1054,0.027899999999999994,0.1050560428842111,0,-0.0051808096835724,30,0,0.0217300610708761,✅ ,932,0.2887208180296938
DEBTRATIO,⚠️ 邊際,0.65,U型（兩端最好）,8,0.1321,0.0445,0.1169870041215523,0,-0.0023452640017811,30,0,0.0116697625220638,⚠️,560,0.2818115782402621
FCF_OI,⚠️ 邊際,0.617,倒U（中間最好）,4,0.119,0.04609999999999999,0.1098916312911992,0,-0.0077110600867973,30,0,0.0002401273500374,⚠️,419,0.2810347783357396
NETDEBT_EBITDA,⚠️ 邊際,0.567,U型（兩端最好）,8,0.1169,0.024300000000000002,0.1177860159239916,0,-0.00266789289759335,30,0,0.0054944274476242,⚠️,635,0.2967655831817342
CROIC,❌ 淘汰,0.367,倒U（中間最好）,4,0.1242,0.0547,0.1130077406541303,0,-0.00522994122078365,30,0,0.0012548752696435,⚠️,451,0.2887208180296938
VOL,❌ 淘汰,-0.25,U型（兩端最好）,8,0.1038,0.0461,0.0953726436786717,0,-0.0051766515492197,30,0,0.0013020827812124,⚠️,453,0.3081835987653132
EPS,❌ 淘汰,-0.233,倒U（中間最好）,4,0.1063,0.0427,0.1086612443331949,0,-0.0031395049035828,30,0,0.015079005383894,⚠️,504,0.2727866466868955
REVENUE,❌ 淘汰,0.233,U型（兩端最好）,0,0.1254,0.04230000000000002,0.1060335045844624,0,-0.00138485107471535,30,0,0.0420080167688425,✅ ,514,0.3347269755403799
REV_G,❌ 淘汰,0.133,倒U（中間最好）,6,0.1115,0.039400000000000004,0.1013472605885588,0,-0.016672522090936,30,0,0.0022476233498964,⚠️,317,0.2799942071953973
MOM1,🚫 前瞻偏誤,1.0,單調↑,8,0.6779,0.8983,,0,,0,0,,—,0,
