strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
PB_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,PB_qb0of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.6893733601720373,-0.5025124752451922,0.5710407239819004,16.388316151202748,v0
REVENUE_qb0of3__PS_qb0of3__C11_EPS_DYN_qmax8__v0,REVENUE_qb0of3__PS_qb0of3,C11_EPS_DYN_qmax8,0.6211675256543903,-0.3934897971526016,0.6100164203612479,16.579310344827586,v0
REVENUE_qb0of3__PS_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,REVENUE_qb0of3__PS_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.618405499827837,-0.46103742527710123,0.6011808910359635,48.63,v0
REVENUE_qb0of3__PS_qb0of3__C10_EPS_DYN_qmax4__v0,REVENUE_qb0of3__PS_qb0of3,C10_EPS_DYN_qmax4,0.6165711627859689,-0.5829258399871782,0.5910165484633569,28.868852459016395,v0
REVENUE_qb0of3__PS_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,REVENUE_qb0of3__PS_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.616105779559881,-0.46081364273611225,0.599023331524688,48.33,v0
REVENUE_qb0of3__PS_qb0of3__C9_EPS_DYN_riseq2__v0,REVENUE_qb0of3__PS_qb0of3,C9_EPS_DYN_riseq2,0.6052716719706737,-0.5580540972850574,0.5820950965824666,49.16558441558441,v0
REVENUE_qb0of3__PS_qb0of3__C12_EPS_DYN_yoy__v0,REVENUE_qb0of3__PS_qb0of3,C12_EPS_DYN_yoy,0.6017580164451513,-0.4937148581388908,0.580168776371308,48.83,v0
EPS_qb0of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,EPS_qb0of3__ACCRUAL_qb0of3,C11_EPS_DYN_qmax8,0.5844563593310932,-0.49401151336034854,0.5378201310303752,22.61512027491409,v0
REVENUE_qb0of3__PS_qb0of3__C2_ROE_DYN_riseq2__v0,REVENUE_qb0of3__PS_qb0of3,C2_ROE_DYN_riseq2,0.5803628596652044,-0.5360649475110364,0.5802281368821293,46.146103896103895,v0
REVENUE_qb0of3__PS_qb0of3__C16_FCF_P_DYN_riseq2__v0,REVENUE_qb0of3__PS_qb0of3,C16_FCF_P_DYN_riseq2,0.5798148377341672,-0.49229770181455834,0.5736111111111111,46.66883116883117,v0
EV_S_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,EV_S_qb0of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.5791304355371512,-0.5861167798871405,0.5802615933412604,11.754325259515571,v0
EPS_qb0of3__OCF_E_qb2of3__C12_EPS_DYN_yoy__v0,EPS_qb0of3__OCF_E_qb2of3,C12_EPS_DYN_yoy,0.5784478266855329,-0.477551694706005,0.5318779459191267,51.38333333333333,v0
REVENUE_qb0of3__PS_qb0of3__C8_EPS_DYN_riseq1__v0,REVENUE_qb0of3__PS_qb0of3,C8_EPS_DYN_riseq1,0.5781985987088449,-0.4860818678061064,0.5737951807228916,48.60322580645161,v0
REVENUE_qb0of3__PS_qb0of3__C5_ROE_DYN_yoy__v0,REVENUE_qb0of3__PS_qb0of3,C5_ROE_DYN_yoy,0.5605152304979995,-0.4813808998743263,0.5738861932068814,43.96333333333333,v0
EPS_qb0of3__OCF_E_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,EPS_qb0of3__OCF_E_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.552878429164477,-0.4859871580942333,0.5482947770093012,56.696666666666665,v0
REVENUE_qb0of3__OCF_E_qb2of3__C5_ROE_DYN_yoy__v0,REVENUE_qb0of3__OCF_E_qb2of3,C5_ROE_DYN_yoy,0.5497748249787309,-0.47616360398026536,0.5451814189969956,59.843333333333334,v0
REVENUE_qb0of3__PS_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,REVENUE_qb0of3__PS_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.5413115356006115,-0.47043300815029776,0.6001181334908446,42.42809364548495,v0
