strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
PB_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,PB_qb0of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.6409851040739698,-0.4534375342078636,0.5692307692307692,16.388316151202748,v0
REVENUE_qb0of3__PS_qb0of3__C11_EPS_DYN_qmax8__v0,REVENUE_qb0of3__PS_qb0of3,C11_EPS_DYN_qmax8,0.5912043562006228,-0.3896046934716607,0.6091954022988506,16.579310344827586,v0
EPS_qb0of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,EPS_qb0of3__ACCRUAL_qb0of3,C11_EPS_DYN_qmax8,0.5608909939354152,-0.49401151336034854,0.5360333531864205,22.61512027491409,v0
EV_S_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,EV_S_qb0of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.5495085815026561,-0.586201137323599,0.5802615933412604,11.754325259515571,v0
P_IC_qb0of3__EPS_qb0of3__C10_EPS_DYN_qmax4__v0,P_IC_qb0of3__EPS_qb0of3,C10_EPS_DYN_qmax4,0.5394859400675429,-0.7284270625890441,0.5639976621858562,22.86513157894737,v0
REVENUE_qb0of3__PS_qb0of3__C9_EPS_DYN_riseq2__v0,REVENUE_qb0of3__PS_qb0of3,C9_EPS_DYN_riseq2,0.5321589872125156,-0.5862718184657755,0.5809806835066865,49.16558441558441,v0
EPS_qb0of3__ROE_qb2of3__C11_EPS_DYN_qmax8__v0,EPS_qb0of3__ROE_qb2of3,C11_EPS_DYN_qmax8,0.5197520417345061,-0.6441195622612406,0.5652694610778443,12.31958762886598,v0
REVENUE_qb0of3__PS_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,REVENUE_qb0of3__PS_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.5191593463982758,-0.46915567847064044,0.5995705850778315,48.63,v0
REVENUE_qb0of3__PS_qb0of3__C12_EPS_DYN_yoy__v0,REVENUE_qb0of3__PS_qb0of3,C12_EPS_DYN_yoy,0.5155511895114142,-0.5006874302518021,0.579324894514768,48.83,v0
REVENUE_qb0of3__PS_qb0of3__C10_EPS_DYN_qmax4__v0,REVENUE_qb0of3__PS_qb0of3,C10_EPS_DYN_qmax4,0.5137905938465552,-0.5829258399871782,0.5900709219858156,28.868852459016395,v0
REVENUE_qb0of3__PS_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,REVENUE_qb0of3__PS_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.5123946669664292,-0.45915995036785373,0.5979381443298969,48.33,v0
REVENUE_qb0of3__PS_qb0of3__C16_FCF_P_DYN_riseq2__v0,REVENUE_qb0of3__PS_qb0of3,C16_FCF_P_DYN_riseq2,0.5117797387676848,-0.50098769532811,0.5732638888888889,46.66883116883117,v0
REVENUE_qb0of3__PS_qb0of3__C8_EPS_DYN_riseq1__v0,REVENUE_qb0of3__PS_qb0of3,C8_EPS_DYN_riseq1,0.5102666678001357,-0.5142227676881956,0.5725903614457831,48.60322580645161,v0
REVENUE_qb0of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,REVENUE_qb0of3__ACCRUAL_qb0of3,C11_EPS_DYN_qmax8,0.5099964299443034,-0.43818937135742153,0.534375,24.63448275862069,v0
