strategy,F組合,C,CAGR,max_drawdown,win_ratio,持股數,V
VOL_qb2of3__ROE_qb0of3__C11_EPS_DYN_qmax8__v1,VOL_qb2of3__ROE_qb0of3,C11_EPS_DYN_qmax8,1.3673129670783957,-0.44484486549892877,0.46540880503144655,13.0,v1
VOL_qb2of3__CROIC_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__CROIC_qb0of3,C11_EPS_DYN_qmax8,1.291639398073268,-0.384556392027107,0.5365853658536586,85.55555555555556,v0
VOL_qb2of3__NETDEBT_EBITDA_qb0of3__C4_ROE_DYN_qmax8__v0,VOL_qb2of3__NETDEBT_EBITDA_qb0of3,C4_ROE_DYN_qmax8,1.2872721875777873,-0.24766322977134836,0.5828220858895705,47.55555555555556,v0
VOL_qb2of3__FCF_P_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__FCF_P_qb0of3,C11_EPS_DYN_qmax8,1.284323390342485,-0.3839910934073607,0.5287128712871287,85.55555555555556,v0
VOL_qb2of3__FCF_OI_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__FCF_OI_qb0of3,C11_EPS_DYN_qmax8,1.2047314134426057,-0.39013966179365633,0.5121951219512195,77.14814814814815,v0
VOL_qb2of3__ROIC_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__ROIC_qb0of3,C11_EPS_DYN_qmax8,1.1869932627741524,-0.39920192981689906,0.5315533980582524,73.79310344827586,v0
VOL_qb2of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__EPS_qb0of3,C11_EPS_DYN_qmax8,1.0991242503058802,-0.39860746672574954,0.5311004784688995,75.6896551724138,v0
VOL_qb2of3__OCF_E_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__OCF_E_qb0of3,C11_EPS_DYN_qmax8,1.084153511607171,-0.3718754642157518,0.5107632093933464,86.0,v0
VOL_qb2of3__PB_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__PB_qb0of3,C11_EPS_DYN_qmax8,1.0832481695498082,-0.3360077203469707,0.551622418879056,52.18518518518518,v0
VOL_qb2of3__DEBTRATIO_qb0of3__C4_ROE_DYN_qmax8__v0,VOL_qb2of3__DEBTRATIO_qb0of3,C4_ROE_DYN_qmax8,1.07930649316918,-0.2904167901414628,0.5673758865248227,43.592592592592595,v0
VOL_qb2of3__ROE_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__ROE_qb0of3,C11_EPS_DYN_qmax8,1.0479636775565462,-0.3951921818949501,0.5228310502283106,74.44827586206897,v0
VOL_qb2of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__DEBTRATIO_qb0of3,C11_EPS_DYN_qmax8,1.0428700656633172,-0.29383813029508454,0.5498721227621484,66.18518518518519,v0
VOL_qb2of3__FCF_OI_qb0of3__C18_FCF_P_DYN_qmax8__v0,VOL_qb2of3__FCF_OI_qb0of3,C18_FCF_P_DYN_qmax8,0.9993131859851412,-0.3101469391313879,0.47115384615384615,34.925925925925924,v0
VOL_qb2of3__EV_EBITDA_qb0of3__C11_EPS_DYN_qmax8__v1,VOL_qb2of3__EV_EBITDA_qb0of3,C11_EPS_DYN_qmax8,0.9642045980303944,-0.40203211426677365,0.47549019607843135,16.51851851851852,v1
VOL_qb2of3__P_IC_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__P_IC_qb0of3,C11_EPS_DYN_qmax8,0.9040148152285992,-0.36721745021556407,0.5421245421245421,35.964285714285715,v0
VOL_qb2of3__EV_EBITDA_qb0of3__C18_FCF_P_DYN_qmax8__v1,VOL_qb2of3__EV_EBITDA_qb0of3,C18_FCF_P_DYN_qmax8,0.8990701742002687,-0.28798533549707683,0.5072463768115942,15.37037037037037,v1
VOL_qb2of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__REVENUE_qb0of3,C11_EPS_DYN_qmax8,0.892145377784328,-0.3640776699029128,0.5322896281800391,87.3103448275862,v0
VOL_qb2of3__PB_qb0of3__C12_EPS_DYN_yoy__v0,VOL_qb2of3__PB_qb0of3,C12_EPS_DYN_yoy,0.8920543434275274,-0.3413456757470855,0.5384615384615384,140.94594594594594,v0
VOL_qb2of3__ROIC_qb0of3__C11_EPS_DYN_qmax8__v1,VOL_qb2of3__ROIC_qb0of3,C11_EPS_DYN_qmax8,0.8885716530589534,-0.4360870431923728,0.4900662251655629,12.777777777777779,v1
VOL_qb2of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,VOL_qb2of3__ACCRUAL_qb0of3,C4_ROE_DYN_qmax8,0.8779115784971616,-0.3640776699029128,0.5702005730659025,40.44827586206897,v0
VOL_qb2of3__CROIC_qb0of3__C11_EPS_DYN_qmax8__v1,VOL_qb2of3__CROIC_qb0of3,C11_EPS_DYN_qmax8,0.872586892337831,-0.4682364180788442,0.4685714285714286,14.0,v1
VOL_qb2of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v1,VOL_qb2of3__REVENUE_qb0of3,C11_EPS_DYN_qmax8,0.85469146543139,-0.35906450276516233,0.46994535519125685,15.481481481481481,v1
VOL_qb2of3__FCF_OI_qb0of3__C11_EPS_DYN_qmax8__v1,VOL_qb2of3__FCF_OI_qb0of3,C11_EPS_DYN_qmax8,0.851803825766478,-0.5205673353151459,0.4591194968553459,13.037037037037036,v1
VOL_qb2of3__EV_EBITDA_qb0of3__C11_EPS_DYN_qmax8__v0,VOL_qb2of3__EV_EBITDA_qb0of3,C11_EPS_DYN_qmax8,0.8413690300337269,-0.3640776699029128,0.5397923875432526,91.06896551724138,v0
VOL_qb2of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v1,VOL_qb2of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.8345257536219985,-0.45711052399605223,0.4897959183673469,12.703703703703704,v1
