key,F組合,C,V,CAGR,MDD,勝率,持股數,變體們,變體數,變體
REVENUE_qb0of3__PS_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,REVENUE_qb0of3__PS_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,v0,0.583894306071806,-0.4796080513944772,0.5983302411873841,49.18666666666667,"['strict', 'openSec', 'relaxed', 'all']",4,strict · openSec · relaxed · all
REVENUE_qb0of3__PS_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,REVENUE_qb0of3__PS_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,v0,0.5575198731158775,-0.4654627954503452,0.5977068793619142,43.04333333333334,"['strict', 'openSec', 'relaxed', 'all']",4,strict · openSec · relaxed · all
REVENUE_qb0of3__PS_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,REVENUE_qb0of3__PS_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,v0,0.534080589361184,-0.4735351479669719,0.5726565697912402,47.98245614035088,"['strict', 'openSec', 'relaxed', 'all']",4,strict · openSec · relaxed · all
REVENUE_qb0of3__PS_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,REVENUE_qb0of3__PS_qb0of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,v0,0.526388607130357,-0.5177511095584977,0.5710293432696786,41.74125874125874,"['strict', 'openSec', 'relaxed', 'all']",4,strict · openSec · relaxed · all
REVENUE_qb0of3__PS_qb0of3__C11_EPS_DYN_qmax8__v0,REVENUE_qb0of3__PS_qb0of3,C11_EPS_DYN_qmax8,v0,0.5066684114771607,-0.502552409308938,0.6115007012622721,91.34294871794872,"['strict', 'openSec', 'relaxed', 'all']",4,strict · openSec · relaxed · all
REVENUE_qb0of3__PS_qb0of3__C10_EPS_DYN_qmax4__v0,REVENUE_qb0of3__PS_qb0of3,C10_EPS_DYN_qmax4,v0,0.50272211630248,-0.5017282739868658,0.6158467893353361,92.19871794871794,"['strict', 'openSec', 'relaxed', 'all']",4,strict · openSec · relaxed · all
REVENUE_qb0of3__PS_qb0of3__C4_ROE_DYN_qmax8__v0,REVENUE_qb0of3__PS_qb0of3,C4_ROE_DYN_qmax8,v0,0.5019730843669574,-0.502986514877207,0.6103270223752152,91.15384615384616,"['strict', 'openSec', 'relaxed', 'all']",4,strict · openSec · relaxed · all
REVENUE_qb0of3__PS_qb0of3__C3_ROE_DYN_qmax4__v0,REVENUE_qb0of3__PS_qb0of3,C3_ROE_DYN_qmax4,v0,0.4968417410381081,-0.5022604650578403,0.6147266641874303,92.12179487179488,"['strict', 'openSec', 'relaxed', 'all']",4,strict · openSec · relaxed · all
REVENUE_qb0of3__PS_qb0of3__C18_FCF_P_DYN_qmax8__v0,REVENUE_qb0of3__PS_qb0of3,C18_FCF_P_DYN_qmax8,v0,0.4921328571185679,-0.5153677287368146,0.6172752808988764,91.20833333333331,"['strict', 'openSec', 'relaxed', 'all']",4,strict · openSec · relaxed · all
REVENUE_qb0of3__PS_qb0of3__C17_FCF_P_DYN_qmax4__v0,REVENUE_qb0of3__PS_qb0of3,C17_FCF_P_DYN_qmax4,v0,0.4917940580548541,-0.5154271773207724,0.6238636363636364,92.09294871794872,"['strict', 'openSec', 'relaxed', 'all']",4,strict · openSec · relaxed · all
