因子,判定,rho,形狀,最佳桶,最佳桶CAGR,桶間跨度,單獨最佳桶CAGR,可當primary桶數,當secondary增益中位,當secondary次數,當primary晉升數,規模控制_最佳,規模控制_判定,進入最終候選,最終候選最高CAGR
REVENUE,✅ 過關,-0.983,單調↓,0,0.3432,0.23070000000000002,0.261130726344537,2,-0.0370815155248903,24,24,0.0513669738651336,✅ ,1014,0.6211675256543903
P_IC,✅ 過關,-0.983,單調↓,0,0.2495,0.1144,0.2081868827440878,3,-0.0097959446454627,27,27,0.0205918182928304,✅ ,1487,0.5360127153777947
VOL,✅ 過關,0.983,單調↑,8,0.3755,0.2592,0.2528581944213681,1,-0.0377103144487303,33,16,0.0214998904609269,✅ ,773,0.4698837482836855
PS,✅ 過關,-0.95,單調↓,0,0.3498,0.2372,0.2446102370423932,2,-0.034848899031420855,30,23,0.0457644606316873,✅ ,1973,0.6893733601720373
EV_EBITDA,✅ 過關,-0.933,單調↓,1,0.3255,0.2169,0.2559938890207813,2,-0.047000286921537404,28,19,0.0468293137419248,✅ ,946,0.4746138483264381
EV_S,✅ 過關,-0.933,單調↓,0,0.3078,0.1864,0.233132761316245,2,-0.02177740435446445,28,20,0.0382897490134539,✅ ,1016,0.5791304355371512
PB,✅ 過關,-0.933,單調↓,0,0.3918,0.25959999999999994,0.2479266984947963,2,-0.0245597584585421,31,20,0.036992559623155,✅ ,1037,0.6893733601720373
EPS,✅ 過關,-0.9,單調↓,1,0.3368,0.21799999999999997,0.2656029344464758,2,-0.042033971235683504,24,23,0.0308953257172794,✅ ,926,0.6893733601720373
ACCRUAL,⚠️ 只取極端桶,-0.4,U型（兩端最好）,0,0.3455,0.21809999999999996,0.2416909795257831,0,-0.01429683359931095,48,0,0.0344960079292311,✅ ,416,0.5844563593310932
OCF_E,⚠️ 只取極端桶,0.35,U型（兩端最好）,8,0.2288,0.1056,0.2237152181000417,0,5.3070994671349983e-05,48,0,0.042460583573187,✅ ,489,0.5784478266855329
CROIC,⚠️ 只取極端桶,0.167,U型（兩端最好）,8,0.2739,0.15009999999999998,0.2114804299126029,0,-0.00225087408708255,48,0,0.0355650652230603,✅ ,390,0.5385130419162507
FCF_P,⚠️ 只取極端桶,0.083,U型（兩端最好）,0,0.3099,0.199,0.192608634647216,0,-0.00095714586812785,48,0,0.0347793771677666,✅ ,434,0.4038114931680416
ROIC,⚠️ 只取極端桶,-0.067,U型（兩端最好）,0,0.3376,0.2039,0.2327167398471268,0,-0.00782884990939465,48,0,0.0256068642848259,✅ ,820,0.5385130419162507
MOM,⚠️ 只取極端桶,-0.05,U型（兩端最好）,0,0.2682,0.1386,0.1930076162562337,0,-0.01126546339728535,48,0,0.0155957712940266,⚠️,365,0.370771097631557
REV_G,⚠️ 只取極端桶,-0.033,U型（兩端最好）,8,0.2393,0.09530000000000002,0.197448584199321,0,-0.007948113410949,48,0,0.0260346903877883,✅ ,498,0.4890297870306115
ROE,⚠️ 只取極端桶,-0.017,U型（兩端最好）,0,0.299,0.1774,0.2216080485150799,0,0.00088748657195225,48,0,0.0362696769667425,✅ ,475,0.5314573248029124
DEBTRATIO,⚠️ 只取極端桶,-0.017,U型（兩端最好）,0,0.2352,0.0879,0.2003392721028312,0,-0.0066838554991461505,48,0,0.0323022831187005,✅ ,432,0.4439474848882947
NETDEBT_EBITDA,⚠️ 邊際,-0.533,U型（兩端最好）,0,0.2608,0.11239999999999997,0.216130590957474,0,-0.00630910341657725,48,0,0.0262921875475596,✅ ,540,0.4981880515272985
FCF_OI,❌ 淘汰,-0.217,U型（兩端最好）,6,0.2169,0.0665,0.1936248436128342,0,-0.00588025920820785,48,0,0.019997584947512,⚠️,430,0.4697501987179984
MOM1,🚫 前瞻偏誤,1.0,單調↑,8,0.7088,0.8073,,0,,0,0,,—,0,
