因子,桶,9桶算數合併,3桶實跑,差異
P_IC,qb0of3,0.17566666666666664,0.1818074876140536,0.006140820947386966
P_IC,qb1of3,0.10253333333333332,0.1092739807102005,0.006740647376867179
P_IC,qb2of3,0.051133333333333336,0.0563883475755631,0.005255014242229766
PB,qb0of3,0.17479999999999998,0.1813653578473695,0.0065653578473695295
PB,qb1of3,0.10066666666666667,0.1075163745644609,0.006849707897794238
PB,qb2of3,0.05153333333333333,0.0574972692401198,0.005963935906786476
PS,qb0of3,0.16040000000000001,0.1662084180591589,0.005808418059158882
PS,qb1of3,0.10126666666666667,0.1083116224025371,0.007044955735870426
PS,qb2of3,0.06846666666666666,0.0741277653717071,0.005661098705040432
EV_S,qb0of3,0.15206666666666666,0.1576570259642526,0.005590359297585945
EV_S,qb1of3,0.10963333333333332,0.1169057936985036,0.007272460365170277
EV_S,qb2of3,0.06963333333333334,0.075443280019491,0.005809946686157655
MOM,qb0of3,0.04726666666666666,0.0535528934188331,0.006286226752166439
MOM,qb1of3,0.0772,0.0840313288647149,0.0068313288647148945
MOM,qb2of3,0.11133333333333334,0.118067778495646,0.006734445162312655
ROE,qb0of3,0.08689999999999999,0.0937602459033606,0.0068602459033606095
ROE,qb1of3,0.09206666666666667,0.0991729282837221,0.007106261617055423
ROE,qb2of3,0.10246666666666666,0.1096895179268933,0.007222851260226634
FCF_P,qb0of3,0.09449999999999999,0.0998706488389564,0.00537064883895641
FCF_P,qb1of3,0.09000000000000001,0.0962970099804898,0.006297009980489793
FCF_P,qb2of3,0.1205,0.1256751598067451,0.0051751598067451
EV_EBITDA,qb0of3,0.14403333333333335,0.150647161022658,0.006613827689324642
EV_EBITDA,qb1of3,0.11643333333333333,0.1235638350768937,0.0071305017435603635
EV_EBITDA,qb2of3,0.054900000000000004,0.0617550232526238,0.006855023252623799
OCF_E,qb0of3,0.07753333333333333,0.0827831110987566,0.0052497777654232775
OCF_E,qb1of3,0.09816666666666667,0.1043726727924438,0.006206006125777139
OCF_E,qb2of3,0.10246666666666666,0.1079267930217726,0.00546012635510594
ACCRUAL,qb0of3,0.10133333333333333,0.1063668059373923,0.005033472604058967
ACCRUAL,qb1of3,0.09573333333333334,0.1016643297997912,0.005930996466457866
ACCRUAL,qb2of3,0.07906666666666666,0.0839488805517625,0.00488221388509584
ROIC,qb0of3,0.08693333333333332,0.0937497290690401,0.006816395735706776
ROIC,qb1of3,0.0971,0.1041930868681597,0.007093086868159695
ROIC,qb2of3,0.0979,0.1050560428842111,0.007156042884211095
DEBTRATIO,qb0of3,0.09406666666666667,0.0994993238562105,0.0054326571895438325
DEBTRATIO,qb1of3,0.09513333333333333,0.1010507758318886,0.0059174424985552615
DEBTRATIO,qb2of3,0.11246666666666666,0.1169870041215523,0.004520337454885642
FCF_OI,qb0of3,0.08036666666666667,0.0848641698230576,0.004497503156390928
FCF_OI,qb1of3,0.10359999999999998,0.1098916312911992,0.0062916312911992095
FCF_OI,qb2of3,0.0951,0.0999354803809176,0.004835480380917592
NETDEBT_EBITDA,qb0of3,0.09633333333333334,0.1032357262765657,0.0069023929432323605
NETDEBT_EBITDA,qb1of3,0.09396666666666666,0.0990534221085615,0.0050867554418948385
NETDEBT_EBITDA,qb2of3,0.11080000000000001,0.1177860159239916,0.00698601592399159
CROIC,qb0of3,0.07743333333333334,0.0825743472533366,0.005141013920003254
CROIC,qb1of3,0.10726666666666666,0.1130077406541303,0.005741073987463638
CROIC,qb2of3,0.09183333333333334,0.0968839970129702,0.005050663679636858
VOL,qb0of3,0.0861,0.0953726436786717,0.0092726436786717
VOL,qb1of3,0.08076666666666667,0.0884970604188455,0.007730393752178835
VOL,qb2of3,0.07806666666666667,0.0882904802988195,0.010223813632152828
EPS,qb0of3,0.0901,0.0970784964444602,0.0069784964444602055
EPS,qb1of3,0.10149999999999999,0.1086612443331949,0.007161244333194913
EPS,qb2of3,0.09133333333333334,0.0978790064567252,0.006545673123391868
REVENUE,qb0of3,0.10099999999999999,0.1056960776643436,0.004696077664343601
REVENUE,qb1of3,0.10053333333333332,0.1055165240226645,0.004983190689331174
REVENUE,qb2of3,0.10336666666666666,0.1060335045844624,0.0026668379177957335
REV_G,qb0of3,0.08416666666666667,0.0904073221359313,0.006240655469264639
REV_G,qb1of3,0.09476666666666667,0.1013472605885588,0.006580593921892128
REV_G,qb2of3,0.09226666666666666,0.0983279594135135,0.00606129274684683
