因子,rho_全期,判定_全期,rho_H1,判定_H1,rho_H2,判定_H2,兩期判定一致,rho_符號一致
P_IC,-1.0,✅ 過關,-0.983,✅ 過關,-0.983,✅ 過關,True,True
PB,-0.983,✅ 過關,-1.0,✅ 過關,-0.933,✅ 過關,True,True
PS,-0.983,✅ 過關,-0.967,✅ 過關,-0.933,✅ 過關,True,True
EV_S,-0.95,✅ 過關,-0.95,✅ 過關,-0.917,✅ 過關,True,True
MOM,0.933,✅ 過關,0.817,⚠️ 邊際,0.95,✅ 過關,False,True
ROE,0.867,✅ 過關,0.6,⚠️ 邊際,0.167,❌ 淘汰,False,True
FCF_P,0.483,⚠️ 只取極端桶,0.467,⚠️ 只取極端桶,0.483,❌ 淘汰,False,True
EV_EBITDA,-0.8,⚠️ 邊際,-0.817,⚠️ 邊際,-0.733,⚠️ 邊際,True,True
OCF_E,0.8,⚠️ 邊際,0.817,⚠️ 邊際,0.15,❌ 淘汰,False,True
ACCRUAL,-0.7,⚠️ 邊際,-0.95,✅ 過關,-0.433,❌ 淘汰,False,True
ROIC,0.683,⚠️ 邊際,0.6,⚠️ 邊際,0.15,❌ 淘汰,False,True
DEBTRATIO,0.65,⚠️ 邊際,0.55,⚠️ 邊際,0.583,⚠️ 邊際,True,True
FCF_OI,0.617,⚠️ 邊際,0.683,⚠️ 邊際,0.267,❌ 淘汰,False,True
NETDEBT_EBITDA,0.567,⚠️ 邊際,0.417,⚠️ 只取極端桶,0.083,❌ 淘汰,False,True
CROIC,0.367,❌ 淘汰,0.4,❌ 淘汰,0.167,❌ 淘汰,True,True
VOL,-0.25,❌ 淘汰,-0.35,⚠️ 只取極端桶,0.517,⚠️ 邊際,False,False
EPS,-0.233,❌ 淘汰,0.283,❌ 淘汰,-0.283,❌ 淘汰,True,False
REVENUE,0.233,❌ 淘汰,0.833,⚠️ 邊際,-0.317,⚠️ 只取極端桶,False,False
REV_G,0.133,❌ 淘汰,-0.183,❌ 淘汰,0.417,❌ 淘汰,True,False
MOM1,1.0,🚫 前瞻偏誤,1.0,🚫 前瞻偏誤,1.0,🚫 前瞻偏誤,True,True
