因子,桶,9桶算數合併,3桶實跑,差異
REVENUE,qb0of3,0.2467,0.261130726344537,0.014430726344536987
REVENUE,qb1of3,0.15383333333333332,0.1555425319936541,0.0017091986603207654
REVENUE,qb2of3,0.1326,0.1339348448011661,0.0013348448011661074
P_IC,qb0of3,0.20453333333333332,0.2081868827440878,0.003653549410754492
P_IC,qb1of3,0.16903333333333334,0.1726226873417213,0.003589354008387946
P_IC,qb2of3,0.14133333333333334,0.1450885766412717,0.0037552433079383607
VOL,qb0of3,0.11836666666666668,0.1244672055786841,0.0061005389120174225
VOL,qb1of3,0.13316666666666668,0.1388474317126491,0.005680765045982417
VOL,qb2of3,0.24653333333333335,0.2528581944213681,0.006324861088034733
PS,qb0of3,0.2416666666666666,0.2446102370423932,0.002943570375726595
PS,qb1of3,0.14516666666666667,0.1487724905372673,0.0036058238706006274
PS,qb2of3,0.12526666666666667,0.1304064385089995,0.00513977184233283
EV_EBITDA,qb0of3,0.24766666666666667,0.2559938890207813,0.008327222354114622
EV_EBITDA,qb1of3,0.14453333333333332,0.1487294682252893,0.0041961348919559716
EV_EBITDA,qb2of3,0.11663333333333332,0.1204675636374674,0.003834230304134073
EV_S,qb0of3,0.2309,0.233132761316245,0.002232761316245002
EV_S,qb1of3,0.15726666666666664,0.1615394213063195,0.004272754639652848
EV_S,qb2of3,0.1255666666666667,0.1299146479882844,0.0043479813216177055
PB,qb0of3,0.2463666666666667,0.2479266984947963,0.0015600318281295822
PB,qb1of3,0.14143333333333333,0.1452505229196135,0.003817189586280162
PB,qb2of3,0.13356666666666667,0.1366685026616441,0.003101835994977431
EPS,qb0of3,0.25016666666666665,0.2656029344464758,0.015436267779809165
EPS,qb1of3,0.15053333333333332,0.1538763296811611,0.0033429963478277813
EPS,qb2of3,0.12066666666666666,0.1244273411769634,0.003760674510296741
ACCRUAL,qb0of3,0.2292,0.2416909795257831,0.012490979525783125
ACCRUAL,qb1of3,0.13256666666666667,0.1371836482592305,0.004616981592563824
ACCRUAL,qb2of3,0.15259999999999999,0.1575547790096656,0.004954779009665622
OCF_E,qb0of3,0.17566666666666667,0.1798676985254448,0.004201031858778126
OCF_E,qb1of3,0.12933333333333333,0.1340366073195917,0.004703273986258361
OCF_E,qb2of3,0.2091333333333333,0.2237152181000417,0.01458188476670838
CROIC,qb0of3,0.17993333333333336,0.1855582949980068,0.005624961664673439
CROIC,qb1of3,0.1341,0.1394350469581493,0.005335046958149292
CROIC,qb2of3,0.19826666666666667,0.2114804299126029,0.013213763245936233
FCF_P,qb0of3,0.18703333333333336,0.1888842275363058,0.0018508942029724362
FCF_P,qb1of3,0.13853333333333331,0.1534547550392218,0.014921421705888477
FCF_P,qb2of3,0.18860000000000002,0.192608634647216,0.004008634647215986
ROIC,qb0of3,0.21713333333333332,0.2327167398471268,0.015583406513793474
ROIC,qb1of3,0.14373333333333335,0.1482320474233993,0.004498714090065942
ROIC,qb2of3,0.15516666666666667,0.1588218825730112,0.0036552159063445167
MOM,qb0of3,0.18643333333333334,0.1930076162562337,0.006574282922900354
MOM,qb1of3,0.141,0.1469239709355982,0.005923970935598211
MOM,qb2of3,0.1655,0.1709149143504185,0.005414914350418493
REV_G,qb0of3,0.17876666666666666,0.1845261196937382,0.005759453027071537
REV_G,qb1of3,0.15173333333333336,0.1561070689408699,0.0043737356075365386
REV_G,qb2of3,0.18390000000000004,0.197448584199321,0.013548584199320951
ROE,qb0of3,0.2068,0.2216080485150799,0.014808048515079886
ROE,qb1of3,0.13363333333333335,0.137364631456387,0.0037312981230536446
ROE,qb2of3,0.17806666666666668,0.1822022634716211,0.004135596804954428
DEBTRATIO,qb0of3,0.18526666666666666,0.2003392721028312,0.015072605436164538
DEBTRATIO,qb1of3,0.15593333333333334,0.1590012854808844,0.0030679521475510674
DEBTRATIO,qb2of3,0.18723333333333333,0.1893628607641744,0.002129527430841077
NETDEBT_EBITDA,qb0of3,0.20276666666666665,0.216130590957474,0.01336392429080735
NETDEBT_EBITDA,qb1of3,0.1529,0.1560424069562878,0.0031424069562877854
NETDEBT_EBITDA,qb2of3,0.15796666666666667,0.1627319193611311,0.004765252694464428
FCF_OI,qb0of3,0.17679999999999998,0.1818988266346524,0.005098826634652415
FCF_OI,qb1of3,0.15246666666666667,0.1571723025719216,0.00470563590525494
FCF_OI,qb2of3,0.17936666666666667,0.1936248436128342,0.014258176946167517
