因子,rho_全期,判定_全期,rho_H1,判定_H1,rho_H2,判定_H2,兩期判定一致,rho_符號一致
REVENUE,-0.983,✅ 過關,-0.933,✅ 過關,-0.717,⚠️ 邊際,False,True
P_IC,-0.983,✅ 過關,-0.983,✅ 過關,-0.783,⚠️ 邊際,False,True
VOL,0.983,✅ 過關,0.8,⚠️ 邊際,1.0,✅ 過關,False,True
PS,-0.95,✅ 過關,-0.967,✅ 過關,-0.533,⚠️ 邊際,False,True
EV_EBITDA,-0.933,✅ 過關,-0.933,✅ 過關,-0.867,✅ 過關,True,True
EV_S,-0.933,✅ 過關,-0.95,✅ 過關,-0.733,⚠️ 邊際,False,True
PB,-0.933,✅ 過關,-0.9,✅ 過關,-0.283,⚠️ 只取極端桶,False,True
EPS,-0.9,✅ 過關,-0.883,✅ 過關,-0.9,✅ 過關,True,True
ACCRUAL,-0.4,⚠️ 只取極端桶,-0.5,⚠️ 邊際,-0.233,⚠️ 只取極端桶,False,True
OCF_E,0.35,⚠️ 只取極端桶,0.5,⚠️ 邊際,0.133,⚠️ 只取極端桶,False,True
CROIC,0.167,⚠️ 只取極端桶,0.567,⚠️ 邊際,-0.083,⚠️ 只取極端桶,False,False
FCF_P,0.083,⚠️ 只取極端桶,0.35,⚠️ 只取極端桶,-0.117,⚠️ 只取極端桶,True,False
ROIC,-0.067,⚠️ 只取極端桶,-0.033,⚠️ 只取極端桶,-0.383,⚠️ 只取極端桶,True,True
MOM,-0.05,⚠️ 只取極端桶,-0.383,⚠️ 只取極端桶,0.167,⚠️ 只取極端桶,True,False
REV_G,-0.033,⚠️ 只取極端桶,-0.6,⚠️ 邊際,0.083,⚠️ 只取極端桶,False,False
ROE,-0.017,⚠️ 只取極端桶,0.167,⚠️ 只取極端桶,0.0,⚠️ 只取極端桶,True,False
DEBTRATIO,-0.017,⚠️ 只取極端桶,0.267,⚠️ 只取極端桶,0.133,⚠️ 只取極端桶,True,True
NETDEBT_EBITDA,-0.533,⚠️ 邊際,-0.25,❌ 淘汰,-0.617,⚠️ 邊際,False,True
FCF_OI,-0.217,❌ 淘汰,0.817,⚠️ 邊際,-0.583,⚠️ 邊際,True,False
MOM1,1.0,🚫 前瞻偏誤,1.0,🚫 前瞻偏誤,1.0,🚫 前瞻偏誤,True,True
