tree_key,ratio,allocation,n_cells,backfill_rate_a,backfill_rate_random,backfill_diff,n_members_mean
TW,0.01,equal,90,0.09087893864013266,0.0003593145384190157,-0.09051962410171364,67.0
TW,0.01,proportional,90,0.0,0.0,0.0,67.0
TW,0.03,equal,90,0.28600000000000003,0.06908518518518518,-0.21691481481481484,200.0
TW,0.03,proportional,90,0.0,0.0,0.0,200.0
TW,0.05,equal,90,0.39404524284763814,0.14819472166777556,-0.24585052117986259,334.0
TW,0.05,proportional,90,0.0724550898203593,0.00023064981148813483,-0.07222444000887115,334.0
TW,0.1,equal,90,0.5213572854291417,0.29245120869372365,-0.22890607673541807,668.0
TW,0.1,proportional,90,0.3832501663339987,0.2353997560434686,-0.14785041029053012,668.0
TW,legacy,equal,90,0.036249158249158246,0.0,-0.036249158249158246,33.388888888888886
TW,legacy,proportional,90,0.0,0.0,0.0,33.388888888888886
US,0.01,equal,90,0.040873015873015874,0.0,-0.040873015873015874,84.0
US,0.01,proportional,90,0.0,0.0,0.0,84.0
US,0.03,equal,90,0.15803452855245684,0.002443559096945551,-0.1555909694555113,251.0
US,0.03,proportional,90,0.009030544488711819,0.0,-0.009030544488711819,251.0
US,0.05,equal,90,0.2706007442849548,0.04769360269360269,-0.2229071415913521,418.0
US,0.05,proportional,90,0.08514088250930356,0.002555378344852029,-0.08258550416445153,418.0
US,0.1,equal,90,0.4997076023391814,0.2574331029594187,-0.2422744993797627,836.0
US,0.1,proportional,90,0.4834928229665072,0.23526094276094275,-0.24823188020556444,836.0
US,legacy,equal,90,0.0012962962962962963,0.0,-0.0012962962962962963,35.333333333333336
US,legacy,proportional,90,0.0,0.0,0.0,35.333333333333336
XM,0.01,equal,90,0.05118518518518518,0.14486666666666664,0.09368148148148146,150.0
XM,0.01,proportional,90,0.0,0.14895802469135802,0.14895802469135802,150.0
XM,0.03,equal,90,0.09551613697955162,0.6890999425145766,0.593583805535025,451.0
XM,0.03,proportional,90,0.01029810298102981,0.6906134515890614,0.6803153486080316,451.0
XM,0.05,equal,90,0.26728723404255317,0.8142237982663515,0.5469365642237983,752.0
XM,0.05,proportional,90,0.22523640661938535,0.8142927501970056,0.5890563435776203,752.0
XM,0.1,equal,90,0.6066858747044918,0.9071714933018123,0.3004856185973206,1504.0
XM,0.1,proportional,90,0.6066858747044918,0.907227147360126,0.30054127265563424,1504.0
XM,legacy,equal,90,0.0,0.0,0.0,16.444444444444443
XM,legacy,proportional,90,0.0,0.0,0.0,16.444444444444443
