high門檻,low門檻,same誤判為高互補,cross判為高互補,cross誤判為低互補,核心結論成立
0.3,0.65,1,0,3,False
0.3,0.66,1,0,3,False
0.3,0.67,1,0,3,False
0.3,0.68,1,0,3,False
0.3,0.69,1,0,3,False
0.3,0.7,1,0,3,False
0.3,0.71,1,0,3,False
0.3,0.72,1,0,3,False
0.3,0.73,1,0,3,False
0.3,0.74,1,0,3,False
0.3,0.75,1,0,3,False
0.3,0.76,1,0,3,False
0.3,0.77,1,0,3,False
0.3,0.78,1,0,3,False
0.3,0.79,1,0,3,False
0.3,0.8,1,0,3,False
0.3,0.81,1,0,3,False
0.3,0.82,1,0,3,False
0.3,0.83,1,0,3,False
0.3,0.84,1,0,3,False
0.3,0.85,1,0,3,False
0.3,0.86,1,0,3,False
0.3,0.87,1,0,3,False
0.3,0.88,1,0,3,False
0.3,0.89,1,0,3,False
0.3,0.9,1,0,3,False
0.31,0.65,1,0,3,False
0.31,0.66,1,0,3,False
0.31,0.67,1,0,3,False
0.31,0.68,1,0,3,False
0.31,0.69,1,0,3,False
0.31,0.7,1,0,3,False
0.31,0.71,1,0,3,False
0.31,0.72,1,0,3,False
0.31,0.73,1,0,3,False
0.31,0.74,1,0,3,False
0.31,0.75,1,0,3,False
0.31,0.76,1,0,3,False
0.31,0.77,1,0,3,False
0.31,0.78,1,0,3,False
0.31,0.79,1,0,3,False
0.31,0.8,1,0,3,False
0.31,0.81,1,0,3,False
0.31,0.82,1,0,3,False
0.31,0.83,1,0,3,False
0.31,0.84,1,0,3,False
0.31,0.85,1,0,3,False
0.31,0.86,1,0,3,False
0.31,0.87,1,0,3,False
0.31,0.88,1,0,3,False
0.31,0.89,1,0,3,False
0.31,0.9,1,0,3,False
0.32,0.65,1,0,3,False
0.32,0.66,1,0,3,False
0.32,0.67,1,0,3,False
0.32,0.68,1,0,3,False
0.32,0.69,1,0,3,False
0.32,0.7,1,0,3,False
0.32,0.71,1,0,3,False
0.32,0.72,1,0,3,False
0.32,0.73,1,0,3,False
0.32,0.74,1,0,3,False
0.32,0.75,1,0,3,False
0.32,0.76,1,0,3,False
0.32,0.77,1,0,3,False
