control,tree_key,ratio,n_oos_months,n_cells,a_wins,enb_a_mean,enb_control_mean,enb_diff_mean,pct_n_gt_t
A2_random,TW,0.01,24,64,0.5,3.1476715769830212,3.1616682593160266,-0.0139966823330053,1.0
A2_random,TW,0.01,36,76,0.5921052631578947,3.884041749269317,3.8344691344104067,0.0495726148589099,1.0
A2_random,TW,0.01,48,32,0.3125,3.4515293616740017,3.493726417988093,-0.04219705631409143,1.0
A2_random,TW,0.01,60,8,1.0,3.244853227118851,3.1286968107171136,0.11615641640173735,1.0
A2_random,TW,0.03,24,64,0.140625,3.380398234512051,3.46689512338018,-0.08649688886812903,1.0
A2_random,TW,0.03,36,76,0.27631578947368424,4.3559177182531394,4.431062946489401,-0.0751452282362617,1.0
A2_random,TW,0.03,48,32,0.09375,3.878022501066737,4.056620187772148,-0.17859768670541065,1.0
A2_random,TW,0.03,60,8,0.0,3.669467264627996,3.762747679792616,-0.09328041516462038,1.0
A2_random,TW,0.05,24,64,0.140625,3.4610740787297525,3.57594911977776,-0.11487504104800807,1.0
A2_random,TW,0.05,36,76,0.23684210526315788,4.48663891612253,4.643417604223879,-0.15677868810134998,1.0
A2_random,TW,0.05,48,32,0.09375,4.008662712904228,4.253978053225359,-0.24531534032113134,1.0
A2_random,TW,0.05,60,8,0.0,3.740621568077896,3.998226963538493,-0.25760539546059735,1.0
A2_random,TW,legacy,24,64,0.71875,2.84389037965963,2.7988260844858277,0.04506429517380238,1.0
A2_random,TW,legacy,36,76,0.881578947368421,3.525222360282543,3.3738227974058534,0.15139956287669004,0.23684210526315788
A2_random,TW,legacy,48,32,0.5,3.022140141446439,2.992296957107555,0.02984318433888379,0.0625
A2_random,TW,legacy,60,8,1.0,2.7556009140675615,2.6320901391537914,0.12351077491377027,0.0
A2_random,US,0.01,24,64,0.515625,4.306282100297414,4.377569447343092,-0.0712873470456768,1.0
A2_random,US,0.01,36,76,0.39473684210526316,4.510384743290377,4.632307471700486,-0.12192272841010893,1.0
A2_random,US,0.01,48,32,0.34375,4.721734704955971,4.9411888341535555,-0.21945412919758633,1.0
A2_random,US,0.01,60,8,0.75,5.068291009064724,4.9116631373403425,0.1566278717243812,1.0
A2_random,US,0.03,24,64,0.125,4.448016171163122,4.713586897122826,-0.26557072595970455,1.0
A2_random,US,0.03,36,76,0.013157894736842105,4.815426859435698,5.132482116433703,-0.31705525699800546,1.0
A2_random,US,0.03,48,32,0.0,4.938173166733195,5.3734088350449145,-0.4352356683117198,1.0
A2_random,US,0.03,60,8,0.25,5.462218330642078,5.597842015003716,-0.13562368436163785,1.0
A2_random,US,legacy,24,64,0.359375,3.9098960987082574,3.955787532584626,-0.04589143387636833,1.0
A2_random,US,legacy,36,76,0.4473684210526316,3.8360349199467123,3.912390457495323,-0.07635553754861017,0.05263157894736842
A2_random,US,legacy,48,32,0.1875,4.030105649698827,4.26285618947244,-0.23275053977361274,0.0
A2_random,US,legacy,60,8,0.75,4.522894793605877,4.205350136253179,0.31754465735269854,0.0
A2_random,XM,0.01,24,64,0.125,5.9668578822723255,6.447278775590162,-0.4804208933178358,1.0
A2_random,XM,0.01,36,76,0.18421052631578946,7.122437501302739,7.490260663857028,-0.3678231625542892,1.0
A2_random,XM,0.01,48,32,0.0625,6.9898502458320575,7.529433752199623,-0.5395835063675638,1.0
A2_random,XM,0.01,60,8,0.0,8.047139337898447,9.13642556005385,-1.0892862221554047,1.0
A2_random,XM,legacy,24,64,0.5,4.444268644082365,4.360460385796598,0.08380825828576724,0.0
A2_random,XM,legacy,36,76,0.7631578947368421,4.850247678821231,4.598288982086975,0.25195869673425725,0.0
A2_random,XM,legacy,48,32,0.78125,4.823544743956646,4.503773504506188,0.3197712394504571,0.0
A2_random,XM,legacy,60,8,1.0,4.892736265625883,4.5041788136893395,0.38855745193654356,0.0
C_random,TW,0.01,24,64,1.0,3.1476715769830212,2.37830974087548,0.7693618361075416,1.0
C_random,TW,0.01,36,76,1.0,3.8840417492693162,2.8328269529991936,1.0512147962701226,1.0
C_random,TW,0.01,48,32,1.0,3.4515293616740017,2.584845849904247,0.8666835117697548,1.0
C_random,TW,0.01,60,8,1.0,3.244853227118851,2.539118921514709,0.7057343056041419,1.0
