tree_id,level,cluster_id,market,n_members,top_F1,top_C_source,pct_v1,CAGR_median,MDD_median,n_cross_partners,n_high_complement,pct_high_complement,min_cross_corr,best_partner_cluster,universal
XM_normal,L3,136,TW,35,P_IC100%,EPS43%/ROE29%,0.0,0.2284126841223002,-0.4817175415921513,163,163,1.0,0.35421059751027634,192,True
XM_normal,L3,156,TW,20,OCF_E35%/PS20%,ROE55%/EPS45%,0.0,0.2193156848384584,-0.47352318833288115,163,163,1.0,0.2731963865250575,192,True
XM_normal,L3,12,TW,21,PS52%/EV_S48%,ROE48%/EPS33%,1.0,0.1954483058125193,-0.5758137910413139,163,163,1.0,0.23819182063926417,192,True
XM_normal,L3,13,TW,26,EV_S54%/PS46%,ROE42%/EPS35%,1.0,0.1898670917619461,-0.573978475105513,163,163,1.0,0.31992567770498587,192,True
XM_normal,L3,1,TW,34,P_IC65%/EV_S15%,ROE50%/EPS35%,1.0,0.18424494096589306,-0.6022305240632471,163,163,1.0,0.13583038448139725,306,True
XM_normal,L3,7,TW,28,P_IC93%/PB7%,ROE39%/EPS29%,1.0,0.18293844942509885,-0.5911298739599088,163,163,1.0,0.2858056287139199,306,True
XM_normal,L3,100,TW,23,OCF_E83%/P_IC17%,EPS57%/ROE43%,1.0,0.1711387647385494,-0.599988043450242,163,163,1.0,0.3655932444187982,435,True
XM_normal,L3,2,TW,22,EV_S50%/PS50%,ROE45%/EPS32%,1.0,0.1674171410399142,-0.6031870339724177,163,163,1.0,0.31444399829802333,192,True
XM_normal,L3,15,TW,22,EV_S32%/PB27%,ROE50%/EPS41%,1.0,0.15959632844171184,-0.6148508844980782,163,163,1.0,0.2752354052553531,192,True
XM_normal,L3,52,TW,25,P_IC52%/PB32%,ROE36%/EPS32%,1.0,0.1495770976139367,-0.6420175152157312,163,163,1.0,0.3563708798089637,192,True
XM_normal,L3,5,TW,21,PB90%/P_IC5%,FCF_P43%/ROE33%,1.0,0.1493898440864407,-0.5355315504226339,163,163,1.0,0.3372701862314675,386,True
XM_normal,L3,3,TW,22,PB50%/P_IC45%,EPS32%/FCF_P27%,1.0,0.13806155874913664,-0.616007279604406,163,163,1.0,0.2559715493898197,435,True
XM_normal,L3,56,TW,20,EV_S50%/PS50%,ROE60%/EPS40%,1.0,0.127115470053428,-0.5996933838433016,163,163,1.0,0.35754568328384184,435,True
XM_normal,L3,47,TW,29,MOM100%,ROE34%/EPS34%,1.0,0.142615989205977,-0.5714567723856643,163,161,0.9877300613496932,0.38441216452853594,435,False
XM_normal,L3,9,TW,21,P_IC57%/PB43%,FCF_P67%/EPS14%,1.0,0.1317357768337332,-0.5971424255967134,163,161,0.9877300613496932,0.378010394445906,386,False
XM_normal,L3,80,TW,37,P_IC73%/PB27%,FCF_P32%/EPS27%,1.0,0.1225151869250209,-0.6107881687792112,163,161,0.9877300613496932,0.36521870772539866,435,False
XM_normal,L3,99,TW,23,PS52%/EV_S48%,ROE39%/EPS35%,1.0,0.1552083718390109,-0.637463616840779,163,160,0.9815950920245399,0.3793593539930505,435,False
XM_normal,L3,153,TW,21,PS86%/P_IC14%,EPS67%/ROE33%,0.0,0.147707728853297,-0.6567838977779737,163,160,0.9815950920245399,0.2992845370796633,192,False
