year,n_companies,market
2000,581,TW
2001,665,TW
2002,792,TW
2003,884,TW
2004,969,TW
2005,1021,TW
2006,1055,TW
2007,1105,TW
2008,1133,TW
2009,1170,TW
2010,1214,TW
2011,1289,TW
2012,1344,TW
2013,1398,TW
2014,1444,TW
2015,1495,TW
2016,1550,TW
2017,1590,TW
2018,1651,TW
2019,1686,TW
2020,1716,TW
2021,1745,TW
2022,1775,TW
2023,1769,TW
2024,1746,TW
2025,1742,TW
2026,1773,TW
2000,1192,US
2001,1229,US
2002,1262,US
2003,1293,US
2004,1342,US
2005,1393,US
2006,1450,US
2007,1507,US
2008,1529,US
2009,1552,US
2010,1602,US
2011,1632,US
2012,1681,US
2013,1761,US
2014,1859,US
2015,1940,US
2016,2002,US
2017,2090,US
2018,2208,US
2019,2298,US
2020,2446,US
2021,2653,US
2022,2693,US
2023,2780,US
2024,2861,US
2025,2950,US
2026,2990,US
