opponent,metric,scheme,mode,min_is_months,oos_len_months,n_units,n_wins,win_rate,win_share_mean,win_share_std,n_cells,diff_mean,diff_median,diff_std,pct_positive,min_wins_for_sig,detectable_win_rate,p_value,significant_05,wins_short_of_sig,direction,verdict
B_all,cagr,A,anchored,72,24,18,16,0.8888888888888888,0.8583333333333333,0.27345824501138355,360,0.027882500100081063,0.022012559063991508,0.031326038837853766,0.8583333333333333,14.0,0.7777777777777778,0.001312255859375,True,0.0,A勝,顯著（A勝）
B_all,calmar,A,anchored,72,24,18,16,0.8888888888888888,0.8888888888888888,0.22397187031591817,360,0.3967610236994026,0.2069768652310351,0.7536689420845469,0.8888888888888888,14.0,0.7777777777777778,0.001312255859375,True,0.0,A勝,顯著（A勝）
B_all,mdd,A,anchored,72,24,18,16,0.8888888888888888,0.7916666666666666,0.2624824924133597,360,0.010648655241275954,0.006995513656171751,0.014767007887524311,0.7916666666666666,14.0,0.7777777777777778,0.001312255859375,True,0.0,A勝,顯著（A勝）
D_top_cagr,cagr,A,anchored,72,24,18,3,0.16666666666666666,0.21666666666666667,0.3434256491157704,360,-0.06652110589284563,-0.027773798440936526,0.1052937338564334,0.21666666666666667,14.0,0.7777777777777778,0.007537841796875,True,11.0,A敗,顯著（A敗）
D_top_cagr,calmar,A,anchored,72,24,18,7,0.3888888888888889,0.37222222222222223,0.3949021554996891,360,-0.44636906071086924,-0.11497983065474165,1.5320936129524187,0.37222222222222223,14.0,0.7777777777777778,0.480682373046875,False,7.0,A敗,效果不足
D_top_cagr,mdd,A,anchored,72,24,18,15,0.8333333333333334,0.8,0.28850527571891477,360,0.02228287140709255,0.013816803132566613,0.03058294533816218,0.8,14.0,0.7777777777777778,0.007537841796875,True,0.0,A勝,顯著（A勝）
E_top_calmar,cagr,A,anchored,72,24,18,3,0.16666666666666666,0.2,0.3110702587557238,360,-0.03896837148391936,-0.02387273814034685,0.058453632243294265,0.2,14.0,0.7777777777777778,0.007537841796875,True,11.0,A敗,顯著（A敗）
E_top_calmar,calmar,A,anchored,72,24,18,3,0.16666666666666666,0.23888888888888887,0.3305768378934525,360,-0.34034013198642454,-0.20361353913246605,0.81214523121217,0.2388888888888889,14.0,0.7777777777777778,0.007537841796875,True,11.0,A敗,顯著（A敗）
E_top_calmar,mdd,A,anchored,72,24,18,8,0.4444444444444444,0.46111111111111114,0.39910029535397995,360,0.0032204077568032934,-0.0013687926333705025,0.021085139696440124,0.46111111111111114,14.0,0.7777777777777778,0.8145294189453125,False,6.0,A敗,效果不足
B_all,cagr,B,anchored,72,36,12,12,1.0,0.9833333333333334,0.05773502691896257,240,0.030028395501553975,0.02474265035093065,0.02259422287377766,0.9833333333333333,10.0,0.8333333333333334,0.00048828125,True,0.0,A勝,顯著（A勝）
B_all,calmar,B,anchored,72,36,12,12,1.0,0.9958333333333332,0.01443375672974066,240,0.2587849705349171,0.2279801953036366,0.2108375484240854,0.9958333333333333,10.0,0.8333333333333334,0.00048828125,True,0.0,A勝,顯著（A勝）
B_all,mdd,B,anchored,72,36,12,10,0.8333333333333334,0.7666666666666666,0.33866941063073547,240,0.012629121303007007,0.008015962537177249,0.017917237203349937,0.7666666666666667,10.0,0.8333333333333334,0.03857421875,True,0.0,A勝,顯著（A勝）
D_top_cagr,cagr,B,anchored,72,36,12,1,0.08333333333333333,0.12083333333333333,0.2230555712794188,240,-0.06858729794650112,-0.043928137339115825,0.07399054223955225,0.12083333333333333,10.0,0.8333333333333334,0.00634765625,True,9.0,A敗,顯著（A敗）
D_top_cagr,calmar,B,anchored,72,36,12,3,0.25,0.29583333333333334,0.385214422776655,240,-0.15751767151391027,-0.11026699730499101,0.3373404505207893,0.29583333333333334,10.0,0.8333333333333334,0.14599609375,False,7.0,A敗,效果不足
D_top_cagr,mdd,B,anchored,72,36,12,11,0.9166666666666666,0.8666666666666667,0.18257418583505536,240,0.01943031937009367,0.014335845871048095,0.02569587552535216,0.8666666666666667,10.0,0.8333333333333334,0.00634765625,True,0.0,A勝,顯著（A勝）
E_top_calmar,cagr,B,anchored,72,36,12,2,0.16666666666666666,0.10000000000000002,0.2345207879911715,240,-0.04092208430812046,-0.03125798333910107,0.043005884152167835,0.1,10.0,0.8333333333333334,0.03857421875,True,8.0,A敗,顯著（A敗）
E_top_calmar,calmar,B,anchored,72,36,12,2,0.16666666666666666,0.15833333333333335,0.23820668387437047,240,-0.21423086818517625,-0.18095782904099844,0.25387185640086174,0.15833333333333333,10.0,0.8333333333333334,0.03857421875,True,8.0,A敗,顯著（A敗）
E_top_calmar,mdd,B,anchored,72,36,12,5,0.4166666666666667,0.4666666666666666,0.37739136506316945,240,5.002628212075801e-05,-0.0014195427700929852,0.02017395880802473,0.4666666666666667,10.0,0.8333333333333334,0.7744140625,False,5.0,A敗,效果不足
B_all,cagr,C,anchored,72,48,9,9,1.0,0.9833333333333333,0.05000000000000002,180,0.030597496145096957,0.023197755624309896,0.02975453514779337,0.9833333333333333,8.0,0.8888888888888888,0.00390625,True,0.0,A勝,顯著（A勝）
B_all,calmar,C,anchored,72,48,9,9,1.0,0.9888888888888889,0.03333333333333334,180,0.21862801006500504,0.18594114431875863,0.16379979804577713,0.9888888888888889,8.0,0.8888888888888888,0.00390625,True,0.0,A勝,顯著（A勝）
B_all,mdd,C,anchored,72,48,9,8,0.8888888888888888,0.8166666666666667,0.31819805153394637,180,0.011848273842655228,0.009650110021322295,0.015377126874820542,0.8166666666666667,8.0,0.8888888888888888,0.0390625,True,0.0,A勝,顯著（A勝）
D_top_cagr,cagr,C,anchored,72,48,9,0,0.0,0.05555555555555555,0.11303883305208781,180,-0.05915875980010015,-0.04259294810703956,0.05449662234717626,0.05555555555555555,8.0,0.8888888888888888,0.00390625,True,8.0,A敗,顯著（A敗）
D_top_cagr,calmar,C,anchored,72,48,9,3,0.3333333333333333,0.40555555555555556,0.3940530139178963,180,-0.056689694351365734,-0.04916803484968968,0.30147219455652674,0.40555555555555556,8.0,0.8888888888888888,0.5078125,False,5.0,A敗,效果不足
D_top_cagr,mdd,C,anchored,72,48,9,9,1.0,0.8944444444444445,0.16666666666666666,180,0.029429711628739925,0.02043420197923007,0.03348796427859186,0.8944444444444445,8.0,0.8888888888888888,0.00390625,True,0.0,A勝,顯著（A勝）
E_top_calmar,cagr,C,anchored,72,48,9,0,0.0,0.08333333333333333,0.1695582495781317,180,-0.03822652096179551,-0.028491895631445663,0.03772574963816505,0.08333333333333333,8.0,0.8888888888888888,0.00390625,True,8.0,A敗,顯著（A敗）
E_top_calmar,calmar,C,anchored,72,48,9,2,0.2222222222222222,0.25,0.3363406011768428,180,-0.10365909173804842,-0.10426324645684137,0.2328233358704001,0.25,8.0,0.8888888888888888,0.1796875,False,6.0,A敗,效果不足
E_top_calmar,mdd,C,anchored,72,48,9,5,0.5555555555555556,0.6000000000000001,0.3864906208435077,180,0.007186907956173053,0.0036987741062046026,0.02410224796390471,0.6,8.0,0.8888888888888888,1.0,False,3.0,A勝,效果不足
B_all,cagr,D,anchored,96,24,15,13,0.8666666666666667,0.85,0.29640705601780615,300,0.029176175812259224,0.02224342186907785,0.033180315061222314,0.85,12.0,0.8,0.00738525390625,True,0.0,A勝,顯著（A勝）
B_all,calmar,D,anchored,96,24,15,13,0.8666666666666667,0.89,0.23919507878358562,300,0.24212689451010447,0.18162383557250011,0.28024667005333853,0.89,12.0,0.8,0.00738525390625,True,0.0,A勝,顯著（A勝）
B_all,mdd,D,anchored,96,24,15,13,0.8666666666666667,0.8066666666666666,0.27115274205474954,300,0.012262614286502759,0.008961357009267402,0.0155857086673569,0.8066666666666666,12.0,0.8,0.00738525390625,True,0.0,A勝,顯著（A勝）
D_top_cagr,cagr,D,anchored,96,24,15,2,0.13333333333333333,0.18666666666666665,0.3425047792506315,300,-0.07522599282502447,-0.03203372062208279,0.11220262246722668,0.18666666666666668,12.0,0.8,0.00738525390625,True,10.0,A敗,顯著（A敗）
D_top_cagr,calmar,D,anchored,96,24,15,5,0.3333333333333333,0.3466666666666667,0.39617216074881,300,-0.21269277459889582,-0.13292061015866247,0.5116993491265375,0.3466666666666667,12.0,0.8,0.30175781249999994,False,7.0,A敗,效果不足
D_top_cagr,mdd,D,anchored,96,24,15,13,0.8666666666666667,0.84,0.2522753597616247,300,0.02681433138070893,0.019837551835952066,0.03151551488490899,0.84,12.0,0.8,0.00738525390625,True,0.0,A勝,顯著（A勝）
E_top_calmar,cagr,D,anchored,96,24,15,2,0.13333333333333333,0.16333333333333336,0.29908590898332366,300,-0.045141699809169614,-0.02852262479941281,0.06134707422303232,0.16333333333333333,12.0,0.8,0.00738525390625,True,10.0,A敗,顯著（A敗）
E_top_calmar,calmar,D,anchored,96,24,15,3,0.2,0.24000000000000002,0.36213651727333046,300,-0.23520072457961447,-0.20361353913246605,0.37790691700888207,0.24,12.0,0.8,0.03515625,True,9.0,A敗,顯著（A敗）
