tree_key,scheme,window_no,quality_metric,mode,min_is_months,oos_len_months,is_start,is_end,oos_start,oos_end,n_is_months,n_oos_months,n_universe,n_pairs,spearman,spearman_p,pearson,oos_pct_top01,oos_pct_top03,oos_pct_top05,oos_pct_top10
TW,A,1,calmar,anchored,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,6679,0.13407640129523957,3.611806908130686e-28,0.09305948057904605,0.49921004350906045,0.5026560862404551,0.5034436292858212,0.5152764541287241
TW,A,1,cagr,anchored,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,6679,0.04779948281501647,9.309319013169164e-05,0.020885467482020043,0.43161792474966093,0.4362741428357539,0.45058199217674844,0.4816206036795999
TW,A,2,calmar,anchored,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,6679,0.3506166404988707,1.823262068235281e-192,0.24420868037907761,0.5843331627533839,0.6421357987722712,0.6484257118343042,0.6440005899265998
TW,A,2,cagr,anchored,72,24,2007-01,2014-12,2015-01,2016-12,96,24,6679,6679,0.39195963587897603,3.5639365959031994e-244,0.34348380581814003,0.6136587611426324,0.6181628986375205,0.6383010293232968,0.6479680256196695
TW,A,3,calmar,anchored,72,24,2007-01,2016-12,2017-01,2018-12,120,24,6679,6679,0.43670327407249127,3.59256723744085e-309,0.4053617269766207,0.7818803869557734,0.7299782901631979,0.7218522977999683,0.6985874037222755
TW,A,3,cagr,anchored,72,24,2007-01,2016-12,2017-01,2018-12,120,24,6679,6679,0.4278875941203175,1.430667125174397e-295,0.38288170642265074,0.7688075567662511,0.7098525228327595,0.7020269985556661,0.6810521045048695
TW,A,4,calmar,anchored,72,24,2007-01,2018-12,2019-01,2020-12,144,24,6679,6679,0.2445058086525273,1.6680055514013288e-91,0.15511867831460854,0.6172677561436716,0.6027489145081598,0.5765008387178331,0.5690882047852192
TW,A,4,cagr,anchored,72,24,2007-01,2018-12,2019-01,2020-12,144,24,6679,6679,0.391866498186451,4.754321783732539e-244,0.3946737347886567,0.7637192090155599,0.7223716125168438,0.6943498838525971,0.6734534374879526
TW,A,5,calmar,anchored,72,24,2007-01,2020-12,2021-01,2022-12,168,24,6679,6679,0.4095074735156201,1.7290176887887337e-268,0.40433421479262394,0.7873486289171003,0.7254289564306033,0.6884340317717612,0.668825024004992
TW,A,5,cagr,anchored,72,24,2007-01,2020-12,2021-01,2022-12,168,24,6679,6679,0.4239803341963501,1.1350873213968377e-289,0.42182183640971477,0.760867767763965,0.6779974547087888,0.6809622258701641,0.6834106902230873
