tree_key,metric,ratio,n_cells,residual_wins,diff_mean,diff_median,se_binomial_nominal,evidence_type
TW,oos_cagr,ALL,900,0.6377777777777778,0.002194718704024966,0.002213417025292097,0.016666666666666666,confirmatory
US,oos_cagr,ALL,900,0.5855555555555556,0.0022999472501180184,0.0026787595402766873,0.016666666666666666,confirmatory
XM,oos_cagr,ALL,900,0.6833333333333333,0.02057970617642467,0.016435249491562276,0.016666666666666666,confirmatory
TW,oos_cagr,0.01,180,0.6944444444444444,0.002561115198784335,0.002176383448522487,0.037267799624996496,exploratory
US,oos_cagr,0.01,180,0.6,0.0017771106042656331,0.004476583033583836,0.037267799624996496,exploratory
XM,oos_cagr,0.01,180,0.5944444444444444,0.014037971871686178,0.008601926461509285,0.037267799624996496,exploratory
TW,oos_cagr,0.03,180,0.5444444444444444,0.00033865253691081306,0.0006302636204123385,0.037267799624996496,exploratory
US,oos_cagr,0.03,180,0.6666666666666666,0.0037630352315579764,0.005877518031237192,0.037267799624996496,exploratory
XM,oos_cagr,0.03,180,0.8277777777777777,0.04018875984901374,0.044112119815019765,0.037267799624996496,exploratory
TW,oos_cagr,0.05,180,0.6,0.0007980102761253236,0.00193030632112845,0.037267799624996496,exploratory
US,oos_cagr,0.05,180,0.5944444444444444,0.0003254446823600065,0.001234071845295781,0.037267799624996496,exploratory
XM,oos_cagr,0.05,180,0.7611111111111111,0.029636237639968237,0.024681282824784045,0.037267799624996496,exploratory
TW,oos_cagr,0.1,180,0.7611111111111111,0.004455678090070336,0.004019716722446748,0.037267799624996496,exploratory
US,oos_cagr,0.1,180,0.5611111111111111,0.0019973026935543414,0.0015457414754616594,0.037267799624996496,exploratory
XM,oos_cagr,0.1,180,0.6277777777777778,0.01390156032348801,0.01219979184188888,0.037267799624996496,exploratory
TW,oos_cagr,legacy,180,0.5888888888888889,0.002820137418234021,0.0030225893135582688,0.037267799624996496,exploratory
US,oos_cagr,legacy,180,0.5055555555555555,0.003636843038852133,0.0009175725045355715,0.037267799624996496,exploratory
XM,oos_cagr,legacy,180,0.6055555555555555,0.0051340011979671835,0.011042439274993515,0.037267799624996496,exploratory
TW,oos_mdd,ALL,900,0.5988888888888889,0.0010397324471682187,0.0008572934231670035,0.016666666666666666,confirmatory
US,oos_mdd,ALL,900,0.5122222222222222,-0.001148113332943136,0.000379224778634224,0.016666666666666666,confirmatory
XM,oos_mdd,ALL,900,0.20555555555555555,-0.013682837347443848,-0.012732863276544465,0.016666666666666666,confirmatory
TW,oos_mdd,0.01,180,0.7222222222222222,0.0023940454616691743,0.0031800756876878833,0.037267799624996496,exploratory
US,oos_mdd,0.01,180,0.45555555555555555,-0.0037604583327191933,-0.0015099422648219007,0.037267799624996496,exploratory
XM,oos_mdd,0.01,180,0.08888888888888889,-0.015855590443742178,-0.016346166301932225,0.037267799624996496,exploratory
TW,oos_mdd,0.03,180,0.4666666666666667,0.00033967071510615743,-0.0003674179604472583,0.037267799624996496,exploratory
US,oos_mdd,0.03,180,0.55,0.0013169193413202316,0.0009652113739153784,0.037267799624996496,exploratory
XM,oos_mdd,0.03,180,0.2722222222222222,-0.008696149387380673,-0.0065407133350588315,0.037267799624996496,exploratory
TW,oos_mdd,0.05,180,0.5611111111111111,9.626090382520529e-05,0.00015089077183919053,0.037267799624996496,exploratory
US,oos_mdd,0.05,180,0.5333333333333333,-0.0007632463885555551,0.0007102830172932562,0.037267799624996496,exploratory
XM,oos_mdd,0.05,180,0.2722222222222222,-0.011443540184359394,-0.008690233866225444,0.037267799624996496,exploratory
TW,oos_mdd,0.1,180,0.5777777777777777,0.00011865814250221053,0.0003902799091935749,0.037267799624996496,exploratory
US,oos_mdd,0.1,180,0.45,-0.002464590278224301,-0.0006759250105792328,0.037267799624996496,exploratory
XM,oos_mdd,0.1,180,0.17222222222222222,-0.014062039287784595,-0.015753007653149756,0.037267799624996496,exploratory
TW,oos_mdd,legacy,180,0.6666666666666666,0.0022500270127383468,0.003064200613849613,0.037267799624996496,exploratory
US,oos_mdd,legacy,180,0.5722222222222222,-6.91910065368609e-05,0.0020601707345487275,0.037267799624996496,exploratory
XM,oos_mdd,legacy,180,0.2222222222222222,-0.018356867433952394,-0.021109975995299776,0.037267799624996496,exploratory
TW,oos_sharpe,ALL,900,0.6266666666666667,0.013283659193479673,0.01223911329590277,0.016666666666666666,confirmatory
US,oos_sharpe,ALL,900,0.5566666666666666,-8.44399637901742e-05,0.010346130908847728,0.016666666666666666,confirmatory
XM,oos_sharpe,ALL,900,0.4288888888888889,-0.03901732736429531,-0.023378639843778193,0.016666666666666666,confirmatory
TW,oos_sharpe,0.01,180,0.7,0.020271995377710513,0.0265542814667189,0.037267799624996496,exploratory
US,oos_sharpe,0.01,180,0.5388888888888889,-0.009693488092149085,0.011611100863224533,0.037267799624996496,exploratory
XM,oos_sharpe,0.01,180,0.2388888888888889,-0.08200996923605784,-0.06906101146215271,0.037267799624996496,exploratory
TW,oos_sharpe,0.03,180,0.5722222222222222,0.00040920322680703113,0.0033160645351903995,0.037267799624996496,exploratory
US,oos_sharpe,0.03,180,0.6444444444444445,0.008083930938538004,0.016076678467787486,0.037267799624996496,exploratory
XM,oos_sharpe,0.03,180,0.6722222222222223,0.057293744999611484,0.08315064132164057,0.037267799624996496,exploratory
TW,oos_sharpe,0.05,180,0.4666666666666667,0.0046520979303956425,-0.004301401294993457,0.037267799624996496,exploratory
US,oos_sharpe,0.05,180,0.5444444444444444,-0.006593793509649264,0.007707895174384971,0.037267799624996496,exploratory
XM,oos_sharpe,0.05,180,0.6666666666666666,0.014605160723449586,0.04575988230743433,0.037267799624996496,exploratory
TW,oos_sharpe,0.1,180,0.7611111111111111,0.021289614413316935,0.021742929985146986,0.037267799624996496,exploratory
US,oos_sharpe,0.1,180,0.4222222222222222,-0.005820595914825139,-0.0022479513473040447,0.037267799624996496,exploratory
XM,oos_sharpe,0.1,180,0.36666666666666664,-0.046715121974196624,-0.02257312658198296,0.037267799624996496,exploratory
TW,oos_sharpe,legacy,180,0.6333333333333333,0.019795385019168242,0.019096457273948486,0.037267799624996496,exploratory
US,oos_sharpe,legacy,180,0.6333333333333333,0.013601746759134625,0.020754560070759487,0.037267799624996496,exploratory
XM,oos_sharpe,legacy,180,0.2,-0.1382604513342831,-0.13808319300421723,0.037267799624996496,exploratory
TW,oos_enb,ALL,720,0.5833333333333334,0.048945968645467915,0.06187244805135128,0.018633899812498248,confirmatory
US,oos_enb,ALL,540,0.45185185185185184,-0.003608843583129031,-0.01768817695278324,0.02151657414559676,confirmatory
XM,oos_enb,ALL,360,0.3277777777777778,-0.27075011019787354,-0.18057813844427706,0.026352313834736494,confirmatory
TW,oos_enb,0.01,180,0.5833333333333334,0.036489348421288065,0.09516138000977836,0.037267799624996496,exploratory
US,oos_enb,0.01,180,0.4666666666666667,-0.044531748384528946,-0.013347132332902412,0.037267799624996496,exploratory
XM,oos_enb,0.01,180,0.13333333333333333,-0.5279644895692874,-0.33018245304987204,0.037267799624996496,exploratory
TW,oos_enb,0.03,180,0.6277777777777778,0.09534600613646267,0.09579376923228788,0.037267799624996496,exploratory
US,oos_enb,0.03,180,0.35,-0.08320130118773612,-0.06923415348221074,0.037267799624996496,exploratory
TW,oos_enb,0.05,180,0.6166666666666667,0.07142681323627106,0.07169310666223838,0.037267799624996496,exploratory
TW,oos_enb,legacy,180,0.5055555555555555,-0.007478293212150103,0.009529027917168698,0.037267799624996496,exploratory
US,oos_enb,legacy,180,0.5388888888888889,0.11690651882287798,0.05538175755649766,0.037267799624996496,exploratory
XM,oos_enb,legacy,180,0.5222222222222223,-0.013535730826459678,0.02648965938869985,0.037267799624996496,exploratory
