tree_key,scheme,window_no,ratio,allocation,group,threshold_mode,is_start,is_end,oos_start,oos_end,n_clusters,target_total,n_members,n_draws,n_backfilled_mean,threshold_global,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std
TW,E,1,legacy,equal,A_hrp,group_relative,2007-01,2014-12,2015-01,2017-12,6,30,30,1,1.0,0.8295679692735834,0.1796400360378807,,-0.15416931036853432,,1.6432482752480682,,4.4098507363539,
TW,E,1,legacy,equal,A2_random,group_relative,2007-01,2014-12,2015-01,2017-12,6,30,30,30,0.0,0.8295679692735834,0.16568978029255868,0.00857247913890349,-0.16340786330042462,0.006390305772251306,1.536259669655838,0.06839072261228223,4.158160582790883,0.2575580471089692
TW,E,1,legacy,equal,A_hrp,global,2007-01,2014-12,2015-01,2017-12,6,30,30,1,2.0,0.8295679692735834,0.17958655263345458,,-0.1587529285209176,,1.6106664401196635,,4.480821594211002,
TW,E,1,legacy,equal,A2_random,global,2007-01,2014-12,2015-01,2017-12,6,30,30,30,0.0,0.8295679692735834,0.16546095442322803,0.008994950955604635,-0.16379463072041903,0.005978255540269126,1.5318184398861479,0.07031949655290558,4.164193414493633,0.2481934658697994
TW,E,1,legacy,proportional,A_hrp,group_relative,2007-01,2014-12,2015-01,2017-12,6,30,30,1,0.0,0.8295679692735834,0.16447151068864496,,-0.15082674036541366,,1.571543674628269,,4.5677812463491,
TW,E,1,legacy,proportional,A2_random,group_relative,2007-01,2014-12,2015-01,2017-12,6,30,30,30,0.0,0.8295679692735834,0.17619365992512886,0.005633199641990274,-0.15992073022040235,0.004680757080542231,1.571834983730475,0.037026539630493786,4.435933712908047,0.19139338228999353
TW,E,1,legacy,proportional,A_hrp,global,2007-01,2014-12,2015-01,2017-12,6,30,30,1,0.0,0.8295679692735834,0.14999716822677023,,-0.15416496976539817,,1.412581799538159,,5.112843655299688,
TW,E,1,legacy,proportional,A2_random,global,2007-01,2014-12,2015-01,2017-12,6,30,30,30,0.0,0.8295679692735834,0.17616537887700737,0.005295791055928919,-0.1596138658317683,0.0049005850061446905,1.5719950900227089,0.03699471526040369,4.431984539396378,0.19086894239352967
TW,E,1,0.03,equal,A_hrp,group_relative,2007-01,2014-12,2015-01,2017-12,6,200,200,1,68.0,0.8295679692735834,0.16166748628647176,,-0.16664529351613588,,1.4411094958830073,,5.235762174617384,
TW,E,1,0.03,equal,A2_random,group_relative,2007-01,2014-12,2015-01,2017-12,6,200,200,30,19.033333333333335,0.8295679692735834,0.15857097642664783,0.0036979333064214893,-0.1632102497153398,0.002191094860620178,1.4167620065742261,0.029317771069173357,5.772665295967817,0.11456448036090243
TW,E,1,0.03,equal,A_hrp,global,2007-01,2014-12,2015-01,2017-12,6,200,200,1,62.0,0.8295679692735834,0.15623028002008899,,-0.16605740312436879,,1.3876353002686947,,5.921095629325875,
TW,E,1,0.03,equal,A2_random,global,2007-01,2014-12,2015-01,2017-12,6,200,200,30,17.933333333333334,0.8295679692735834,0.15832846296314657,0.0032547682361500586,-0.16311071337760585,0.0024505438833854645,1.4153521510181928,0.026648568964116152,5.793063674567589,0.14303178073298345
TW,E,1,0.03,proportional,A_hrp,group_relative,2007-01,2014-12,2015-01,2017-12,6,200,200,1,0.0,0.8295679692735834,0.1445023075166718,,-0.16794038524868726,,1.3290428831069965,,5.790552478751106,
TW,E,1,0.03,proportional,A2_random,group_relative,2007-01,2014-12,2015-01,2017-12,6,200,200,30,0.0,0.8295679692735834,0.15841516885642545,0.0033782207603252987,-0.16312545717513666,0.0022107101050107057,1.4128134603673528,0.028040275497228873,5.998925012411141,0.13273992553444666
TW,E,1,0.03,proportional,A_hrp,global,2007-01,2014-12,2015-01,2017-12,6,200,200,1,54.0,0.8295679692735834,0.14830581775010288,,-0.16015444665231315,,1.398361667425766,,5.728226891628121,
TW,E,1,0.03,proportional,A2_random,global,2007-01,2014-12,2015-01,2017-12,6,200,200,30,0.0,0.8295679692735834,0.15799550588565722,0.0033137292097382585,-0.1628737206591272,0.0020873402953648953,1.41149644627799,0.027877271167809487,6.014453258088233,0.12865791704448368
TW,E,2,legacy,equal,A_hrp,group_relative,2007-01,2017-12,2018-01,2020-12,6,30,30,1,1.0,0.8226676299296956,0.22127141614115553,,-0.1806682419549257,,1.2560691392677616,,2.753613231273912,
TW,E,2,legacy,equal,A2_random,group_relative,2007-01,2017-12,2018-01,2020-12,6,30,30,30,0.0,0.8226676299296956,0.21652680627199394,0.00568719645409279,-0.18471701567683668,0.004669967596664118,1.2336819985851752,0.027437200034963815,2.333298055619653,0.09888284360798136
TW,E,2,legacy,equal,A_hrp,global,2007-01,2017-12,2018-01,2020-12,6,30,30,1,3.0,0.8226676299296956,0.2212787507685292,,-0.18877378363889008,,1.252801361925133,,2.572412858976794,
TW,E,2,legacy,equal,A2_random,global,2007-01,2017-12,2018-01,2020-12,6,30,30,30,0.0,0.8226676299296956,0.21624428590914846,0.006244973369392078,-0.18417878745882807,0.004439478273371382,1.2332125487165415,0.027192494561559033,2.342861222465145,0.09745723493524018
TW,E,2,legacy,proportional,A_hrp,group_relative,2007-01,2017-12,2018-01,2020-12,6,30,30,1,0.0,0.8226676299296956,0.2131052605029793,,-0.1904275273586542,,1.1979642228911804,,2.479549257118645,
TW,E,2,legacy,proportional,A2_random,group_relative,2007-01,2017-12,2018-01,2020-12,6,30,30,30,0.0,0.8226676299296956,0.21774633597224632,0.005909895874343691,-0.18226424334138028,0.004120313570875212,1.243038827602177,0.02918384444142359,2.50447198500816,0.08741449250684019
TW,E,2,legacy,proportional,A_hrp,global,2007-01,2017-12,2018-01,2020-12,6,30,30,1,0.0,0.8226676299296956,0.22730115477269108,,-0.18747724369905294,,1.2508507949476906,,2.805028763310064,
TW,E,2,legacy,proportional,A2_random,global,2007-01,2017-12,2018-01,2020-12,6,30,30,30,0.0,0.8226676299296956,0.21815729258460612,0.006235845920362943,-0.18270853376683796,0.0043861668411196665,1.244453250975973,0.03159965970774606,2.5011054415616942,0.08506683257718992
TW,E,2,0.03,equal,A_hrp,group_relative,2007-01,2017-12,2018-01,2020-12,6,200,200,1,66.0,0.8226676299296956,0.20790013963330978,,-0.19104352359679755,,1.162408675424322,,2.7686332221800463,
TW,E,2,0.03,equal,A2_random,group_relative,2007-01,2017-12,2018-01,2020-12,6,200,200,30,17.266666666666666,0.8226676299296956,0.20010716773850384,0.0030059409688607667,-0.18869089827180346,0.0025046837772861566,1.1415332142625745,0.015862362137615226,2.985229439650797,0.06081028811998704
TW,E,2,0.03,equal,A_hrp,global,2007-01,2017-12,2018-01,2020-12,6,200,200,1,54.0,0.8226676299296956,0.20540834945999875,,-0.1888651991878555,,1.1683361377474788,,3.1836652015699896,
TW,E,2,0.03,equal,A2_random,global,2007-01,2017-12,2018-01,2020-12,6,200,200,30,16.1,0.8226676299296956,0.20049600791773567,0.002808326030103688,-0.18893469877018754,0.0024645629546944216,1.142880723713484,0.01390477512608635,2.9917879153491787,0.06510025858921915
TW,E,2,0.03,proportional,A_hrp,group_relative,2007-01,2017-12,2018-01,2020-12,6,200,200,1,0.0,0.8226676299296956,0.19731081556996988,,-0.18858262747912957,,1.1331432313123118,,2.925606950257616,
TW,E,2,0.03,proportional,A2_random,group_relative,2007-01,2017-12,2018-01,2020-12,6,200,200,30,0.0,0.8226676299296956,0.20294978732430505,0.0016116099029803732,-0.18575569707758105,0.0025437126410710197,1.1591275361482265,0.010456452182642156,3.0746804438759057,0.04130762294801159
TW,E,2,0.03,proportional,A_hrp,global,2007-01,2017-12,2018-01,2020-12,6,200,200,1,39.0,0.8226676299296956,0.19982636465562975,,-0.1994133374064252,,1.1281265465545303,,3.1306345324377225,
TW,E,2,0.03,proportional,A2_random,global,2007-01,2017-12,2018-01,2020-12,6,200,200,30,0.0,0.8226676299296956,0.20329196739956276,0.0014300450925478895,-0.1856726722907793,0.0022713089084463343,1.1606189535626732,0.009621074295463165,3.076049763513029,0.04452620582627677
TW,E,3,legacy,equal,A_hrp,group_relative,2007-01,2020-12,2021-01,2023-12,6,30,30,1,1.0,0.8250128103106961,0.26386271843744336,,-0.13929439403761212,,1.3410171677796683,,2.402217044827086,
TW,E,3,legacy,equal,A2_random,group_relative,2007-01,2020-12,2021-01,2023-12,6,30,30,30,0.0,0.8250128103106961,0.28186303195758333,0.010432436207716882,-0.13440490139998354,0.003861699003509406,1.4214637310308824,0.048631163739976425,2.299948938227074,0.12190908390428135
TW,E,3,legacy,equal,A_hrp,global,2007-01,2020-12,2021-01,2023-12,6,30,30,1,2.0,0.8250128103106961,0.2776072115025341,,-0.14115287246140829,,1.3557851859639372,,2.443292421486975,
TW,E,3,legacy,equal,A2_random,global,2007-01,2020-12,2021-01,2023-12,6,30,30,30,0.0,0.8250128103106961,0.28152359196885507,0.011447478526594784,-0.13441977415218892,0.0036632758293215478,1.4182398837377548,0.049144255553381096,2.285015761433014,0.11878282876756702
TW,E,3,legacy,proportional,A_hrp,group_relative,2007-01,2020-12,2021-01,2023-12,6,30,30,1,0.0,0.8250128103106961,0.28517395243943766,,-0.14365442629448244,,1.3867904305652106,,2.411548263802054,
TW,E,3,legacy,proportional,A2_random,group_relative,2007-01,2020-12,2021-01,2023-12,6,30,30,30,0.0,0.8250128103106961,0.2902437721528891,0.006819925345430559,-0.1381469246349377,0.002915002758782786,1.4319094090961646,0.02825229812461711,2.3535463657590805,0.0626488920531357
TW,E,3,legacy,proportional,A_hrp,global,2007-01,2020-12,2021-01,2023-12,6,30,30,1,0.0,0.8250128103106961,0.2928363743508775,,-0.14483599904329214,,1.4035186555143855,,2.525790064860757,
TW,E,3,legacy,proportional,A2_random,global,2007-01,2020-12,2021-01,2023-12,6,30,30,30,0.0,0.8250128103106961,0.2909429246164567,0.006675391659274898,-0.1383301598861683,0.0030056121811828556,1.433872546334259,0.026747768379384453,2.3512445812091918,0.06213502897101118
TW,E,3,0.03,equal,A_hrp,group_relative,2007-01,2020-12,2021-01,2023-12,6,200,200,1,67.0,0.8250128103106961,0.2553828177366839,,-0.1363900539456887,,1.321811626528241,,2.862496265214328,
TW,E,3,0.03,equal,A2_random,group_relative,2007-01,2020-12,2021-01,2023-12,6,200,200,30,15.9,0.8250128103106961,0.25440070343721716,0.003958223909060962,-0.1350599378310326,0.0015371946518969806,1.3316517814727513,0.01648429005480707,2.972506574170458,0.06614937788680207
TW,E,3,0.03,equal,A_hrp,global,2007-01,2020-12,2021-01,2023-12,6,200,200,1,55.0,0.8250128103106961,0.2477298773481993,,-0.135622891202967,,1.304095973286782,,2.947307843241805,
TW,E,3,0.03,equal,A2_random,global,2007-01,2020-12,2021-01,2023-12,6,200,200,30,15.366666666666667,0.8250128103106961,0.25449503842352034,0.004020916506790055,-0.13524035190205017,0.0015677109674800893,1.3327201814657985,0.017836481315595214,2.9859415015969017,0.06281883430233136
TW,E,3,0.03,proportional,A_hrp,group_relative,2007-01,2020-12,2021-01,2023-12,6,200,200,1,0.0,0.8250128103106961,0.25157677643663545,,-0.13488239199417773,,1.3117636203680325,,3.0312742680457405,
