tree_key,ratio,allocation,n_strategies,n_stocks_avg,monthly_turnover,annual_turnover,gross_cagr,net_cagr_5bp,net_cagr_10bp,net_cagr_20bp,net_cagr_30bp
TW,legacy,equal,30,355.95087719298243,0.22158673633843393,2.659040836061207,0.23995989220437508,0.2373008513683139,0.23464181053225266,0.22932372886013025,0.22400564718800783
TW,legacy,proportional,30,352.6,0.22242724468053537,2.6691269361664247,0.22445767802827632,0.2217885510921099,0.21911942415594346,0.21378117028361063,0.20844291641127777
TW,0.01,equal,67,479.5754385964912,0.21461181831317389,2.5753418197580866,0.228877232843826,0.22630189102406792,0.22372654920430982,0.21857586556479364,0.21342518192527749
TW,0.01,proportional,67,436.3228070175439,0.22064977709410877,2.6477973251293054,0.21444020452172574,0.21179240719659645,0.20914460987146713,0.20384901522120852,0.1985534205709499
TW,0.03,equal,200,602.6195286195286,0.20378733601888888,2.4454480322266665,0.22099223781614885,0.2185467897839222,0.2161013417516955,0.21121044568724218,0.20631954962278884
TW,0.03,proportional,200,672.1087719298246,0.2159887743941628,2.5918652927299535,0.19086595817137342,0.18827409287864347,0.18568222758591352,0.18049849700045362,0.1753147664149937
TW,0.05,equal,334,727.3164983164983,0.20280241047279082,2.43362892567349,0.20882966727433083,0.20639603834865733,0.20396240942298385,0.19909515157163687,0.1942278937202899
TW,0.05,proportional,334,833.1414141414141,0.20238785149647567,2.428654217957708,0.18094124940985257,0.17851259519189486,0.17608394097393715,0.17122663253802173,0.1663693241021063
TW,0.1,equal,668,921.7508417508418,0.20723403031985027,2.486808363838203,0.19500841637485022,0.192521608011012,0.19003479964717382,0.1850611829194974,0.180087566191821
TW,0.1,proportional,668,946.2626262626262,0.19651172681913823,2.358140721829659,0.17894015969312815,0.1765820189712985,0.17422387824946883,0.1695075968058095,0.1647913153621502
US,legacy,equal,35,449.0809061488673,0.3077795451889617,3.6933545422675405,0.380033853285874,0.3763404987436065,0.37264714420133893,0.36526043511680384,0.3578737260322688
US,legacy,proportional,35,486.5064102564103,0.3038741974485221,3.6464903693822652,0.35891566076717396,0.3552691703977917,0.3516226800284094,0.3443296992896449,0.33703671855088035
US,0.01,equal,84,663.1314102564103,0.30730729754883856,3.687687570586063,0.33483423068330476,0.3311465431127187,0.3274588555421326,0.3200834804009605,0.31270810525978837
US,0.01,proportional,84,684.6410256410256,0.318445009495944,3.821340113951328,0.3228684333479448,0.31904709323399344,0.31522575312004214,0.3075830728921395,0.29994039266423683
US,0.03,equal,251,954.8653846153846,0.29944516834309154,3.5933420201170985,0.3074951699028592,0.3039018278827421,0.300308485862625,0.2931218018223908,0.2859351177821566
US,0.03,proportional,251,1040.5384615384614,0.3120299899040968,3.7443598788491617,0.27912084383457536,0.2753764839557262,0.27163212407687704,0.2641434043191787,0.2566546845614804
US,0.05,equal,418,1139.1602564102564,0.2942343630965279,3.530812357158335,0.291934864116868,0.2884040517597096,0.2848732394025513,0.2778116146882346,0.27074998997391797
US,0.05,proportional,418,1146.820512820513,0.30866490774264754,3.7039788929117705,0.25882623039950037,0.25512225150658857,0.25141827261367683,0.2440103148278533,0.23660235704202975
US,0.1,equal,836,1322.1923076923076,0.27406753582149745,3.2888104298579695,0.28522890480241925,0.2819400943725613,0.27865128394270333,0.27207366308298736,0.26549604222327144
US,0.1,proportional,836,1448.0641025641025,0.2670199386882433,3.20423926425892,0.2736541765782974,0.27044993731403844,0.26724569804977955,0.2608372195212617,0.2544287409927439
XM,legacy,equal,15,250.78896103896105,0.2463898135669449,2.9566777628033387,0.38539962036635633,0.382442942603553,0.37948626484074965,0.373572909315143,0.3676595537895363
XM,legacy,proportional,15,242.92532467532467,0.2410951678073093,2.8931420136877115,0.36230956045960694,0.3594164184459192,0.35652327643223153,0.3507369924048561,0.34495070837748065
XM,0.01,equal,150,879.9483870967742,0.2658183753349302,3.1898205040191625,0.27605576277818633,0.27286594227416716,0.269676121770148,0.26329648076210965,0.25691683975407137
XM,0.01,proportional,150,928.0769230769231,0.2482384660836267,2.9788615930035203,0.2744639768902053,0.27148511529720176,0.2685062537041983,0.2625485305181912,0.2565908073321842
XM,0.03,equal,451,1383.551282051282,0.2500616085973075,3.0007393031676903,0.2556053938525735,0.25260465454940584,0.24960391524623815,0.24360243663990278,0.23760095803356737
XM,0.03,proportional,451,1334.0608974358975,0.27018489685079466,3.2422187622095358,0.2168310991959268,0.21358888043371727,0.21034666167150773,0.20386222414708866,0.19737778662266958
XM,0.05,equal,752,1590.6378205128206,0.24227719211757506,2.907326305410901,0.24073640281748676,0.23782907651207585,0.23492175020666495,0.22910709759584316,0.22329244498502135
XM,0.05,proportional,752,1621.0961538461538,0.2429087404404541,2.9149048852854493,0.22498615069454808,0.22207124580926263,0.21915634092397718,0.21332653115340627,0.2074967213828354
XM,0.1,equal,1504,2115.9455128205127,0.19855423531516178,2.3826508237819413,0.2521689524476747,0.24978630162389273,0.24740365080011079,0.24263834915254692,0.23787304750498303
XM,0.1,proportional,1504,2173.1923076923076,0.20436147225263643,2.452337667031637,0.23963470987549962,0.237182372208468,0.23473003454143634,0.22982535920737307,0.2249206838733098
