tree_key,scheme,mode,window_no,n_windows,min_is_months,oos_len_months,is_start,is_end,oos_start,oos_end,n_is_months,n_oos_months,n_universe,k_mode,n_clusters,ratio,allocation,group,target_total,n_capped_clusters,n_backfilled,n_members,is_cagr,is_mdd,is_sharpe,oos_cagr,oos_mdd,oos_sharpe,oos_enb,n_clusters_covered,max_cluster_share
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,all,unallocated,B_all,6679,0,0,6679,0.125886728881051,-0.5490781259939754,0.5572053552825892,0.23949836727471951,-0.0877583719868048,2.0968302655466564,,6,0.4250636322802815
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,legacy,equal,A_hrp,30,0,2,30,0.3655619441865481,-0.32223604493633773,1.1958173846472318,0.24717800795983624,-0.08308506776721447,2.234462883008337,4.012260165365358,6,0.16666666666666666
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,legacy,equal,D_top_cagr,30,0,0,30,0.47613425380547403,-0.43612650536486286,0.8996804473877069,0.25023696378493243,-0.08550594511199161,2.143629834838036,3.451843271823894,4,0.7333333333333333
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,legacy,equal,E_top_calmar,30,0,0,30,0.4314471019009338,-0.33265847217647904,1.046230365713286,0.20838317660455807,-0.08533459498820783,2.066672568450039,3.1304780837097415,5,0.5
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,legacy,proportional,A_hrp,30,0,0,30,0.32467254167388626,-0.3436608032253812,1.1344706482015412,0.25438958496315633,-0.089909405025424,2.1800166632143845,4.155979790413693,6,0.43333333333333335
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,legacy,proportional,D_top_cagr,30,0,0,30,0.47613425380547403,-0.43612650536486286,0.8996804473877069,0.25023696378493243,-0.08550594511199161,2.143629834838036,3.451843271823894,4,0.7333333333333333
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,legacy,proportional,E_top_calmar,30,0,0,30,0.4314471019009338,-0.33265847217647904,1.046230365713286,0.20838317660455807,-0.08533459498820783,2.066672568450039,3.1304780837097415,5,0.5
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.01,equal,A_hrp,67,0,8,67,0.3269109207987677,-0.3764366391768258,1.1046394312010328,0.24406681734874502,-0.08563160010188531,2.2495375980188075,4.973622117215684,6,0.1791044776119403
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.01,equal,D_top_cagr,67,0,0,67,0.4364174006299075,-0.4295098318858275,1.0496202696025099,0.2384610914307621,-0.09033369747126851,2.105374552440784,4.367998784667618,6,0.4626865671641791
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.01,equal,E_top_calmar,67,0,0,67,0.3836311886403536,-0.3486934373875623,1.0893540665961055,0.23308641567003652,-0.07878106991549472,2.220398275282127,3.6567348346887285,6,0.417910447761194
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.01,proportional,A_hrp,67,0,0,67,0.2820036624989235,-0.3814470118828739,1.0321857008728321,0.2476059175847598,-0.08432636429293716,2.233096244229392,4.912582346839168,6,0.417910447761194
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.01,proportional,D_top_cagr,67,0,0,67,0.4364174006299075,-0.4295098318858275,1.0496202696025099,0.2384610914307621,-0.09033369747126851,2.105374552440784,4.367998784667618,6,0.4626865671641791
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.01,proportional,E_top_calmar,67,0,0,67,0.3836311886403536,-0.3486934373875623,1.0893540665961055,0.23308641567003652,-0.07878106991549472,2.220398275282127,3.6567348346887285,6,0.417910447761194
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.03,equal,A_hrp,200,0,69,200,0.3001833067663795,-0.4210529553481065,1.0240415376721346,0.23840308239021657,-0.08854163521604896,2.199809106953607,5.513520078429411,6,0.17
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.03,equal,D_top_cagr,200,0,0,200,0.3630015797191759,-0.4467828414566263,1.0587573824691328,0.23550219156419527,-0.09252956628995046,2.0915781827558146,4.517179382544043,6,0.27
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.03,equal,E_top_calmar,200,0,0,200,0.32838232395413147,-0.3728529258245563,1.1127278133622163,0.23625728003718716,-0.08300851150417221,2.2236567310154127,4.078035354469715,6,0.29
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.03,proportional,A_hrp,200,0,0,200,0.21500271154995643,-0.45348337540269146,0.8371188297992305,0.240490244517098,-0.08776741012127198,2.196713139935404,5.805964552277886,6,0.425
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.03,proportional,D_top_cagr,200,0,0,200,0.3630015797191759,-0.4467828414566263,1.0587573824691328,0.23550219156419527,-0.09252956628995046,2.0915781827558146,4.517179382544043,6,0.27
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.03,proportional,E_top_calmar,200,0,0,200,0.32838232395413147,-0.3728529258245563,1.1127278133622163,0.23625728003718716,-0.08300851150417221,2.2236567310154127,4.078035354469715,6,0.29
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.05,equal,A_hrp,334,0,143,334,0.2728491590246689,-0.4512625634598776,0.9565077548973506,0.2351126011323601,-0.0890027485649092,2.159270827580223,5.53675589350444,6,0.16766467065868262
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.05,equal,D_top_cagr,334,0,0,334,0.33003882014230124,-0.44914735962396146,1.0359759997533022,0.23803152142498973,-0.09294587794420273,2.108411346875944,4.67997087503058,6,0.218562874251497
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.05,equal,E_top_calmar,334,0,0,334,0.30522531123403485,-0.3886429374713144,1.066953532690735,0.23867358277784034,-0.08440608082404144,2.2290780646803214,4.201166202740465,6,0.25748502994011974
TW,A,anchored,1,6,72,24,2007-01,2012-12,2013-01,2014-12,72,24,6679,fixed,6,0.05,proportional,A_hrp,334,0,26,334,0.1886376594537944,-0.4912964287415035,0.7508543318762526,0.23834785509525247,-0.08957345313253018,2.1396906499815955,6.17059874669545,6,0.4251497005988024
