dimension,value,n_cells,win_B_cagr,win_B_mdd,win_B_calmar,win_D_cagr,win_D_mdd,win_D_calmar,win_E_cagr,win_E_mdd,win_E_calmar,mean_cagr_A,mean_mdd_A,mean_cagr_B,mean_mdd_B,pct_backfilled_A
tree_key,TW,900,0.95,0.6411111111111111,0.9511111111111111,0.2311111111111111,0.7088888888888889,0.27,0.1322222222222222,0.37222222222222223,0.16777777777777778,0.18152349966492454,-0.1559388940201135,0.1597805478629593,-0.15999847153406122,0.17842358813204287
tree_key,US,900,0.8611111111111112,0.8577777777777778,0.8966666666666666,0.024444444444444446,0.84,0.21888888888888888,0.042222222222222223,0.35,0.08,0.2570858048337669,-0.20456459291013532,0.21632696769940732,-0.22277116569490707,0.15481764373104276
tree_key,XM,900,0.9177777777777778,0.8466666666666667,0.9511111111111111,0.17666666666666667,0.9955555555555555,0.45,0.1711111111111111,0.8088888888888889,0.34,0.2305512944378489,-0.16265333514208266,0.19568269470774743,-0.17608873887936846,0.18628948152166885
scheme,A,360,0.8583333333333333,0.7916666666666666,0.8888888888888888,0.21666666666666667,0.8,0.37222222222222223,0.2,0.46111111111111114,0.2388888888888889,0.21948116610882448,-0.14913801336445842,0.19159866600874342,-0.15978666860573434,0.17538873754124662
scheme,B,240,0.9833333333333333,0.7666666666666667,0.9958333333333333,0.12083333333333333,0.8666666666666667,0.29583333333333334,0.1,0.4666666666666667,0.15833333333333333,0.2280570942236136,-0.17028264159657583,0.19802869872205958,-0.18291176289958286,0.176330038908922
scheme,C,180,0.9833333333333333,0.8166666666666667,0.9888888888888889,0.05555555555555555,0.8944444444444445,0.40555555555555556,0.08333333333333333,0.6,0.25,0.22179248725120815,-0.1843966887154923,0.19119499110611116,-0.1962449625581475,0.17681264967199067
scheme,D,300,0.85,0.8066666666666666,0.89,0.18666666666666668,0.84,0.3466666666666667,0.16333333333333333,0.5166666666666667,0.24,0.20018499041455318,-0.16808672476396255,0.17100881460229395,-0.18034933905046532,0.17257474810469736
scheme,E,240,0.8541666666666666,0.8166666666666667,0.8958333333333334,0.07916666666666666,0.8875,0.35833333333333334,0.10416666666666667,0.49583333333333335,0.25,0.20835385311702073,-0.17219295964009682,0.17270167498116848,-0.1833733665851639,0.1731270040304057
scheme,F,180,0.9833333333333333,0.8444444444444444,0.9944444444444445,0.11666666666666667,0.8666666666666667,0.26666666666666666,0.027777777777777776,0.5055555555555555,0.07777777777777778,0.21097324685846877,-0.1821670436239407,0.17815955350299267,-0.1982077030391832,0.17396482541050257
scheme,G,240,0.8958333333333334,0.7833333333333333,0.9291666666666667,0.17083333333333334,0.8208333333333333,0.25833333333333336,0.12916666666666668,0.5125,0.16666666666666666,0.2243012342003012,-0.1727551202972308,0.18996456943087656,-0.18553030018327465,0.1706234908945326
scheme,H,180,0.9611111111111111,0.8611111111111112,0.9777777777777777,0.12222222222222222,0.8,0.2222222222222222,0.022222222222222223,0.46111111111111114,0.06666666666666667,0.22477879554252714,-0.1696659468940093,0.1910417132531898,-0.18458338583861103,0.17444988925503452
scheme,I,120,1.0,0.7583333333333333,1.0,0.0,0.875,0.24166666666666667,0.0,0.6166666666666667,0.175,0.23005823819942617,-0.20177014131012605,0.19145489790175033,-0.2145546965776074,0.17048963214598956
scheme,J,180,0.8611111111111112,0.7277777777777777,0.9055555555555556,0.21666666666666667,0.85,0.2388888888888889,0.17222222222222222,0.5888888888888889,0.2111111111111111,0.2506755038494818,-0.1804153055890688,0.22064381910117625,-0.19128932394047596,0.16799664036244125
scheme,K,120,0.9666666666666667,0.6916666666666667,1.0,0.06666666666666667,0.8666666666666667,0.11666666666666667,0.0,0.5166666666666667,0.06666666666666667,0.2724309301395521,-0.20033806258678796,0.23724039330787808,-0.21189741626368833,0.17339641086040122
