tree_key,scheme,k_mode,ratio,allocation,window_no,is_start,is_end,oos_start,oos_end,n_oos_months,n_clusters,target_total,n_draws,n_members_mean,n_backfilled_mean,enb_computed,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std
TW,A,fixed,legacy,equal,1,2007-01,2012-12,2013-01,2014-12,24,6,30,30,30.0,0.0,True,0.2309417083512028,0.0114817679119849,-0.0888411080401041,0.0045108538829452,2.1509035164560464,0.080733632446034,4.186608106558282,0.218603291936864
TW,A,fixed,legacy,proportional,1,2007-01,2012-12,2013-01,2014-12,24,6,30,30,30.0,0.0,True,0.2293815018953206,0.0108135440978317,-0.0917678423850081,0.0038870982617342,2.117978729157941,0.0774023901888185,4.330867900474828,0.1894526289207235
TW,A,fixed,0.01,equal,1,2007-01,2012-12,2013-01,2014-12,24,6,67,30,67.0,0.0666666666666666,True,0.2321257604184333,0.008475209933781,-0.0914619062190721,0.003205231813082,2.1106098197188605,0.0493651185296638,4.96424221818501,0.2002685563257754
TW,A,fixed,0.01,proportional,1,2007-01,2012-12,2013-01,2014-12,24,6,67,30,67.0,0.0,True,0.2335684638088224,0.0061539037821685,-0.0900004750235001,0.0028056227299622,2.1376824815857614,0.0483593666100075,5.068390974739076,0.1636717460890049
TW,A,fixed,0.03,equal,1,2007-01,2012-12,2013-01,2014-12,24,6,200,30,200.0,18.03333333333333,True,0.2346462381370411,0.0046223548395868,-0.0892517789707733,0.0013794983674788,2.131519292374692,0.0307839473414994,5.536464250220693,0.131269795320623
TW,A,fixed,0.03,proportional,1,2007-01,2012-12,2013-01,2014-12,24,6,200,30,200.0,0.0,True,0.235700143327743,0.0039293082937964,-0.0885888392220811,0.0014556098509881,2.1538461349385227,0.0329489970409023,5.912036499908736,0.133660788357412
TW,A,fixed,0.05,equal,1,2007-01,2012-12,2013-01,2014-12,24,6,334,30,334.0,58.7,True,0.2367652620945739,0.0033451346450101,-0.088901366719341,0.0013107134009259,2.136239331552072,0.0276178296618492,5.552739984454049,0.1372097185233001
TW,A,fixed,0.05,proportional,1,2007-01,2012-12,2013-01,2014-12,24,6,334,30,334.0,2.2,True,0.2344775855933383,0.0028824004482908,-0.0908506865687607,0.0012014892037998,2.10122219937961,0.0264619323793918,6.1985820296512655,0.0962859360613987
TW,A,fixed,0.1,equal,1,2007-01,2012-12,2013-01,2014-12,24,6,668,30,668.0,238.13333333333333,False,0.2380348741465871,0.0018192772830892,-0.0887789763978924,0.0008006009316915,2.130944204792612,0.0171636244528748,,
TW,A,fixed,0.1,proportional,1,2007-01,2012-12,2013-01,2014-12,24,6,668,30,668.0,238.03333333333333,False,0.2374517102831394,0.0016655918467101,-0.0882045801564448,0.0006499903960491,2.149247286351948,0.0114954306770704,,
TW,A,silhouette_is,legacy,equal,1,2007-01,2012-12,2013-01,2014-12,24,11,55,30,55.0,0.0,True,0.236521235736236,0.0073466784799536,-0.087992444123134,0.0032273049660455,2.1668041850870714,0.0485621452599676,4.492909352832984,0.1473071247508204
TW,A,silhouette_is,legacy,proportional,1,2007-01,2012-12,2013-01,2014-12,24,11,55,30,55.0,0.0,True,0.2321590702356473,0.0072206464411898,-0.0901471824283024,0.0029893548915198,2.1237638982782965,0.0523405182025714,4.5627094843001705,0.1750240993604293
TW,A,silhouette_is,0.01,equal,1,2007-01,2012-12,2013-01,2014-12,24,11,67,30,67.0,0.0,True,0.2348496274446634,0.0083643512795438,-0.0895412699548434,0.0030176334239365,2.147265512172175,0.0561943422869638,4.672853360757098,0.147540295315588
TW,A,silhouette_is,0.01,proportional,1,2007-01,2012-12,2013-01,2014-12,24,11,67,30,67.0,0.0,True,0.2330722932139657,0.0074272932296283,-0.0896895830439098,0.0024478630096042,2.136924301930525,0.0535343780456369,4.762376231766964,0.1472330338446349
TW,A,silhouette_is,0.03,equal,1,2007-01,2012-12,2013-01,2014-12,24,11,200,30,200.0,4.866666666666666,True,0.2344942956764299,0.0046243187847124,-0.0910900970883582,0.0014595552847073,2.125874470584832,0.0382492537538811,5.4711625997415885,0.1256910060121648
