opponent,metric,scheme,tree_scope,n_units,n_wins,win_rate,p_value,n_windows_per_tree,significant_05
B_all,cagr,A,ALL,18,16,0.8888888888888888,0.0006561279296875,6,True
B_all,cagr,A,TW,6,6,1.0,0.015625,6,True
B_all,cagr,A,US,6,4,0.6666666666666666,0.34375,6,False
B_all,cagr,A,XM,6,6,1.0,0.015625,6,True
B_all,cagr,B,ALL,12,12,1.0,0.000244140625,4,True
B_all,cagr,B,TW,4,4,1.0,0.0625,4,False
B_all,cagr,B,US,4,4,1.0,0.0625,4,False
B_all,cagr,B,XM,4,4,1.0,0.0625,4,False
B_all,cagr,C,ALL,9,9,1.0,0.001953125,3,True
B_all,cagr,C,TW,3,3,1.0,0.125,3,False
B_all,cagr,C,US,3,3,1.0,0.125,3,False
B_all,cagr,C,XM,3,3,1.0,0.125,3,False
B_all,cagr,D,ALL,15,13,0.8666666666666667,0.003692626953125,5,True
B_all,cagr,D,TW,5,5,1.0,0.03125,5,True
B_all,cagr,D,US,5,3,0.6,0.5,5,False
B_all,cagr,D,XM,5,5,1.0,0.03125,5,True
B_all,cagr,E,ALL,12,11,0.9166666666666666,0.003173828125,4,True
B_all,cagr,E,TW,4,3,0.75,0.3125,4,False
B_all,cagr,E,US,4,4,1.0,0.0625,4,False
B_all,cagr,E,XM,4,4,1.0,0.0625,4,False
B_all,cagr,F,ALL,9,9,1.0,0.001953125,3,True
B_all,cagr,F,TW,3,3,1.0,0.125,3,False
B_all,cagr,F,US,3,3,1.0,0.125,3,False
B_all,cagr,F,XM,3,3,1.0,0.125,3,False
B_all,cagr,G,ALL,12,11,0.9166666666666666,0.003173828125,4,True
B_all,cagr,G,TW,4,4,1.0,0.0625,4,False
B_all,cagr,G,US,4,3,0.75,0.3125,4,False
B_all,cagr,G,XM,4,4,1.0,0.0625,4,False
B_all,cagr,H,ALL,9,9,1.0,0.001953125,3,True
B_all,cagr,H,TW,3,3,1.0,0.125,3,False
B_all,cagr,H,US,3,3,1.0,0.125,3,False
B_all,cagr,H,XM,3,3,1.0,0.125,3,False
B_all,cagr,I,ALL,6,6,1.0,0.015625,2,True
B_all,cagr,I,TW,2,2,1.0,0.25,2,False
B_all,cagr,I,US,2,2,1.0,0.25,2,False
B_all,cagr,I,XM,2,2,1.0,0.25,2,False
B_all,cagr,J,ALL,9,8,0.8888888888888888,0.01953125,3,True
B_all,cagr,J,TW,3,3,1.0,0.125,3,False
B_all,cagr,J,US,3,2,0.6666666666666666,0.5,3,False
B_all,cagr,J,XM,3,3,1.0,0.125,3,False
B_all,cagr,K,ALL,6,6,1.0,0.015625,2,True
B_all,cagr,K,TW,2,2,1.0,0.25,2,False
B_all,cagr,K,US,2,2,1.0,0.25,2,False
B_all,cagr,K,XM,2,2,1.0,0.25,2,False
B_all,cagr,L,ALL,6,6,1.0,0.015625,2,True
B_all,cagr,L,TW,2,2,1.0,0.25,2,False
B_all,cagr,L,US,2,2,1.0,0.25,2,False
B_all,cagr,L,XM,2,2,1.0,0.25,2,False
B_all,cagr,R,ALL,12,11,0.9166666666666666,0.003173828125,4,True
B_all,cagr,R,TW,4,3,0.75,0.3125,4,False
B_all,cagr,R,US,4,4,1.0,0.0625,4,False
B_all,cagr,R,XM,4,4,1.0,0.0625,4,False
B_all,calmar,A,ALL,18,16,0.8888888888888888,0.0006561279296875,6,True
B_all,calmar,A,TW,6,6,1.0,0.015625,6,True
B_all,calmar,A,US,6,4,0.6666666666666666,0.34375,6,False
B_all,calmar,A,XM,6,6,1.0,0.015625,6,True
B_all,calmar,B,ALL,12,12,1.0,0.000244140625,4,True
B_all,calmar,B,TW,4,4,1.0,0.0625,4,False
B_all,calmar,B,US,4,4,1.0,0.0625,4,False
B_all,calmar,B,XM,4,4,1.0,0.0625,4,False
B_all,calmar,C,ALL,9,9,1.0,0.001953125,3,True
B_all,calmar,C,TW,3,3,1.0,0.125,3,False
B_all,calmar,C,US,3,3,1.0,0.125,3,False
B_all,calmar,C,XM,3,3,1.0,0.125,3,False
B_all,calmar,D,ALL,15,13,0.8666666666666667,0.003692626953125,5,True
B_all,calmar,D,TW,5,5,1.0,0.03125,5,True
B_all,calmar,D,US,5,3,0.6,0.5,5,False
B_all,calmar,D,XM,5,5,1.0,0.03125,5,True
B_all,calmar,E,ALL,12,11,0.9166666666666666,0.003173828125,4,True
B_all,calmar,E,TW,4,3,0.75,0.3125,4,False
B_all,calmar,E,US,4,4,1.0,0.0625,4,False
B_all,calmar,E,XM,4,4,1.0,0.0625,4,False
B_all,calmar,F,ALL,9,9,1.0,0.001953125,3,True
B_all,calmar,F,TW,3,3,1.0,0.125,3,False
B_all,calmar,F,US,3,3,1.0,0.125,3,False
B_all,calmar,F,XM,3,3,1.0,0.125,3,False
B_all,calmar,G,ALL,12,11,0.9166666666666666,0.003173828125,4,True
B_all,calmar,G,TW,4,4,1.0,0.0625,4,False
B_all,calmar,G,US,4,3,0.75,0.3125,4,False
B_all,calmar,G,XM,4,4,1.0,0.0625,4,False
B_all,calmar,H,ALL,9,9,1.0,0.001953125,3,True
B_all,calmar,H,TW,3,3,1.0,0.125,3,False
B_all,calmar,H,US,3,3,1.0,0.125,3,False
B_all,calmar,H,XM,3,3,1.0,0.125,3,False
B_all,calmar,I,ALL,6,6,1.0,0.015625,2,True
B_all,calmar,I,TW,2,2,1.0,0.25,2,False
B_all,calmar,I,US,2,2,1.0,0.25,2,False
B_all,calmar,I,XM,2,2,1.0,0.25,2,False
B_all,calmar,J,ALL,9,8,0.8888888888888888,0.01953125,3,True
B_all,calmar,J,TW,3,3,1.0,0.125,3,False
B_all,calmar,J,US,3,2,0.6666666666666666,0.5,3,False
B_all,calmar,J,XM,3,3,1.0,0.125,3,False
B_all,calmar,K,ALL,6,6,1.0,0.015625,2,True
B_all,calmar,K,TW,2,2,1.0,0.25,2,False
B_all,calmar,K,US,2,2,1.0,0.25,2,False
B_all,calmar,K,XM,2,2,1.0,0.25,2,False
B_all,calmar,L,ALL,6,6,1.0,0.015625,2,True
B_all,calmar,L,TW,2,2,1.0,0.25,2,False
B_all,calmar,L,US,2,2,1.0,0.25,2,False
B_all,calmar,L,XM,2,2,1.0,0.25,2,False
B_all,calmar,R,ALL,12,10,0.8333333333333334,0.019287109375,4,True
B_all,calmar,R,TW,4,3,0.75,0.3125,4,False
B_all,calmar,R,US,4,3,0.75,0.3125,4,False
B_all,calmar,R,XM,4,4,1.0,0.0625,4,False
B_all,mdd,A,ALL,18,16,0.8888888888888888,0.0006561279296875,6,True
B_all,mdd,A,TW,6,4,0.6666666666666666,0.34375,6,False
B_all,mdd,A,US,6,6,1.0,0.015625,6,True
B_all,mdd,A,XM,6,6,1.0,0.015625,6,True
B_all,mdd,B,ALL,12,10,0.8333333333333334,0.019287109375,4,True
B_all,mdd,B,TW,4,3,0.75,0.3125,4,False
B_all,mdd,B,US,4,3,0.75,0.3125,4,False
B_all,mdd,B,XM,4,4,1.0,0.0625,4,False
B_all,mdd,C,ALL,9,8,0.8888888888888888,0.01953125,3,True
B_all,mdd,C,TW,3,2,0.6666666666666666,0.5,3,False
B_all,mdd,C,US,3,3,1.0,0.125,3,False
B_all,mdd,C,XM,3,3,1.0,0.125,3,False
B_all,mdd,D,ALL,15,13,0.8666666666666667,0.003692626953125,5,True
B_all,mdd,D,TW,5,3,0.6,0.5,5,False
B_all,mdd,D,US,5,5,1.0,0.03125,5,True
B_all,mdd,D,XM,5,5,1.0,0.03125,5,True
B_all,mdd,E,ALL,12,11,0.9166666666666666,0.003173828125,4,True
B_all,mdd,E,TW,4,3,0.75,0.3125,4,False
B_all,mdd,E,US,4,4,1.0,0.0625,4,False
B_all,mdd,E,XM,4,4,1.0,0.0625,4,False
B_all,mdd,F,ALL,9,8,0.8888888888888888,0.01953125,3,True
B_all,mdd,F,TW,3,2,0.6666666666666666,0.5,3,False
B_all,mdd,F,US,3,3,1.0,0.125,3,False
B_all,mdd,F,XM,3,3,1.0,0.125,3,False
B_all,mdd,G,ALL,12,10,0.8333333333333334,0.019287109375,4,True
B_all,mdd,G,TW,4,2,0.5,0.6875,4,False
B_all,mdd,G,US,4,4,1.0,0.0625,4,False
B_all,mdd,G,XM,4,4,1.0,0.0625,4,False
B_all,mdd,H,ALL,9,8,0.8888888888888888,0.01953125,3,True
B_all,mdd,H,TW,3,2,0.6666666666666666,0.5,3,False
B_all,mdd,H,US,3,3,1.0,0.125,3,False
B_all,mdd,H,XM,3,3,1.0,0.125,3,False
B_all,mdd,I,ALL,6,5,0.8333333333333334,0.109375,2,False
B_all,mdd,I,TW,2,1,0.5,0.75,2,False
B_all,mdd,I,US,2,2,1.0,0.25,2,False
B_all,mdd,I,XM,2,2,1.0,0.25,2,False
B_all,mdd,J,ALL,9,7,0.7777777777777778,0.08984375,3,False
B_all,mdd,J,TW,3,1,0.3333333333333333,0.875,3,False
B_all,mdd,J,US,3,3,1.0,0.125,3,False
B_all,mdd,J,XM,3,3,1.0,0.125,3,False
B_all,mdd,K,ALL,6,5,0.8333333333333334,0.109375,2,False
B_all,mdd,K,TW,2,1,0.5,0.75,2,False
B_all,mdd,K,US,2,2,1.0,0.25,2,False
B_all,mdd,K,XM,2,2,1.0,0.25,2,False
B_all,mdd,L,ALL,6,5,0.8333333333333334,0.109375,2,False
B_all,mdd,L,TW,2,1,0.5,0.75,2,False
B_all,mdd,L,US,2,2,1.0,0.25,2,False
B_all,mdd,L,XM,2,2,1.0,0.25,2,False
B_all,mdd,R,ALL,12,8,0.6666666666666666,0.19384765625,4,False
B_all,mdd,R,TW,4,2,0.5,0.6875,4,False
B_all,mdd,R,US,4,3,0.75,0.3125,4,False
B_all,mdd,R,XM,4,3,0.75,0.3125,4,False
D_top_cagr,cagr,A,ALL,18,3,0.16666666666666666,0.9993438720703125,6,False
D_top_cagr,cagr,A,TW,6,2,0.3333333333333333,0.890625,6,False
D_top_cagr,cagr,A,US,6,0,0.0,1.0,6,False
D_top_cagr,cagr,A,XM,6,1,0.16666666666666666,0.984375,6,False
D_top_cagr,cagr,B,ALL,12,1,0.08333333333333333,0.999755859375,4,False
D_top_cagr,cagr,B,TW,4,0,0.0,1.0,4,False
D_top_cagr,cagr,B,US,4,0,0.0,1.0,4,False
D_top_cagr,cagr,B,XM,4,1,0.25,0.9375,4,False
D_top_cagr,cagr,C,ALL,9,0,0.0,1.0,3,False
D_top_cagr,cagr,C,TW,3,0,0.0,1.0,3,False
D_top_cagr,cagr,C,US,3,0,0.0,1.0,3,False
D_top_cagr,cagr,C,XM,3,0,0.0,1.0,3,False
D_top_cagr,cagr,D,ALL,15,2,0.13333333333333333,0.99951171875,5,False
D_top_cagr,cagr,D,TW,5,1,0.2,0.96875,5,False
