opponent,metric,tree_key,scheme,window_no,win_share,n_settings,unit_win
B_all,cagr,TW,A,1,0.75,20,True
B_all,cagr,TW,A,2,1.0,20,True
B_all,cagr,TW,A,3,1.0,20,True
B_all,cagr,TW,A,4,1.0,20,True
B_all,cagr,TW,A,5,1.0,20,True
B_all,cagr,TW,A,6,1.0,20,True
B_all,cagr,TW,B,1,1.0,20,True
B_all,cagr,TW,B,2,1.0,20,True
B_all,cagr,TW,B,3,1.0,20,True
B_all,cagr,TW,B,4,1.0,20,True
B_all,cagr,TW,C,1,1.0,20,True
B_all,cagr,TW,C,2,1.0,20,True
B_all,cagr,TW,C,3,1.0,20,True
B_all,cagr,TW,D,1,1.0,20,True
B_all,cagr,TW,D,2,1.0,20,True
B_all,cagr,TW,D,3,1.0,20,True
B_all,cagr,TW,D,4,1.0,20,True
B_all,cagr,TW,D,5,1.0,20,True
B_all,cagr,TW,E,1,1.0,20,True
B_all,cagr,TW,E,2,1.0,20,True
B_all,cagr,TW,E,3,1.0,20,True
B_all,cagr,TW,E,4,0.1,20,False
B_all,cagr,TW,F,1,1.0,20,True
B_all,cagr,TW,F,2,1.0,20,True
B_all,cagr,TW,F,3,1.0,20,True
B_all,cagr,TW,G,1,1.0,20,True
B_all,cagr,TW,G,2,1.0,20,True
B_all,cagr,TW,G,3,1.0,20,True
B_all,cagr,TW,G,4,1.0,20,True
B_all,cagr,TW,H,1,1.0,20,True
B_all,cagr,TW,H,2,0.9,20,True
B_all,cagr,TW,H,3,1.0,20,True
B_all,cagr,TW,I,1,1.0,20,True
B_all,cagr,TW,I,2,1.0,20,True
B_all,cagr,TW,J,1,1.0,20,True
B_all,cagr,TW,J,2,1.0,20,True
B_all,cagr,TW,J,3,1.0,20,True
B_all,cagr,TW,K,1,1.0,20,True
B_all,cagr,TW,K,2,1.0,20,True
B_all,cagr,TW,L,1,1.0,20,True
B_all,cagr,TW,L,2,1.0,20,True
B_all,cagr,TW,R,1,1.0,20,True
B_all,cagr,TW,R,2,1.0,20,True
B_all,cagr,TW,R,3,1.0,20,True
B_all,cagr,TW,R,4,0.0,20,False
B_all,cagr,US,A,1,1.0,20,True
B_all,cagr,US,A,2,0.05,20,False
B_all,cagr,US,A,3,1.0,20,True
B_all,cagr,US,A,4,1.0,20,True
B_all,cagr,US,A,5,0.3,20,False
B_all,cagr,US,A,6,1.0,20,True
B_all,cagr,US,B,1,1.0,20,True
B_all,cagr,US,B,2,1.0,20,True
B_all,cagr,US,B,3,1.0,20,True
B_all,cagr,US,B,4,1.0,20,True
B_all,cagr,US,C,1,0.85,20,True
B_all,cagr,US,C,2,1.0,20,True
B_all,cagr,US,C,3,1.0,20,True
B_all,cagr,US,D,1,0.05,20,False
B_all,cagr,US,D,2,1.0,20,True
B_all,cagr,US,D,3,1.0,20,True
B_all,cagr,US,D,4,0.3,20,False
B_all,cagr,US,D,5,1.0,20,True
B_all,cagr,US,E,1,0.6,20,True
B_all,cagr,US,E,2,1.0,20,True
B_all,cagr,US,E,3,0.75,20,True
B_all,cagr,US,E,4,1.0,20,True
B_all,cagr,US,F,1,1.0,20,True
B_all,cagr,US,F,2,1.0,20,True
B_all,cagr,US,F,3,1.0,20,True
B_all,cagr,US,G,1,1.0,20,True
B_all,cagr,US,G,2,1.0,20,True
B_all,cagr,US,G,3,0.3,20,False
B_all,cagr,US,G,4,1.0,20,True
B_all,cagr,US,H,1,1.0,20,True
B_all,cagr,US,H,2,0.9,20,True
B_all,cagr,US,H,3,1.0,20,True
B_all,cagr,US,I,1,1.0,20,True
B_all,cagr,US,I,2,1.0,20,True
B_all,cagr,US,J,1,1.0,20,True
B_all,cagr,US,J,2,0.3,20,False
B_all,cagr,US,J,3,1.0,20,True
B_all,cagr,US,K,1,1.0,20,True
B_all,cagr,US,K,2,1.0,20,True
B_all,cagr,US,L,1,1.0,20,True
B_all,cagr,US,L,2,1.0,20,True
B_all,cagr,US,R,1,0.7,20,True
B_all,cagr,US,R,2,1.0,20,True
B_all,cagr,US,R,3,0.65,20,True
B_all,cagr,US,R,4,1.0,20,True
B_all,cagr,XM,A,1,0.95,20,True
B_all,cagr,XM,A,2,0.95,20,True
B_all,cagr,XM,A,3,1.0,20,True
B_all,cagr,XM,A,4,0.9,20,True
B_all,cagr,XM,A,5,0.6,20,True
B_all,cagr,XM,A,6,0.95,20,True
B_all,cagr,XM,B,1,1.0,20,True
B_all,cagr,XM,B,2,1.0,20,True
B_all,cagr,XM,B,3,0.8,20,True
B_all,cagr,XM,B,4,1.0,20,True
B_all,cagr,XM,C,1,1.0,20,True
B_all,cagr,XM,C,2,1.0,20,True
B_all,cagr,XM,C,3,1.0,20,True
B_all,cagr,XM,D,1,0.95,20,True
B_all,cagr,XM,D,2,1.0,20,True
B_all,cagr,XM,D,3,0.9,20,True
B_all,cagr,XM,D,4,0.6,20,True
B_all,cagr,XM,D,5,0.95,20,True
B_all,cagr,XM,E,1,1.0,20,True
B_all,cagr,XM,E,2,1.0,20,True
B_all,cagr,XM,E,3,0.8,20,True
B_all,cagr,XM,E,4,1.0,20,True
B_all,cagr,XM,F,1,1.0,20,True
B_all,cagr,XM,F,2,0.9,20,True
B_all,cagr,XM,F,3,0.95,20,True
B_all,cagr,XM,G,1,1.0,20,True
B_all,cagr,XM,G,2,0.9,20,True
B_all,cagr,XM,G,3,0.6,20,True
B_all,cagr,XM,G,4,0.95,20,True
B_all,cagr,XM,H,1,1.0,20,True
B_all,cagr,XM,H,2,0.9,20,True
B_all,cagr,XM,H,3,0.95,20,True
B_all,cagr,XM,I,1,1.0,20,True
B_all,cagr,XM,I,2,1.0,20,True
B_all,cagr,XM,J,1,0.9,20,True
B_all,cagr,XM,J,2,0.6,20,True
B_all,cagr,XM,J,3,0.95,20,True
B_all,cagr,XM,K,1,0.8,20,True
B_all,cagr,XM,K,2,1.0,20,True
B_all,cagr,XM,L,1,0.9,20,True
B_all,cagr,XM,L,2,0.95,20,True
B_all,cagr,XM,R,1,1.0,20,True
B_all,cagr,XM,R,2,1.0,20,True
B_all,cagr,XM,R,3,0.7,20,True
B_all,cagr,XM,R,4,1.0,20,True
B_all,calmar,TW,A,1,0.7,20,True
B_all,calmar,TW,A,2,1.0,20,True
B_all,calmar,TW,A,3,1.0,20,True
B_all,calmar,TW,A,4,1.0,20,True
B_all,calmar,TW,A,5,1.0,20,True
B_all,calmar,TW,A,6,1.0,20,True
B_all,calmar,TW,B,1,1.0,20,True
B_all,calmar,TW,B,2,1.0,20,True
B_all,calmar,TW,B,3,1.0,20,True
B_all,calmar,TW,B,4,1.0,20,True
B_all,calmar,TW,C,1,1.0,20,True
B_all,calmar,TW,C,2,1.0,20,True
B_all,calmar,TW,C,3,1.0,20,True
B_all,calmar,TW,D,1,1.0,20,True
B_all,calmar,TW,D,2,1.0,20,True
B_all,calmar,TW,D,3,1.0,20,True
B_all,calmar,TW,D,4,1.0,20,True
B_all,calmar,TW,D,5,1.0,20,True
B_all,calmar,TW,E,1,1.0,20,True
B_all,calmar,TW,E,2,1.0,20,True
B_all,calmar,TW,E,3,1.0,20,True
B_all,calmar,TW,E,4,0.1,20,False
B_all,calmar,TW,F,1,1.0,20,True
B_all,calmar,TW,F,2,1.0,20,True
B_all,calmar,TW,F,3,1.0,20,True
B_all,calmar,TW,G,1,1.0,20,True
B_all,calmar,TW,G,2,1.0,20,True
B_all,calmar,TW,G,3,1.0,20,True
B_all,calmar,TW,G,4,1.0,20,True
B_all,calmar,TW,H,1,1.0,20,True
B_all,calmar,TW,H,2,1.0,20,True
B_all,calmar,TW,H,3,1.0,20,True
B_all,calmar,TW,I,1,1.0,20,True
B_all,calmar,TW,I,2,1.0,20,True
B_all,calmar,TW,J,1,1.0,20,True
B_all,calmar,TW,J,2,1.0,20,True
B_all,calmar,TW,J,3,1.0,20,True
B_all,calmar,TW,K,1,1.0,20,True
B_all,calmar,TW,K,2,1.0,20,True
B_all,calmar,TW,L,1,1.0,20,True
B_all,calmar,TW,L,2,1.0,20,True
B_all,calmar,TW,R,1,1.0,20,True
B_all,calmar,TW,R,2,1.0,20,True
B_all,calmar,TW,R,3,1.0,20,True
B_all,calmar,TW,R,4,0.0,20,False
B_all,calmar,US,A,1,1.0,20,True
B_all,calmar,US,A,2,0.2,20,False
B_all,calmar,US,A,3,1.0,20,True
B_all,calmar,US,A,4,1.0,20,True
B_all,calmar,US,A,5,0.5,20,False
B_all,calmar,US,A,6,1.0,20,True
B_all,calmar,US,B,1,1.0,20,True
B_all,calmar,US,B,2,1.0,20,True
B_all,calmar,US,B,3,1.0,20,True
B_all,calmar,US,B,4,1.0,20,True
B_all,calmar,US,C,1,0.9,20,True
