tree_key,scheme,k_mode,ratio,allocation,group,n_windows,n_members_mean,jaccard_adjacent_mean,jaccard_adjacent_max,overlap_coef_adjacent_mean,core_size,core_share
TW,A,fixed,0.01,equal,A_hrp,6,67.0,0.4349470559129144,0.5581395348837209,0.6029850746268657,18,0.26865671641791045
TW,A,fixed,0.01,equal,D_top_cagr,6,67.0,0.6520113836780503,0.7402597402597403,0.7880597014925372,27,0.40298507462686567
TW,A,fixed,0.01,equal,E_top_calmar,6,67.0,0.766843682765122,0.8356164383561644,0.8656716417910447,37,0.5522388059701493
TW,A,fixed,0.01,proportional,A_hrp,6,67.0,0.3745267891174714,0.4888888888888889,0.5402985074626866,10,0.14925373134328357
TW,A,fixed,0.01,proportional,D_top_cagr,6,67.0,0.6520113836780503,0.7402597402597403,0.7880597014925372,27,0.40298507462686567
TW,A,fixed,0.01,proportional,E_top_calmar,6,67.0,0.766843682765122,0.8356164383561644,0.8656716417910447,37,0.5522388059701493
TW,A,fixed,0.03,equal,A_hrp,6,200.0,0.4805432316159425,0.556420233463035,0.648,67,0.335
TW,A,fixed,0.03,equal,D_top_cagr,6,200.0,0.6747405811392314,0.7857142857142857,0.8039999999999999,85,0.425
TW,A,fixed,0.03,equal,E_top_calmar,6,200.0,0.7837921479906163,0.8433179723502304,0.8780000000000001,122,0.61
TW,A,fixed,0.03,proportional,A_hrp,6,200.0,0.349566365248814,0.45985401459854014,0.515,26,0.13
TW,A,fixed,0.03,proportional,D_top_cagr,6,200.0,0.6747405811392314,0.7857142857142857,0.8039999999999999,85,0.425
TW,A,fixed,0.03,proportional,E_top_calmar,6,200.0,0.7837921479906163,0.8433179723502304,0.8780000000000001,122,0.61
TW,A,fixed,0.05,equal,A_hrp,6,334.0,0.4894821827106668,0.6019184652278178,0.6550898203592814,113,0.3383233532934132
TW,A,fixed,0.05,equal,D_top_cagr,6,334.0,0.7136993852450212,0.786096256684492,0.8323353293413174,159,0.47604790419161674
TW,A,fixed,0.05,equal,E_top_calmar,6,334.0,0.7960693108221182,0.8201634877384196,0.8862275449101796,221,0.6616766467065869
TW,A,fixed,0.05,proportional,A_hrp,6,334.0,0.37816554424510346,0.48444444444444446,0.5455089820359282,46,0.1377245508982036
TW,A,fixed,0.05,proportional,D_top_cagr,6,334.0,0.7136993852450212,0.786096256684492,0.8323353293413174,159,0.47604790419161674
TW,A,fixed,0.05,proportional,E_top_calmar,6,334.0,0.7960693108221182,0.8201634877384196,0.8862275449101796,221,0.6616766467065869
TW,A,fixed,0.1,equal,A_hrp,6,668.0,0.5471297100187534,0.6555142503097894,0.7050898203592815,247,0.36976047904191617
TW,A,fixed,0.1,equal,D_top_cagr,6,668.0,0.7308012079556648,0.7813333333333333,0.8440119760479042,360,0.5389221556886228
TW,A,fixed,0.1,equal,E_top_calmar,6,668.0,0.806620067853715,0.8402203856749312,0.892814371257485,445,0.6661676646706587
TW,A,fixed,0.1,proportional,A_hrp,6,668.0,0.4939064001251703,0.5338691159586682,0.6607784431137724,183,0.27395209580838326
TW,A,fixed,0.1,proportional,D_top_cagr,6,668.0,0.7308012079556648,0.7813333333333333,0.8440119760479042,360,0.5389221556886228
TW,A,fixed,0.1,proportional,E_top_calmar,6,668.0,0.806620067853715,0.8402203856749312,0.892814371257485,445,0.6661676646706587
TW,A,fixed,legacy,equal,A_hrp,6,30.0,0.4454391137317966,0.5384615384615384,0.6133333333333334,10,0.3333333333333333
TW,A,fixed,legacy,equal,D_top_cagr,6,30.0,0.7277875277875279,0.8181818181818182,0.8400000000000001,17,0.5666666666666667
TW,A,fixed,legacy,equal,E_top_calmar,6,30.0,0.7157539734297267,0.8181818181818182,0.8266666666666665,13,0.43333333333333335
TW,A,fixed,legacy,proportional,A_hrp,6,30.0,0.414435621100397,0.5,0.58,6,0.2
TW,A,fixed,legacy,proportional,D_top_cagr,6,30.0,0.7277875277875279,0.8181818181818182,0.8400000000000001,17,0.5666666666666667
TW,A,fixed,legacy,proportional,E_top_calmar,6,30.0,0.7157539734297267,0.8181818181818182,0.8266666666666665,13,0.43333333333333335
TW,A,silhouette_is,0.01,equal,A_hrp,6,67.0,0.41502022201469957,0.5581395348837209,0.5820895522388059,16,0.23880597014925373
TW,A,silhouette_is,0.01,equal,D_top_cagr,6,67.0,0.6520113836780503,0.7402597402597403,0.7880597014925372,27,0.40298507462686567
TW,A,silhouette_is,0.01,equal,E_top_calmar,6,67.0,0.766843682765122,0.8356164383561644,0.8656716417910447,37,0.5522388059701493
TW,A,silhouette_is,0.01,proportional,A_hrp,6,67.0,0.35500574356501075,0.4888888888888889,0.5194029850746269,13,0.19402985074626866
TW,A,silhouette_is,0.01,proportional,D_top_cagr,6,67.0,0.6520113836780503,0.7402597402597403,0.7880597014925372,27,0.40298507462686567
TW,A,silhouette_is,0.01,proportional,E_top_calmar,6,67.0,0.766843682765122,0.8356164383561644,0.8656716417910447,37,0.5522388059701493
TW,A,silhouette_is,0.03,equal,A_hrp,6,200.0,0.39132353775221473,0.556420233463035,0.5559999999999999,49,0.245
TW,A,silhouette_is,0.03,equal,D_top_cagr,6,200.0,0.6747405811392314,0.7857142857142857,0.8039999999999999,85,0.425
TW,A,silhouette_is,0.03,equal,E_top_calmar,6,200.0,0.7837921479906163,0.8433179723502304,0.8780000000000001,122,0.61
TW,A,silhouette_is,0.03,proportional,A_hrp,6,200.0,0.33118313808460653,0.45985401459854014,0.493,34,0.17
TW,A,silhouette_is,0.03,proportional,D_top_cagr,6,200.0,0.6747405811392314,0.7857142857142857,0.8039999999999999,85,0.425
TW,A,silhouette_is,0.03,proportional,E_top_calmar,6,200.0,0.7837921479906163,0.8433179723502304,0.8780000000000001,122,0.61
TW,A,silhouette_is,0.05,equal,A_hrp,6,334.0,0.44606034823216534,0.6019184652278178,0.6119760479041917,90,0.2694610778443114
TW,A,silhouette_is,0.05,equal,D_top_cagr,6,334.0,0.7136993852450212,0.786096256684492,0.8323353293413174,159,0.47604790419161674
TW,A,silhouette_is,0.05,equal,E_top_calmar,6,334.0,0.7960693108221182,0.8201634877384196,0.8862275449101796,221,0.6616766467065869
TW,A,silhouette_is,0.05,proportional,A_hrp,6,334.0,0.35208824328107513,0.48444444444444446,0.5155688622754491,47,0.1407185628742515
TW,A,silhouette_is,0.05,proportional,D_top_cagr,6,334.0,0.7136993852450212,0.786096256684492,0.8323353293413174,159,0.47604790419161674
TW,A,silhouette_is,0.05,proportional,E_top_calmar,6,334.0,0.7960693108221182,0.8201634877384196,0.8862275449101796,221,0.6616766467065869
TW,A,silhouette_is,0.1,equal,A_hrp,6,668.0,0.5385328784845044,0.6555142503097894,0.6961077844311377,248,0.3712574850299401
TW,A,silhouette_is,0.1,equal,D_top_cagr,6,668.0,0.7308012079556648,0.7813333333333333,0.8440119760479042,360,0.5389221556886228
TW,A,silhouette_is,0.1,equal,E_top_calmar,6,668.0,0.806620067853715,0.8402203856749312,0.892814371257485,445,0.6661676646706587
