因子桶,單獨,單獨持股,小型,小型持股,中型,中型持股,大型,大型持股,小型超額,中大型最佳,中大型超額,規模落差,判定
P_IC_qb0,0.1818074876140536,463.010101010101,0.23979619699582289,,0.15191298067871117,,0.11460626229869297,,0.15305445449916433,0.15191298067871117,0.06517123818205262,0.08788321631711171,✅ 撐得住規模控制
PB_qb0,0.1813653578473695,463.010101010101,0.22552305279316842,,0.1480211735833139,,0.12320918806702585,,0.13878131029650986,0.1480211735833139,0.061279431086655345,0.07750187920985452,✅ 撐得住規模控制
REVENUE_qb2,0.1060335045844624,511.2020202020202,0.15858965970683125,,0.12874975926550114,,0.0925584167593625,,0.0718479172101727,0.12874975926550114,0.04200801676884258,0.029839900441330114,✅ 撐得住規模控制
PS_qb0,0.1662084180591589,462.6363636363636,0.2056944447019895,,0.1273034433646305,,0.1269771488796685,,0.11895270220533094,0.1273034433646305,0.04056170086797195,0.07839100133735899,✅ 撐得住規模控制
EV_S_qb0,0.1576570259642526,460.2154882154882,0.20308492008589063,,0.119913153640828,,0.11804682319934368,,0.11634317758923207,0.119913153640828,0.03317141114416944,0.08317176644506263,✅ 撐得住規模控制
EV_EBITDA_qb0,0.150647161022658,460.3569023569024,0.19220467208995884,,0.11767148758897017,,0.10530979721948652,,0.10546292959330028,0.11767148758897017,0.03092974509231161,0.07453318450098867,✅ 撐得住規模控制
ROE_qb2,0.1096895179268933,511.2121212121212,0.18464245092586484,,0.11051176113438532,,0.09338605641261744,,0.09790070842920628,0.11051176113438532,0.023770018637726764,0.07413068979147952,✅ 撐得住規模控制
ROIC_qb2,0.1050560428842111,511.2121212121212,0.15676533135136506,,0.10847180356753472,,0.0885025146027667,,0.0700235888547065,0.10847180356753472,0.02173006107087616,0.04829352778383034,✅ 撐得住規模控制
EV_EBITDA_qb1,0.1235638350768937,460.53198653198655,0.16598345135399084,,0.1081042974722255,,0.10268967206486757,,0.07924170885733228,0.1081042974722255,0.02136255497556694,0.057879153881765344,✅ 撐得住規模控制
EV_S_qb1,0.1169057936985036,460.3164983164983,0.14638794915175923,,0.10510347747743864,,0.08713591211960536,,0.059646206655100675,0.10510347747743864,0.018361734980780087,0.04128447167432059,⚠️ 勉強（中大型僅小贏基準）
EPS_qb2,0.0978790064567252,511.2693602693603,0.1528000052456273,,0.10182074788055262,,0.08715811712243893,,0.06605826274896875,0.10182074788055262,0.015079005383894062,0.05097925736507469,⚠️ 勉強（中大型僅小贏基準）
OCF_E_qb2,0.1079267930217726,506.67003367003366,0.16722402766877376,,0.10133978912078101,,0.09444400103818529,,0.0804822851721152,0.10133978912078101,0.014598046624122452,0.06588423854799275,⚠️ 勉強（中大型僅小贏基準）
FCF_P_qb2,0.1256751598067451,461.71380471380473,0.16818338777933928,,0.10025804131811289,,0.10080017442613043,,0.08144164528268072,0.10080017442613043,0.01405843192947187,0.06738321335320885,⚠️ 勉強（中大型僅小贏基準）
MOM_qb2,0.118067778495646,434.9220779220779,0.1651726239316289,,0.10053992646318743,,0.09180399726385069,,0.07843088143497035,0.10053992646318743,0.013798183966528876,0.06463269746844147,⚠️ 勉強（中大型僅小贏基準）
DEBTRATIO_qb1,0.1010507758318886,511.0,0.15139654115789924,,0.09841150501872242,,0.07352036795658234,,0.06465479866124069,0.09841150501872242,0.011669762522063865,0.05298503613917682,⚠️ 勉強（中大型僅小贏基準）
PS_qb1,0.1083116224025371,463.020202020202,0.1364438864263644,,0.09834699164942307,,0.08058707956615208,,0.049702143929705844,0.09834699164942307,0.011605249152764507,0.03809689477694134,⚠️ 勉強（中大型僅小贏基準）
PB_qb1,0.1075163745644609,463.3299663299664,0.1302151308109032,,0.09786917976830622,,0.08543096425502106,,0.04347338831424463,0.09786917976830622,0.011127437271647667,0.032345951042596965,⚠️ 勉強（中大型僅小贏基準）
OCF_E_qb1,0.1043726727924438,506.5286195286195,0.1601325564031093,,0.09709961300782544,,0.07262073234550792,,0.07339081390645075,0.09709961300782544,0.010357870511166878,0.06303294339528387,⚠️ 勉強（中大型僅小贏基準）
DEBTRATIO_qb2,0.1169870041215523,511.2121212121212,0.19628422445277405,,0.09287152048141456,,0.0909191020363227,,0.10954248195611549,0.09287152048141456,0.006129777984756002,0.10341270397135949,⚠️ 勉強（中大型僅小贏基準）
NETDEBT_EBITDA_qb2,0.1177860159239916,497.3063973063973,0.18310075495619182,,0.09223616994428285,,0.08574932896385445,,0.09635901245953327,0.09223616994428285,0.005494427447624295,0.09086458501190897,⚠️ 勉強（中大型僅小贏基準）
P_IC_qb1,0.1092739807102005,463.3299663299664,0.14390288097626258,,0.09132173105996833,,0.08018494197704018,,0.05716113847960402,0.09132173105996833,0.004579988563309767,0.052581149916294256,⚠️ 勉強（中大型僅小贏基準）
EPS_qb1,0.1086612443331949,510.5218855218855,0.1652659242038128,,0.09103081215792108,,0.08611852290921118,,0.07852418170715425,0.09103081215792108,0.004289069661262523,0.07423511204589173,⚠️ 勉強（中大型僅小贏基準）
NETDEBT_EBITDA_qb1,0.0990534221085615,497.050505050505,0.14898038531084734,,0.08960982263134576,,0.07779817002326594,,0.06223864281418878,0.08960982263134576,0.002868080134687201,0.05937056267950158,⚠️ 勉強（中大型僅小贏基準）
ACCRUAL_qb1,0.1016643297997912,506.5286195286195,0.15970193709292912,,0.0893380919840836,,0.07940846535752932,,0.07296019459627057,0.0893380919840836,0.0025963494874250426,0.07036384510884552,⚠️ 勉強（中大型僅小贏基準）
REV_G_qb1,0.1013472605885588,504.2561403508772,0.14675991016432066,,0.08898936584655504,,0.08161617830608825,,0.0600181676676621,0.08898936584655504,0.002247623349896477,0.057770544317765626,⚠️ 勉強（中大型僅小贏基準）
ACCRUAL_qb0,0.1063668059373923,506.0471380471381,0.15769774983908857,,0.08891341135352748,,0.0819365939381631,,0.07095600734243002,0.08891341135352748,0.0021716688568689246,0.06878433848556109,⚠️ 勉強（中大型僅小贏基準）
VOL_qb0,0.0953726436786717,430.27272727272725,0.15189761700637505,,0.08804382527787102,,0.05623218172224309,,0.0651558745097165,0.08804382527787102,0.0013020827812124658,0.06385379172850403,⚠️ 勉強（中大型僅小贏基準）
CROIC_qb1,0.1130077406541303,504.55555555555554,0.1733174214087938,,0.08799661776630208,,0.08106934589483661,,0.08657567891213525,0.08799661776630208,0.0012548752696435184,0.08532080364249173,⚠️ 勉強（中大型僅小贏基準）
REVENUE_qb1,0.1055165240226645,510.92255892255895,0.16732698871857776,,0.08710624959821911,,0.043062667957587175,,0.0805852462219192,0.08710624959821911,0.00036450710156055166,0.08022073912035865,⚠️ 勉強（中大型僅小贏基準）
ROE_qb1,0.0991729282837221,510.962962962963,0.15705980226243987,,0.08707175114085053,,0.07794727677654567,,0.07031805976578132,0.08707175114085053,0.0003300086441919703,0.06998805112158935,⚠️ 勉強（中大型僅小贏基準）
FCF_OI_qb1,0.1098916312911992,503.7037037037037,0.16646155022117815,,0.08698186984669598,,0.08363026161000198,,0.07971980772451959,0.08698186984669598,0.00024012735003742236,0.07947968037448216,⚠️ 勉強（中大型僅小贏基準）
FCF_OI_qb2,0.0999354803809176,504.013468013468,0.15234855474727205,,0.08608117137795679,,0.08125375980289307,,0.06560681225061349,0.08608117137795679,-0.0006605711187017693,0.06626738336931526,🔴 規模混淆（只在小型股有效）
REV_G_qb2,0.0983279594135135,504.5929824561404,0.15184902220103624,,0.08580855298079837,,0.07394759694912478,,0.06510727970437769,0.08580855298079837,-0.0009331895158601888,0.06604046922023787,🔴 規模混淆（只在小型股有效）
ROIC_qb1,0.1041930868681597,510.962962962963,0.16925353917193986,,0.08569508869756359,,0.0856581047301277,,0.0825117966752813,0.08569508869756359,-0.0010466537990949654,0.08355845047437627,🔴 規模混淆（只在小型股有效）
CROIC_qb2,0.0968839970129702,504.92929292929296,0.14704152330888154,,0.08478258514884685,,0.08278925544588733,,0.06029978081222298,0.08478258514884685,-0.001959157347811713,0.062258938160034694,🔴 規模混淆（只在小型股有效）
NETDEBT_EBITDA_qb0,0.1032357262765657,496.6464646464647,0.1614620322607554,,0.07944589266870783,,0.07412824679210361,,0.07472028976409684,0.07944589266870783,-0.007295849827950729,0.08201613959204757,🔴 規模混淆（只在小型股有效）
DEBTRATIO_qb0,0.0994993238562105,510.6262626262626,0.1592857926826765,,0.07774407941991779,,0.06843082597827843,,0.07254405018601795,0.07774407941991779,-0.00899766307674077,0.08154171326275872,🔴 規模混淆（只在小型股有效）
