因子桶,單獨,單獨持股,小型,小型持股,中型,中型持股,大型,大型持股,小型超額,中大型最佳,中大型超額,規模落差,判定
REVENUE_qb2,0.1339348448011661,589.8525641025641,0.37083482248996114,,0.17488453604450682,,0.1161903214124771,,0.24731726031058798,0.17488453604450682,0.05136697386513367,0.1959502864454543,✅ 撐得住規模控制
EV_EBITDA_qb0,0.2559938890207813,586.5865384615385,0.37169151755025953,,0.17034687592129805,,0.10785927163222886,,0.24817395537088638,0.17034687592129805,0.046829313741924894,0.20134464162896148,✅ 撐得住規模控制
PS_qb0,0.2446102370423932,578.9583333333334,0.3776321133175584,,0.16928202281106053,,0.13716749904321235,,0.25411455113818526,0.16928202281106053,0.045764460631687376,0.2083500905064979,✅ 撐得住規模控制
OCF_E_qb2,0.2237152181000417,609.7948717948718,0.36430473147084963,,0.1659781457525602,,0.12323637811980559,,0.24078716929147648,0.1659781457525602,0.04246058357318705,0.19832658571828943,✅ 撐得住規模控制
EV_S_qb0,0.233132761316245,578.9583333333334,0.341546119546692,,0.1618073111928271,,0.14027696014879054,,0.21802855736731885,0.1618073111928271,0.038289749013453944,0.1797388083538649,✅ 撐得住規模控制
PB_qb0,0.2479266984947963,587.6634615384615,0.33468381390272195,,0.16051012180252822,,0.12412583199083294,,0.2111662517233488,0.16051012180252822,0.036992559623155064,0.17417369210019373,✅ 撐得住規模控制
ROE_qb2,0.1822022634716211,589.8205128205128,0.367650819079951,,0.1597872391461157,,0.11479532849813978,,0.24413325690057786,0.1597872391461157,0.03626967696674255,0.2078635799338353,✅ 撐得住規模控制
CROIC_qb2,0.2114804299126029,609.5641025641025,0.3114883050026602,,0.1590826274024335,,0.12684818932561637,,0.18797074282328707,0.1590826274024335,0.035565065223060355,0.15240567760022672,✅ 撐得住規模控制
FCF_P_qb2,0.192608634647216,589.5641025641025,0.28909935380927365,,0.15829693934713984,,0.12350037308464934,,0.1655817916299005,0.15829693934713984,0.03477937716776669,0.1308024144621338,✅ 撐得住規模控制
ACCRUAL_qb0,0.2416909795257831,608.8621794871794,0.37162447807027865,,0.15801357010860428,,0.11513786467866294,,0.2481069158909055,0.15801357010860428,0.03449600792923113,0.21361090796167437,✅ 撐得住規模控制
DEBTRATIO_qb2,0.1893628607641744,589.8044871794872,0.35049084859068413,,0.1558198452980737,,0.11420262047483942,,0.22697328641131098,0.1558198452980737,0.03230228311870054,0.19467100329261045,✅ 撐得住規模控制
EPS_qb0,0.2656029344464758,588.7692307692307,0.3471052867640241,,0.15441288789665264,,0.10228779270030364,,0.22358772458465093,0.15441288789665264,0.030895325717279487,0.19269239886737144,✅ 撐得住規模控制
NETDEBT_EBITDA_qb1,0.1560424069562878,575.3012820512821,0.2629051662176709,,0.14980974972693284,,0.11859433438640221,,0.13938760403829775,0.14980974972693284,0.026292187547559687,0.11309541649073807,✅ 撐得住規模控制
REV_G_qb1,0.1561070689408699,588.3269230769231,0.23725981825175624,,0.14955225256716154,,0.11530049622462935,,0.11374225607238309,0.14955225256716154,0.026034690387788384,0.0877075656845947,✅ 撐得住規模控制
ROIC_qb2,0.1588218825730112,609.5673076923077,0.2663379192946045,,0.1491244264641991,,0.11907041622437742,,0.14282035711523133,0.1491244264641991,0.025606864284825948,0.11721349283040539,✅ 撐得住規模控制
VOL_qb2,0.2528581944213681,583.7307692307693,0.3661983424951103,,0.14501745264030008,,0.08527941244109072,,0.24268078031573714,0.14501745264030008,0.02149989046092693,0.22118088985481021,✅ 撐得住規模控制
P_IC_qb0,0.2081868827440878,587.6346153846154,0.29654169885180104,,0.14410938047220356,,0.11894590653999848,,0.1730241366724279,0.14410938047220356,0.02059181829283041,0.15243231837959748,✅ 撐得住規模控制
